17200: Ideógrafo tangut l2008-1068
172D2: Ideograma de Tangut L2008-2414
172D3: Ideograma de Tangut L2008-2579
172D4: Ideograma de Tangut L2008-3051
172D5: Ideograma de Tangut L2008-2019
172D6: Ideograma de Tangut L2008-2042
172D7: Ideograma de Tangut L2008-2025
172D8: Ideograma de Tangut L2008-2053
172D9: Ideograma de Tangut L2008-1989
172DA: Ideograma de Tangut L2008-2590
172DB: Ideograma de Tangut L2008-3080
172DC: Ideograma de Tangut L2008-3550
172DD: Ideógrafo tangut l2008-3067
172DE: Ideograma de Tangut L2008-2587
172DF: Ideograma de Tangut L2008-2415
172E0: Ideograma de Tangut L2008-1992
172E1: Ideograma de Tangut L2008-2726
172E2: Ideograma de Tangut L2008-1993
172E3: Ideograma de Tangut L2008-2429
172E4: Ideograma de Tangut L2008-3542
172E5: Ideograma de Tangut L2008-3033
172E6: Ideógrafo tangut l2008-3069
172E7: Ideograma de Tangut S1968-4266
172E8: Ideograma de Tangut L2008-2400
172E9: Ideograma de Tangut L2008-3012
172EA: Ideograma de Tangut L2008-2725
172EB: Ideógrafo tangut l2008-3074
172EC: Ideograma de Tangut L2008-3056
172ED: Ideograma de Tangut L2008-2997
172EE: Ideograma de Tangut L2008-2416
172EF: Ideograma de Tangut L2008-2011
172F0: Ideograma de Tangut L2008-2432
172F1: Ideograma de Tangut L2008-3533
172F2: Ideograma de Tangut L2008-2849
172F3: Ideograma de Tangut L2008-3553
172F4: Ideograma de Tangut L2008-3548
172F5: Ideograma de Tangut L2008-2589
172F6: Ideograma de Tangut L2008-6026
172F7: Ideograma de Tangut L2008-2423
172F8: Ideograma de Tangut L2008-3527
172F9: Ideograma de Tangut L2008-3529
172FA: Ideograma de Tangut L2008-2058
172FB: Ideograma de Tangut L2008-2584
172FC: Ideograma de Tangut L2008-2408
172FD: Ideograma de Tangut L2008-3058
172FE: Ideograma de Tangut L2008-3057
172FF: Ideograma de Tangut L2008-3042
