2F900: CJKコンパチビリティアイディアグラフ-2F900
2F931: CJKコンパチビリティアイディアグラフ-2F931
2F932: CJKコンパチビリティアイディアグラフ-2F932
2F933: CJKコンパチビリティアイディアグラフ-2F933
2F934: CJKコンパチビリティアイディアグラフ-2F934
2F935: CJKコンパチビリティアイディアグラフ-2F935
2F936: CJKコンパチビリティアイディアグラフ-2F936
2F937: CJKコンパチビリティアイディアグラフ-2F937
2F938: CJKコンパチビリティアイディアグラフ-2F938
2F939: CJKコンパチビリティアイディアグラフ-2F939
2F93A: CJKコンパチビリティIdeograph-2F93A
2F93B: CJK互換アイディアグラフ2F93B
2F93C: CJKコンパチビリティアイディアグラフ-2F93C
2F93D: CJKコンパチビリティアイディアグラフ-2F93D
2F93E: CJKコンパチビリティアイディアグラフ-2F93E
2F93F: CJKコンパチビリティアイディアグラフ-2F93F
2F940: CJKコンパチビリティアイディアグラフ-2F940
2F941: CJK互換性のある表意文字2F941
2F942: CJKコンパチビリティアイディアグラフ-2F942
2F943: CJK互換性のある表意文字2F943
2F944: CJKコンパチビリティアイディアグラフ-2F944
2F945: CJKコンパチビリティアイディアグラフ-2F945
2F946: CJKコンパチビリティアイディアグラフ-2F946
2F947: CJKコンパチビリティアイディアグラフ-2F947
2F948: CJKコンパチビリティアイディアグラフ-2F948
2F949: CJK互換性のある表意文字2F949
2F94A: CJK互換性のあるIdeograph-2F94A
2F94B: CJK互換アイディアグラフ2F94B
2F94C: CJK互換アイディアグラフ2F94C
2F94D: CJKコンパチビリティアイディアグラフ-2F94D
2F94E: CJKコンパチビリティアイディアグラフ-2F94E
2F94F: CJKコンパチビリティアイディアグラフ-2F94F
2F950: CJKコンパチビリティアイディアグラフ-2F950
2F951: CJKコンパチビリティアイディアグラフ-2F951
2F952: CJKコンパチビリティアイディアグラフ-2F952
2F953: CJKコンパチビリティアイディアグラフ-2F953
2F954: CJKコンパチビリティアイディアグラフ-2F954
2F955: CJKコンパチビリティアイディアグラフ-2F955
2F956: CJKコンパチビリティアイディアグラフ-2F956
2F957: CJKコンパチビリティアイディアグラフ-2F957
2F958: CJKコンパチビリティアイディアグラフ-2F958
2F959: CJKコンパチビリティアイディアグラフ-2F959
2F95A: CJKコンパチビリティIdeograph-2F95A
2F95B: CJKコンパチビリティアイディアグラフ-2F95B
2F95C: CJKコンパチビリティアイディアグラフ-2F95C
2F95D: CJKコンパチビリティアイディアグラフ-2F95D
2F95E: CJKコンパチビリティアイディアグラフ-2F95E
2F95F: CJKコンパチビリティアイディアグラフ-2F95F
2F960: CJKコンパチビリティアイディアグラフ-2F960
2F961: CJKコンパチビリティアイディアグラフ-2F961
2F962: CJKコンパチビリティアイディアグラフ-2F962
2F963: CJKコンパチビリティアイディアグラフ-2F963
2F964: CJKコンパチビリティアイディアグラフ-2F964
2F965: CJKコンパチビリティアイディアグラフ-2F965
2F966: CJKコンパチビリティアイディアグラフ-2F966
2F967: CJKコンパチビリティアイディアグラフ-2F967
2F968: CJKコンパチビリティアイディアグラフ-2F968
2F969: CJKコンパチビリティアイディアグラフ-2F969
2F96A: CJKコンパチビリティアイディアグラフ-2F96A
2F96B: CJK互換アイディアグラフ2F96B
2F96C: CJK互換アイディアグラフ2F96C
2F96D: CJKコンパチビリティアイディアグラフ-2F96D
2F96E: CJKコンパチブル・イデオグラフ-2F96E
2F96F: CJKコンパチブルアイディアグラフ2F96F
2F970: CJKコンパチビリティアイディアグラフ-2F970
2F971: CJKコンパチビリティアイディアグラフ-2F971
2F972: CJKコンパチビリティアイディアグラフ-2F972
2F973: CJKコンパチビリティアイディアグラフ-2F973
2F974: CJK互換性のある表意文字2F974
2F975: CJKコンパチビリティアイディアグラフ-2F975
2F976: CJKコンパチビリティアイディアグラフ-2F976
2F977: CJK互換性のある表意文字2F977
2F978: CJKコンパチビリティアイディアグラフ-2F978
2F979: CJKコンパチビリティアイディアグラフ-2F979
2F97A: CJKコンパチビリティアイディアグラフ-2F97A
2F97B: CJKコンパチビリティアイディアグラフ-2F97B
2F97C: CJKコンパチビリティアイディアグラフ-2F97C
2F97D: CJKコンパチビリティアイディアグラフ-2F97D
2F97E: CJKコンパチビリティアイディアグラフ-2F97E
2F97F: CJKコンパチビリティIdeograph-2F97F
2F980: CJKコンパチビリティアイディアグラフ-2F980
2F981: CJKコンパチビリティアイディアグラフ-2F981
2F982: CJKコンパチビリティアイディアグラフ-2F982
2F983: CJKコンパチビリティアイディアグラフ-2F983
2F984: CJKコンパチビリティアイディアグラフ-2F984
2F985: CJKコンパチビリティアイディアグラフ-2F985
2F986: CJKコンパチビリティアイディアグラフ-2F986
2F987: CJKコンパチビリティアイディアグラフ-2F987
2F988: CJKコンパチビリティアイディアグラフ-2F988
2F989: CJKコンパチビリティアイディアグラフ-2F989
2F98A: CJKコンパチビリティアイディアグラフ-2F98A
2F98B: CJK互換アイディアグラフ2F98B
2F98C: CJKコンパチビリティアイディアグラフ-2F98C
2F98D: CJKコンパチビリティアイディアグラフ-2F98D
2F98E: CJKコンパチビリティIdeograph-2F98E
2F98F: CJKコンパチビリティアイディアグラフ-2F98F
2F990: CJKコンパチビリティアイディアグラフ-2F990
2F991: CJK互換性のある表意文字2F991
2F992: CJKコンパチビリティアイディアグラフ-2F992
2F993: CJKコンパチビリティアイディアグラフ-2F993
2F994: 表意文字1
2F995: CJKコンパチビリティアイディアグラフ-2F995
2F996: CJKコンパチビリティアイディアグラフ-2F996
2F997: CJKコンパチビリティアイディアグラフ-2F997
2F998: CJKコンパチビリティアイディアグラフ-2F998
2F999: CJKコンパチビリティアイディアグラフ-2F999
2F99A: CJKコンパチビリティアイディアグラフ-2F99A
2F99B: CJK互換アイディアグラフ2F99B
2F99C: CJKコンパチブル・イデオグラフ-2F99C
2F99D: CJKコンパチビリティアイディアグラフ-2F99D
2F99E: CJKコンパチビリティアイディアグラフ-2F99E
2F99F: CJKコンパチビリティアイディアグラフ-2F99F
2F9A0: CJKコンパチビリティアイディアグラフ-2F9A0
2F9A1: CJK互換性のある表意文字2F9A1
2F9A2: CJKコンパチビリティアイディアグラフ-2F9A2
2F9A3: CJKコンパチビリティアイディアグラフ-2F9A3
2F9A4: CJKコンパチビリティアイディアグラフ-2F9A4
2F9A5: CJKコンパチビリティアイディアグラフ-2F9A5
2F9A6: CJKコンパチビリティアイディアグラフ-2F9A6
2F9A7: CJKコンパチビリティアイディアグラフ-2F9A7
2F9A8: CJKコンパチビリティアイディアグラフ-2F9A8
2F9A9: CJKコンパチビリティアイディアグラフ-2F9A9
2F9AA: CJK互換性のある表意文字2F9Aa
2F9AB: CJK互換性のあるIdeograph-2F9Ab
2F9AC: CJK互換性のあるIdeograph-2F9Ac
2F9AD: CJK両立性Ideograph-2F9Ad
2F9AE: CJK互換性のある表意文字2F9Ae
2F9AF: CJK互換性のある表意文字2F9Af
2F9B0: CJKコンパチビリティアイディアグラフ-2F9B0
2F9B1: CJKコンパチビリティアイディアグラフ-2F9B1
2F9B2: 表意文字kwai4
2F9B3: CJKコンパチビリティアイディアグラフ-2F9B3
2F9B4: CJKコンパチビリティアイディアグラフ-2F9B4
2F9B5: CJKコンパチビリティアイディアグラフ-2F9B5
2F9B6: CJKコンパチビリティアイディアグラフ-2F9B6
2F9B7: CJKコンパチビリティアイディアグラフ-2F9B7
2F9B8: CJKコンパチビリティアイディアグラフ-2F9B8
2F9B9: CJKコンパチビリティアイディアグラフ-2F9B9
2F9BA: CJK互換性のある表意文字2F9Ba
2F9BB: CJK互換性のある表意文字2F9Bb
2F9BC: 表意文字sip3
2F9BD: CJK互換性のある表意文字2F9Bd
2F9BE: CJK互換性のある表意文字2F9Be
2F9BF: CJK互換性のある表意文字2F9Bf
2F9C0: CJK互換性のある表意文字2F9C0
2F9C1: CJK互換性のある表意文字2F9C1
2F9C2: CJKコンパチビリティアイディアグラフ-2F9C2
2F9C3: CJKコンパチブルアイディアグラフ-2F9C3
2F9C4: CJKコンパチビリティアイディアグラフ-2F9C4
2F9C5: CJKコンパチビリティアイディアグラフ-2F9C5
2F9C6: CJKコンパチビリティアイディアグラフ-2F9C6
2F9C7: CJKコンパチビリティアイディアグラフ-2F9C7
2F9C8: CJKコンパチビリティアイディアグラフ-2F9C8
2F9C9: CJK互換性のある表意文字2F9C9
2F9CA: CJK互換性のある表意文字2F9Ca
2F9CB: CJK互換性のある表意文字2F9Cb
2F9CC: CJK互換性のある表意文字2F9Cc
2F9CD: CJK互換性のある表意文字2F9Cd
2F9CE: CJK互換性のある表意文字2F9Ce
2F9CF: CJK互換性のある表意文字2F9Cf
2F9D0: CJKコンパチビリティアイディアグラフ-2F9D0
2F9D1: CJK互換性のある表意文字2F9D1
2F9D2: CJK互換性のある表意文字2F9D2
2F9D3: CJK互換性のある表意文字2F9D3
2F9D4: Ideograph gun3 gwun3
2F9D5: CJKコンパチビリティアイディアグラフ-2F9D5
2F9D6: CJKコンパチビリティアイディアグラフ-2F9D6
2F9D7: CJKコンパチビリティアイディアグラフ-2F9D7
2F9D8: CJKコンパチビリティアイディアグラフ-2F9D8
2F9D9: CJK互換性のある表意文字2F9D9
2F9DA: CJK互換性のある表意文字2F9Da
2F9DB: CJK互換性のある表意文字2F9Db
2F9DC: CJK互換性のある表意文字2F9Dc
2F9DD: CJK互換性のある表意文字2F9Dd
2F9DE: CJK互換性のある表意文字2F9De
2F9DF: CJK互換性のある表意文字2F9Df
2F9E0: CJKコンパチビリティアイディアグラフ-2F9E0
2F9E1: CJKコンパチビリティアイディアグラフ-2F9E1
2F9E2: CJKコンパチビリティアイディアグラフ-2F9E2
2F9E3: CJKコンパチビリティIdeograph-2F9E3
2F9E4: CJKコンパチビリティアイディアグラフ-2F9E4
2F9E5: CJKコンパチビリティアイディアグラフ-2F9E5
2F9E6: CJKコンパチビリティアイディアグラフ-2F9E6
2F9E7: CJKコンパチビリティアイディアグラフ-2F9E7
2F9E8: CJKコンパチビリティアイディアグラフ-2F9E8
2F9E9: CJKコンパチビリティアイディアグラフ-2F9E9
2F9EA: CJKコンパチビリティアイディアグラフ-2F9Ea
2F9EB: CJK互換性のある表意文字2F9Eb
2F9EC: CJKコンパチブルアイディアグラフ2F9Ec
2F9ED: CJK互換性Ideograph-2F9Ed
2F9EE: CJK互換性のある表意文字2F9Ee
2F9EF: CJK互換性Ideograph-2F9Ef
2F9F0: CJKコンパチビリティアイディアグラフ-2F9F0
2F9F1: CJK互換性のある表意文字2F9F1
2F9F2: CJKコンパチビリティアイディアグラフ-2F9F2
2F9F3: CJKコンパチブルアイディアグラフ-2F9F3
2F9F4: CJKコンパチビリティアイディアグラフ-2F9F4
2F9F5: CJK互換性のある表意文字2F9F5
2F9F6: CJKコンパチビリティアイディアグラフ-2F9F6
2F9F7: CJK互換性のある表意文字2F9F7
2F9F8: CJKコンパチビリティアイディアグラフ-2F9F8
2F9F9: CJK互換性のある表意文字2F9F9
2F9FA: CJKコンパチブルアイディアグラフ2F9Fa
2F9FB: CJK互換性のある表意文字2F9Fb
2F9FC: CJK互換性のある表意文字2F9Fc
2F9FD: CJK互換性Ideograph-2F9Fd
2F9FE: CJK互換性のある表意文字2F9Fe
2F9FF: CJK互換性のある表意文字2F9Ff
