1FB00: 阻止六分儀-1
1FB79: 水平八分之一塊5
1FB7A: 水平八分之一塊6
1FB7B: 水平八分之一塊7
1FB7C: 左下八分之一
1FB7D: 左上八分之一
1FB7E: 右上八分之一
1FB7F: 右下八分之一
1FB80: 上下八分之一
1FB81: 水平的八分之一積木1358
1FB82: 高四分之一街區
1FB83: 高八分之三
1FB84: 高五分之八
1FB85: 上四分之三區
1FB86: 高七八分之一
1FB87: 右四分之一塊
1FB88: 右八分之三
1FB89: 右五分之八
1FB8A: 右四分之三塊
1FB8B: 右七分之八
1FB8C: 左半中等陰影
1FB8D: 右半中等陰影
1FB8E: 上半部中等陰影
1FB8F: 下半部中等陰影
1FB90: 逆中陰影
1FB91: 上半截和下半反中陰影
1FB92: 上半反中陰影和下半塊
1FB93: 
1FB94: 左半反中陰影和右半塊
1FB95: 棋盤填充
1FB96: 逆棋盤填充
1FB97: 重水平填充
1FB98: 左上至右下填充
1FB99: 右上至左下填充
1FB9A: 上下三角半塊
1FB9B: 左右三角半塊
1FB9C: 左上三角形中等陰影
1FB9D: 右上三角形中陰影
1FB9E: 右下三角形中陰影
1FB9F: 左下三角中等陰影
1FBA0: 方框圖淺斜上方中央到左中間
1FBA1: 方框圖淺對角線上中間到右中間
1FBA2: 方框圖淺對角線中左到下中心
1FBA3: 方框圖淺對角線中右至下中心
1FBA4: 方框圖淺斜線從上中間到左中間
1FBA5: 方框圖淺斜線從上中心到右中間到下中心
1FBA6: 方框圖淺對角線中左至中下至右中
1FBA7: 方框圖淺對角線中左至上中至右中
1FBA8: 方框圖淺斜線上中心到左中間，右中間到下中心
1FBA9: 箱形圖淺斜線上中心到右中間，左中間到下中心
1FBAA: 方框圖淺斜線上中間到右中間到下中間到左中間
1FBAB: 方框圖淺斜線上中間到左中間到下中間到右中間
1FBAC: 方框圖淺對角線中間的左到上中心到中間的右到下中心
1FBAD: 方框圖淺斜線從右中間到上中心到左中間到下中心
1FBAE: 盒子圖紙光對角線鑽石
1FBAF: 盒裝圖紙水平輕，垂直行程
1FBB0: 箭頭形的指針
1FBB1: 反校驗標記
1FBB2: 左半邊跑男
1FBB3: 右半邊跑男
1FBB4: 向下倒箭頭，尖端向左
1FBB5: 左箭頭和上下八分之一
1FBB6: 向右箭頭和上下八分之一
1FBB7: 向下箭頭，右八分之一
1FBB8: 向上箭頭，向右八分之一
1FBB9: 左半邊的文件夾
1FBBA: 右半文件夾
1FBBB: 無效的希臘十字架
1FBBC: 右方圓點
1FBBD: 負斜交叉
1FBBE: 負對角線中間右至下中心
1FBBF: 負對角菱形
1FBC0: 白色帶圓角的沉重鹹味
1FBC1: 左第三白右指向索引
1FBC2: 中間三分之一白色右指向索引
1FBC3: 右三白右指向索引
1FBC4: 負平方的問號
1FBC5: 簡筆劃
1FBC6: 舉起手臂的簡筆劃
1FBC7: 簡筆圖向左傾斜
1FBC8: 簡筆圖向右傾斜
1FBC9: 簡筆劃與衣服
1FBCA: 白色向上人字形
1FBCB:
1FBCC:
1FBCD:
1FBCE:
1FBCF:
1FBD0:
1FBD1:
1FBD2:
1FBD3:
1FBD4:
1FBD5:
1FBD6:
1FBD7:
1FBD8:
1FBD9:
1FBDA:
1FBDB:
1FBDC:
1FBDD:
1FBDE:
1FBDF:
1FBE0:
1FBE1:
1FBE2:
1FBE3:
1FBE4:
1FBE5:
1FBE6:
1FBE7:
1FBE8:
1FBE9:
1FBEA:
1FBEB:
1FBEC:
1FBED:
1FBEE:
1FBEF:
1FBF0: 分段數字零
1FBF1: 分段數字一
1FBF2: 分段數字二
1FBF3: 分段數字三
1FBF4: 分段數字四
1FBF5: 分段數字五
1FBF6: 分段數字六
1FBF7: 分段數字七
1FBF8: 分段數字八
1FBF9: 分段數字九
1FBFA:
1FBFB:
1FBFC:
1FBFD:
1FBFE:
1FBFF:
