17D00: Tangut表意文字L2008-0464
17D98: Tangut表意文字L2008-1039
17D99: Tangut表意文字L2008-0514
17D9A: Tangut表意文字L2008-0213
17D9B: Tangut表意文字L2008-0195
17D9C: Tangut表意文字L2008-0905
17D9D: Tangut表意文字L2008-0899
17D9E: Tangut表意文字L2008-5490
17D9F: Tangut表意文字L2008-0906
17DA0: Tangut表意文字L2008-2396
17DA1: Tangut表意文字L2008-5491
17DA2: Tangut表意文字L2008-0908
17DA3: Tangut表意文字L2008-2573
17DA4: Tangut表意文字L2008-0475
17DA5: Tangut表意文字L2008-0907
17DA6: Tangut表意文字L2008-1576
17DA7: Tangut表意文字L2008-2397
17DA8: Tangut表意文字L2008-2995
17DA9: Tangut表意文字L2008-2574
17DAA: Tangut表意文字L2008-5862
17DAB: Tangut表意文字L2008-2996
17DAC: Tangut表意文字N1966-319-114
17DAD: Tangut表意文字L2008-5062
17DAE: Tangut表意文字L2008-0155
17DAF: Tangut表意文字L2008-5492
17DB0: Tangut表意文字L2008-3520
17DB1: Tangut表意文字L2008-4479
17DB2: Tangut表意文字L2008-4478
17DB3: Tangut表意文字L2008-4473
17DB4: Tangut表意文字L2008-4475
17DB5: Tangut表意文字L2008-4472
17DB6: Tangut表意文字L2008-4496
17DB7: Tangut表意文字L2008-4481
17DB8: Tangut表意文字L2008-4498
17DB9: Tangut表意文字L2008-4469
17DBA: Tangut表意文字L2008-4471
17DBB: Tangut表意文字L2008-4482
17DBC: Tangut表意文字L2008-4492
17DBD: Tangut表意文字L2008-4488
17DBE: Tangut表意文字L2008-4474
17DBF: Tangut表意文字L2008-4484
17DC0: Tangut表意文字L2008-4500
17DC1: Tangut表意文字L2008-4497
17DC2: Tangut表意文字L2008-4470
17DC3: Tangut表意文字L2008-4491
17DC4: Tangut表意文字L2008-4477
17DC5: Tangut表意文字L2008-4502
17DC6: Tangut表意文字L2008-4489
17DC7: Tangut表意文字L2008-4490
17DC8: Tangut表意文字L2008-4483
17DC9: Tangut表意文字L2008-4501
17DCA: Tangut表意文字L2008-6054
17DCB: Tangut表意文字H2004-A-5844
17DCC: Tangut表意文字L2008-4494
17DCD: Tangut表意文字L2008-4493
17DCE: Tangut表意文字L2008-4480
17DCF: Tangut表意文字L2008-4495
17DD0: Tangut表意文字L2008-4499
17DD1: Tangut表意文字L2008-4486
17DD2: Tangut表意文字H2004-A-5845
17DD3: Tangut表意文字L2008-6053
17DD4: Tangut表意文字L2008-4487
17DD5: Tangut表意文字L2008-4476
17DD6: Tangut表意文字L2008-4485
17DD7: Tangut表意文字L2008-6052
17DD8: Tangut表意文字L2008-0651
17DD9: Tangut表意文字L2008-1065
17DDA: Tangut表意文字L2008-0991
17DDB: Tangut表意文字L2008-1629
17DDC: Tangut表意文字L2008-0917
17DDD: Tangut表意文字L2008-1064
17DDE: Tangut表意文字L2008-0217
17DDF: Tangut表意文字L2008-0918
17DE0: Tangut表意文字L2008-0157
17DE1: Tangut表意文字L2008-0484
17DE2: Tangut表意文字L2008-1843
17DE3: Tangut表意文字L2008-1585
17DE4: Tangut表意文字L2008-0767
17DE5: Tangut表意文字L2008-0513
17DE6: Tangut表意文字L2008-0190
17DE7: Tangut表意文字L2008-1051
17DE8: Tangut表意文字L2008-1665
17DE9: Tangut表意文字L2008-1605
17DEA: Tangut表意文字L2008-1112
17DEB: Tangut表意文字L2008-1120
17DEC: Tangut表意文字L2008-1449
17DED: Tangut表意文字L2008-0830
17DEE: Tangut表意文字L2008-0403
17DEF: Tangut表意文字L2008-0422
17DF0: Tangut表意文字L2008-0613
17DF1: Tangut表意文字L2008-1790
17DF2: Tangut表意文字L2008-1478
17DF3: Tangut表意文字L2008-1463
17DF4: Tangut表意文字L2008-0423
17DF5: Tangut表意文字L2008-0412
17DF6: Tangut表意文字L2008-0408
17DF7: Tangut表意文字L2008-0721
17DF8: Tangut表意文字L2008-1448
17DF9: Tangut表意文字L2008-1464
17DFA: Tangut表意文字L2008-0409
17DFB: Tangut表意文字L2008-0424
17DFC: Tangut表意文字L2008-0616
17DFD: Tangut表意文字S1968-0333
17DFE: Tangut表意文字L2008-1465
17DFF: Tangut表意文字L2008-1803
