17A00: Tangut表意文字L2008-2652
17ADD: Tangut表意文字S1968-3641
17ADE: Tangut表意文字L2008-2772
17ADF: Tangut表意文字L2008-3163
17AE0: Tangut表意文字L2008-3688
17AE1: Tangut表意文字L2008-2679
17AE2: Tangut表意文字L2008-3692
17AE3: Tangut表意文字L2008-3172
17AE4: Tangut表意文字L2008-3252
17AE5: Tangut表意文字L2008-3231
17AE6: Tangut表意文字L2008-3320
17AE7: Tangut表意文字L2008-3715
17AE8: Tangut表意文字L2008-3613
17AE9: Tangut表意文字L2008-2180
17AEA: Tangut表意文字N1966-204-13B
17AEB: Tangut表意文字L2008-2245
17AEC: Tangut表意文字L2008-2512
17AED: Tangut表意文字L2008-3140
17AEE: Tangut表意文字L2008-3378
17AEF: Tangut表意文字L2008-2265
17AF0: Tangut表意文字L2008-6041
17AF1: Tangut表意文字L2008-3091
17AF2: Tangut表意文字L2008-3094
17AF3: Tangut表意文字L2008-2435
17AF4: Tangut表意文字L2008-2436
17AF5: Tangut表意文字L2008-2601
17AF6: Tangut表意文字L2008-3092
17AF7: Tangut表意文字L2008-3093
17AF8: Tangut表意文字L2008-3101
17AF9: Tangut表意文字L2008-3559
17AFA: Tangut表意文字L2008-3560
17AFB: Tangut表意文字L2008-3099
17AFC: Tangut表意文字L2008-2438
17AFD: Tangut表意文字L2008-2437
17AFE: Tangut表意文字L2008-3779
17AFF: Tangut表意文字L2008-3096
