17C00: Tangut表意文字L2008-5332
17C6B: Tangut表意文字L2008-1447
17C6C: Tangut表意文字L2008-1284
17C6D: Tangut表意文字L2008-1227
17C6E: Tangut表意文字L2008-1301
17C6F: Tangut表意文字L2008-1157
17C70: Tangut表意文字L2008-1271
17C71: Tangut表意文字L2008-1100
17C72: Tangut表意文字L2008-1072
17C73: Tangut表意文字L2008-1022
17C74: Tangut表意文字L2008-1162
17C75: Tangut表意文字L2008-0927
17C76: Tangut表意文字L2008-0979
17C77: Tangut表意文字L2008-1024
17C78: Tangut表意文字L2008-1074
17C79: Tangut表意文字L2008-1434
17C7A: Tangut表意文字L2008-1379
17C7B: Tangut表意文字L2008-0948
17C7C: Tangut表意文字L2008-0961
17C7D: Tangut表意文字L2008-1092
17C7E: Tangut表意文字L2008-1433
17C7F: Tangut表意文字L2008-0972
17C80: Tangut表意文字L2008-1414
17C81: Tangut表意文字L2008-1208
17C82: Tangut表意文字L2008-1228
17C83: Tangut表意文字L2008-1163
17C84: Tangut表意文字L2008-1481
17C85: Tangut表意文字L2008-1539
17C86: Tangut表意文字L2008-1303
17C87: Tangut表意文字L2008-0923
17C88: Tangut表意文字L2008-0933
17C89: Tangut表意文字L2008-1075
17C8A: Tangut表意文字L2008-0986
17C8B: Tangut表意文字L2008-1529
17C8C: Tangut表意文字L2008-1530
17C8D: Tangut表意文字L2008-0980
17C8E: Tangut表意文字L2008-0973
17C8F: Tangut表意文字L2008-0924
17C90: Tangut表意文字L2008-1111
17C91: Tangut表意文字L2008-1450
17C92: Tangut表意文字L2008-1038
17C93: Tangut表意文字L2008-1340
17C94: Tangut表意文字L2008-1302
17C95: Tangut表意文字L2008-1496
17C96: Tangut表意文字L2008-1060
17C97: Tangut表意文字L2008-1554
17C98: Tangut表意文字L2008-1403
17C99: Tangut表意文字L2008-1077
17C9A: Tangut表意文字L2008-1248
17C9B: Tangut表意文字L2008-1341
17C9C: Tangut表意文字L2008-0950
17C9D: Tangut表意文字L2008-0951
17C9E: Tangut表意文字L2008-1093
17C9F: Tangut表意文字L2008-1343
17CA0: Tangut表意文字L2008-1364
17CA1: Tangut表意文字L2008-1547
17CA2: Tangut表意文字L2008-1304
17CA3: Tangut表意文字L2008-1076
17CA4: Tangut表意文字L2008-0971
17CA5: Tangut表意文字L2008-1287
17CA6: Tangut表意文字L2008-1331
17CA7: Tangut表意文字L2008-1380
17CA8: Tangut表意文字L2008-1461
17CA9: Tangut表意文字L2008-0925
17CAA: Tangut表意文字L2008-1023
17CAB: Tangut表意文字L2008-1471
17CAC: Tangut表意文字L2008-1548
17CAD: Tangut表意文字L2008-1032
17CAE: Tangut表意文字L2008-1437
17CAF: Tangut表意文字L2008-1344
17CB0: Tangut表意文字L2008-1342
17CB1: Tangut表意文字L2008-1164
17CB2: Tangut表意文字L2008-0949
17CB3: Tangut表意文字L2008-1254
17CB4: Tangut表意文字L2008-1165
17CB5: Tangut表意文字L2008-1122
17CB6: Tangut表意文字L2008-1209
17CB7: Tangut表意文字L2008-1211
17CB8: Tangut表意文字L2008-0952
17CB9: Tangut表意文字L2008-1078
17CBA: Tangut表意文字L2008-1365
17CBB: Tangut表意文字L2008-1394
17CBC: Tangut表意文字L2008-1166
17CBD: Tangut表意文字L2008-1109
17CBE: Tangut表意文字L2008-5933
17CBF: Tangut表意文字L2008-4070
17CC0: Tangut表意文字L2008-4074
17CC1: Tangut表意文字L2008-4068
17CC2: Tangut表意文字L2008-4061
17CC3: Tangut表意文字L2008-1551
17CC4: Tangut表意文字L2008-0842
17CC5: Tangut表意文字L2008-0463
17CC6: Tangut表意文字L2008-1839
17CC7: Tangut表意文字L2008-0466
17CC8: Tangut表意文字L2008-0639
17CC9: Tangut表意文字L2008-1564
17CCA: Tangut表意文字L2008-0843
17CCB: Tangut表意文字L2008-0471
17CCC: Tangut表意文字L2008-1840
17CCD: Tangut表意文字L2008-1563
17CCE: Tangut表意文字L2008-1842
17CCF: Tangut表意文字L2008-1565
17CD0: Tangut表意文字L2008-0892
17CD1: Tangut表意文字L2008-5859
17CD2: Tangut表意文字L2008-5880
17CD3: Tangut表意文字L2008-5994
17CD4: Tangut表意文字L2008-5988
17CD5: Tangut表意文字L2008-5967
17CD6: Tangut表意文字L2008-5861
17CD7: Tangut表意文字S1968-5379
17CD8: Tangut表意文字L2008-1277
17CD9: Tangut表意文字L2008-6011
17CDA: Tangut表意文字L2008-0822
17CDB: Tangut表意文字L2008-0244
17CDC: Tangut表意文字L2008-0374
17CDD: Tangut表意文字L2008-0863
17CDE: Tangut表意文字L2008-1709
17CDF: Tangut表意文字L2008-1720
17CE0: Tangut表意文字L2008-0813
17CE1: Tangut表意文字L2008-0245
17CE2: Tangut表意文字L2008-0303
17CE3: Tangut表意文字L2008-0275
17CE4: Tangut表意文字L2008-1356
17CE5: Tangut表意文字L2008-1324
17CE6: Tangut表意文字L2008-1737
17CE7: Tangut表意文字L2008-1710
17CE8: Tangut表意文字L2008-0562
17CE9: Tangut表意文字L2008-1668
17CEA: Tangut表意文字L2008-0793
17CEB: Tangut表意文字L2008-1738
17CEC: Tangut表意文字L2008-1416
17CED: Tangut表意文字L2008-1857
17CEE: Tangut表意文字L2008-0378
17CEF: Tangut表意文字L2008-1776
17CF0: Tangut表意文字S1968-5397
17CF1: Tangut表意文字L2008-0388
17CF2: Tangut表意文字L2008-0392
17CF3: Tangut表意文字L2008-0612
17CF4: Tangut表意文字L2008-0411
17CF5: Tangut表意文字L2008-1430
17CF6: Tangut表意文字L2008-1456
17CF7: Tangut表意文字L2008-1796
17CF8: Tangut表意文字L2008-1792
17CF9: Tangut表意文字L2008-1797
17CFA: Tangut表意文字L2008-0396
17CFB: Tangut表意文字L2008-0402
17CFC: Tangut表意文字L2008-0397
17CFD: Tangut表意文字L2008-0636
17CFE: Tangut表意文字L2008-1552
17CFF: Tangut表意文字L2008-1575
