1F600: 笑呵呵
1F6A1: 高架电车道
1F6A2: 大型游轮
1F6A3: 小船
1F6A4: 高速游艇
1F6A5: 横排红绿灯
1F6A6: 竖排红绿灯
1F6A7: 施工标志
1F6A8: 警灯
1F6A9: 三角旗: 位置
1F6AA: 门
1F6AB: 禁止通行
1F6AC: 允许吸烟
1F6AD: 禁止吸烟
1F6AE: 垃圾告示牌
1F6AF: 不要乱扔垃圾
1F6B0: 饮用水
1F6B1: 非饮用水
1F6B2: 自行车
1F6B3: 禁止骑自行车
1F6B4: 骑自行车的人
1F6B5: 骑山地自行车的人
1F6B6: 行人
1F6B7: 禁止行人
1F6B8: 小心孩子
1F6B9: 男卫生间
1F6BA: 女卫生间
1F6BB: 男女卫生间
1F6BC: 婴儿标志
1F6BD: 厕所
1F6BE: 洗手间
1F6BF: 淋浴
1F6C0: 洗澡间
1F6C1: 浴缸
1F6C2: 入境护照检查
1F6C3: 海关
1F6C4: 领取行李
1F6C5: 行李寄存
1F6C6: 圆角三角形: 警告
1F6C7: 禁止标志
1F6C8: 字母息
1F6C9: 男孩
1F6CA: 女孩
1F6CB: 沙发和立灯
1F6CC: 铺位
1F6CD: 购物袋
1F6CE: 酒店服务铃
1F6CF: 床
1F6D0: 宗教场所
1F6D1: 八角形
1F6D2: 购物推车
1F6D3: 佛塔
1F6D4: 宝塔
1F6D5: 印度教寺廟
1F6D6: 小屋
1F6D7: 電梯
1F6D8:
1F6D9:
1F6DA:
1F6DB:
1F6DC:
1F6DD:
1F6DE:
1F6DF:
1F6E0: 锤子和扳手
1F6E1: 路标
1F6E2: 油桶
1F6E3: 高速公路
1F6E4: 铁路
1F6E5: 快艇
1F6E6: 向上指向的战斗机
1F6E7: 向上指向的飞机
1F6E8: 向上指向的小型飞机
1F6E9: 小型飞机
1F6EA: 指向东北的飞机
1F6EB: 机场出发
1F6EC: 机场到达
1F6ED:
1F6EE:
1F6EF:
1F6F0: 卫星
1F6F1: 迎面驶来的消防车
1F6F2: 柴油机车
1F6F3: 客船
1F6F4: 滑板车
1F6F5: 小型摩托车
1F6F6: 独木舟
1F6F7: 雪橇
1F6F8: 飞碟
1F6F9: 滑板
1F6FA: 自動人力車
1F6FB: 皮卡車
1F6FC: 溜冰鞋
1F6FD:
1F6FE:
1F6FF: