18A00: 西夏文组件-513
18AD8: 西夏文组件-729
18AD9: 西夏文组件-730
18ADA: 西夏文组件-731
18ADB: 西夏文组件-732
18ADC: 西夏文组件-733
18ADD: 西夏文组件-734
18ADE: 西夏文组件-735
18ADF: 西夏文组件-736
18AE0: 西夏文组件-737
18AE1: 西夏文组件-738
18AE2: 西夏文组件-739
18AE3: 西夏文组件-740
18AE4: 西夏文组件-741
18AE5: 西夏文组件-742
18AE6: 西夏文组件-743
18AE7: 西夏文组件-744
18AE8: 西夏文组件-745
18AE9: 西夏文组件-746
18AEA: 西夏文组件-747
18AEB: 西夏文组件-748
18AEC: 西夏文组件-749
18AED: 西夏文组件-750
18AEE: 西夏文组件-751
18AEF: 西夏文组件-752
18AF0: 西夏文组件-753
18AF1: 西夏文组件-754
18AF2: 西夏文组件-755
18AF3: 西夏文组件-756
18AF4: 西夏文组件-757
18AF5: 西夏文组件-758
18AF6: 西夏文组件-759
18AF7: 西夏文组件-760
18AF8: 西夏文组件-761
18AF9: 西夏文组件-762
18AFA: 西夏文组件-763
18AFB: 西夏文组件-764
18AFC: 西夏文组件-765
18AFD: 西夏文组件-766
18AFE: 西夏文组件-767
18AFF: 西夏文组件-768