A000: Yi hece
A0BA: Yi Hece Muox
A0BB: Yi Hece Muo
A0BC: Yi Hece Muop
A0BD: Yi Hece Mot
A0BE: Yi Hece Mox
A0BF: Yi Hece Mo
A0C0: Yi Hece Paspas
A0C1: Yi Hece Mex
A0C2: Yi Hece Bana
A0C3: Yi Hece Mut
A0C4: Yi Hece Müx
A0C5: Yi Hece Mu
A0C6: Yi Hece Mup
A0C7: Yi Hece Murx
A0C8: Yi Hece Mur
A0C9: Yi Hece Myt
A0CA: Yi Hece Myx
A0CB: Yi Hece Benim
A0CC: Yi Hece Myp
A0CD: Yi Hece Fit
A0CE: Yi Hece Düzeltme
A0CF: Yi Hece Fi
A0D0: Yi Hece Fip
A0D1: Yi Hece Yağ
A0D2: Yi Hece Faks
A0D3: Yi Hece Fa
A0D4: Yi Hece Fap
A0D5: Yi Hece Tilki
A0D6: Yi Hece Fo
A0D7: Yi Hece Fop
A0D8: Yi Hece Fut
A0D9: Yi Hece Fux
A0DA: Yi Hece Fu
A0DB: Yi Hece Fup
A0DC: Yi Hece Furx
A0DD: Yi Hece Kürk
A0DE: Yi Hece Fyt
A0DF: Yi Hece Fyx
A0E0: Yi Hece Fy
A0E1: Yi Hece Fyp
A0E2: Yi Hece Vit
A0E3: Yi Hece Vix
A0E4: Yi Hece Vi
A0E5: Yi Hece Vip
A0E6: Yi Hece Viet
A0E7: Yi Hece Viex
A0E8: Yi Hece Vie
A0E9: Yi Hece Viep
A0EA: Yi Hece KDV
A0EB: Yi Hece Vax
A0EC: Yi Hece Va
A0ED: Yi Hece Vap
A0EE: Yi Hece Oy
A0EF: Yi Hece Vox
A0F0: Yi Hece Vo
A0F1: Yi Hece Vop
A0F2: Yi Hece Vex
A0F3: Yi Hece Vep
A0F4: Yi Hece Vut
A0F5: Yi Hece Vux
A0F6: Yi Hece Vu
A0F7: Yi Hece Vup
A0F8: Yi Hece Vurx
A0F9: Yi Hece Vur
A0FA: Yi Hece Vyt
A0FB: Yi Hece Vyx
A0FC: Yi Hece Vy
A0FD: Yi Hece Vyp
A0FE: Yi Hece Vyrx
A0FF: Yi Hece Vyr
