A000: Yi Syllabilul
A07A: Yi silabă Nbiex
A07B: Yi Slabă Nbie
A07C: Yi Syllable Nbiep
A07D: Yi Slabă Nbat
A07E: Yi Slabă Nbax
A07F: Yi silabă Nba
A080: Yi silabă Nbap
A081: Yi Syllable Nbot
A082: Yi silabă Nbox
A083: Yi Syllable Nbo
A084: Yi Syllable Nbop
A085: Yi silabă Nbut
A086: Yi Slabă Nbux
A087: Yi Syllable Nbu
A088: Yi Syllable Nbup
A089: Yi Syllable Nburx
A08A: Yi silabă Nbur
A08B: Yi silabă Nbyt
A08C: Yi silabă Nbyx
A08D: Yi Syllable Nby
A08E: Yi Syllable Nbyp
A08F: Yi Syllable Nbyrx
A090: Yi silabă Nbyr
A091: Yi silabă Hmit
A092: Yi Syllable Hmix
A093: Yi silabă Hmi
A094: Yi Syllable Hmip
A095: Yi Syllable Hmiex
A096: Yi Syllable Hmie
A097: Yi Syllable Hmiep
A098: Yi Syllable Hmat
A099: Yi silabă Hmax
A09A: Yi Syllable Hma
A09B: Yi Syllable Hmap
A09C: Yi silabă Hmuox
A09D: Yi silabă Hmuo
A09E: Yi Syllable Hmuop
A09F: Yi Syllable Hmot
A0A0: Yi Syllable Hmox
A0A1: Yi Syllable Hmo
A0A2: Yi Syllable Hmop
A0A3: Yi Syllable Hmut
A0A4: Yi Syllable Hmux
A0A5: Yi silabă Hmu
A0A6: Yi Syllable Hmup
A0A7: Yi Syllable Hmurx
A0A8: Yi Syllable Hmur
A0A9: Yi Syllable Hmyx
A0AA: Yi Silabă Hmy
A0AB: Yi Syllable Hmyp
A0AC: Yi silabă Hmyrx
A0AD: Yi Syllable Hmyr
A0AE: Yi Syllable Mit
A0AF: Yi Syllable Mix
A0B0: Yi Silabă Mi
A0B1: Yi Syllable Mip
A0B2: Yi silabă Miex
A0B3: Yi silabă Mie
A0B4: Yi Syllable Miep
A0B5: Yi Syllable Mat
A0B6: Yi silabă Max
A0B7: Yi Syllable Ma
A0B8: Harta Yi Syllable
A0B9: Yi Syllable Muot
A0BA: Yi Silabă Muox
A0BB: Yi Syllable Muo
A0BC: Yi Syllable Muop
A0BD: Yi Syllable Mot
A0BE: Yi Syllable Mox
A0BF: Yi silabă Mo
A0C0: Yi Syllable Mop
A0C1: Yi Syllable Mex
A0C2: Yi Syllable Me
A0C3: Yi Syllable Mut
A0C4: Yi Syllable Mux
A0C5: Yi Silabă Mu
A0C6: Yi Syllable Mup
A0C7: Yi silabă Murx
A0C8: Yi Syllable Mur
A0C9: Yi Syllable Myt
A0CA: Yi silabă Myx
A0CB: Yi Syllabia mea
A0CC: Yi Syllable Myp
A0CD: Yi Syllable Fit
A0CE: Yi Syllable Fix
A0CF: Yi silabă Fi
A0D0: Yi silabă Fip
A0D1: Yi silabă Grăsime
A0D2: Yi Syllable Fax
A0D3: Yi silabă Fa
A0D4: Yi silabă Fap
A0D5: Yi Syllable Fox
A0D6: Yi Silabă Fo
A0D7: Yi Syllable Fop
A0D8: Yi Syllable Fut
A0D9: Yi Syllable Fux
A0DA: Yi Silabă Fu
A0DB: Yi Syllable Fup
A0DC: Yi Syllable Furx
A0DD: Yi silabă blană
A0DE: Yi Syllable Fyt
A0DF: Yi Syllable Fyx
A0E0: Yi Syllable Fy
A0E1: Yi Syllable Fyp
A0E2: Yi Syllable Vit
A0E3: Yi Syllable Vix
A0E4: Yi Syllable Vi
A0E5: Yi Syllable Vip
A0E6: Yi Syllable Viet
A0E7: Yi Syllable Viex
A0E8: Yi Syllable Vie
A0E9: Yi Syllable Viep
A0EA: Yi Syllable Vat
A0EB: Yi silabă Vax
A0EC: Yi silabă Va
A0ED: Yi Syllable Vap
A0EE: Yi Syllable Vot
A0EF: Yi Syllable Vox
A0F0: Yi Syllable Vo
A0F1: Yi Syllable Vop
A0F2: Yi Syllable Vex
A0F3: Yi Syllable Vep
A0F4: Yi Syllable Vut
A0F5: Yi Syllable Vux
A0F6: Yi silabă Vu
A0F7: Yi Syllable Vup
A0F8: Yi Syllable Vurx
A0F9: Yi Syllable Vur
A0FA: Yi silabă Vyt
A0FB: Yi silabă Vyx
A0FC: Yi Syllable Vy
A0FD: Yi Syllable Vyp
A0FE: Yi Syllable Vyrx
A0FF: Yi Syllable Vyr
