2F900: CJK-Kompatibilitätsideograph-2F900
2F928: CJK-Kompatibilitäts-Ideogramm-2F928
2F929: CJK-Kompatibilitäts-Ideogramm-2F929
2F92A: CJK-Kompatibilitätsideograph-2F92A
2F92B: CJK-Kompatibilitätsideograph-2F92B
2F92C: CJK-Kompatibilitätsideograph-2F92C
2F92D: CJK-Kompatibilitätsideograph-2F92D
2F92E: CJK-Kompatibilitätsideograph-2F92E
2F92F: CJK-Kompatibilitätsideograph-2F92F
2F930: CJK-Kompatibilitäts-Ideogramm-2F930
2F931: CJK-Kompatibilitäts-Ideogramm-2F931
2F932: CJK-Kompatibilitäts-Ideogramm-2F932
2F933: CJK-Kompatibilitäts-Ideogramm-2F933
2F934: CJK-Kompatibilitäts-Ideogramm-2F934
2F935: CJK-Kompatibilitäts-Ideogramm-2F935
2F936: CJK-Kompatibilitäts-Ideogramm-2F936
2F937: CJK-Kompatibilitäts-Ideogramm-2F937
2F938: CJK-Kompatibilitäts-Ideogramm-2F938
2F939: CJK-Kompatibilitäts-Ideogramm-2F939
2F93A: CJK-Kompatibilitätsideograph-2F93A
2F93B: CJK-Kompatibilitätsideograph-2F93B
2F93C: CJK-Kompatibilitätsideograph-2F93C
2F93D: CJK-Kompatibilitätsideograph-2F93D
2F93E: CJK-Kompatibilitätsideograph-2F93E
2F93F: CJK-Kompatibilitätsideograph-2F93F
2F940: CJK-Kompatibilitätsideograph-2F940
2F941: CJK-Kompatibilitätsideograph-2F941
2F942: CJK-Kompatibilitäts-Ideogramm-2F942
2F943: CJK-Kompatibilitäts-Ideogramm-2F943
2F944: CJK-Kompatibilitäts-Ideogramm-2F944
2F945: CJK-Kompatibilitäts-Ideogramm-2F945
2F946: CJK-Kompatibilitäts-Ideogramm-2F946
2F947: CJK-Kompatibilitäts-Ideogramm-2F947
2F948: CJK-Kompatibilitäts-Ideogramm-2F948
2F949: CJK-Kompatibilitäts-Ideogramm-2F949
2F94A: CJK-Kompatibilitätsideograph-2F94A
2F94B: CJK-Kompatibilitätsideograph-2F94B
2F94C: CJK-Kompatibilitätsideograph-2F94C
2F94D: CJK-Kompatibilitätsideograph-2F94D
2F94E: CJK-Kompatibilitätsideograph-2F94E
2F94F: CJK-Kompatibilitätsideograph-2F94F
2F950: CJK-Kompatibilitätsideograph-2F950
2F951: CJK-Kompatibilitäts-Ideogramm-2F951
2F952: CJK-Kompatibilitätsideograph-2F952
2F953: CJK-Kompatibilitäts-Ideogramm-2F953
2F954: CJK-Kompatibilitäts-Ideogramm-2F954
2F955: CJK-Kompatibilitäts-Ideogramm-2F955
2F956: CJK-Kompatibilitäts-Ideogramm-2F956
2F957: CJK-Kompatibilitäts-Ideogramm-2F957
2F958: CJK-Kompatibilitäts-Ideogramm-2F958
2F959: CJK-Kompatibilitäts-Ideogramm-2F959
2F95A: CJK-Kompatibilitätsideograph-2F95A
2F95B: CJK-Kompatibilitätsideograph-2F95B
2F95C: CJK-Kompatibilitätsideograph-2F95C
2F95D: CJK-Kompatibilitätsideograph-2F95D
2F95E: CJK-Kompatibilitätsideograph-2F95E
2F95F: CJK-Kompatibilitätsideograph-2F95F
2F960: CJK-Kompatibilitätsideograph-2F960
2F961: CJK-Kompatibilitätsideograph-2F961
2F962: CJK-Kompatibilitäts-Ideogramm-2F962
2F963: CJK-Kompatibilitäts-Ideogramm-2F963
2F964: CJK-Kompatibilitäts-Ideogramm-2F964
2F965: CJK-Kompatibilitäts-Ideogramm-2F965
2F966: CJK-Kompatibilitäts-Ideogramm-2F966
2F967: CJK-Kompatibilitäts-Ideogramm-2F967
2F968: CJK-Kompatibilitäts-Ideogramm-2F968
2F969: CJK-Kompatibilitäts-Ideogramm-2F969
2F96A: CJK-Kompatibilitätsideograph-2F96A
2F96B: CJK-Kompatibilitätsideograph-2F96B
2F96C: CJK-Kompatibilitätsideograph-2F96C
2F96D: CJK-Kompatibilitätsideograph-2F96D
2F96E: CJK-Kompatibilitätsideograph-2F96E
2F96F: CJK-Kompatibilitätsideograph-2F96F
2F970: CJK-Kompatibilitäts-Ideogramm-2F970
2F971: CJK-Kompatibilitätsideograph-2F971
2F972: CJK-Kompatibilitätsideograph-2F972
2F973: CJK-Kompatibilitäts-Ideogramm-2F973
2F974: CJK-Kompatibilitäts-Ideogramm-2F974
2F975: CJK-Kompatibilitäts-Ideogramm-2F975
2F976: CJK-Kompatibilitätsideograph-2F976
2F977: CJK-Kompatibilitäts-Ideogramm-2F977
2F978: CJK-Kompatibilitäts-Ideogramm-2F978
2F979: CJK-Kompatibilitäts-Ideogramm-2F979
2F97A: CJK-Kompatibilitätsideograph-2F97A
2F97B: CJK-Kompatibilitätsideograph-2F97B
2F97C: CJK-Kompatibilitätsideograph-2F97C
2F97D: CJK-Kompatibilitätsideograph-2F97D
2F97E: CJK-Kompatibilitätsideograph-2F97E
2F97F: CJK-Kompatibilitätsideograph-2F97F
2F980: CJK-Kompatibilitätsideograph-2F980
2F981: CJK-Kompatibilitäts-Ideogramm-2F981
2F982: CJK-Kompatibilitätsideograph-2F982
2F983: CJK-Kompatibilitäts-Ideogramm-2F983
2F984: CJK-Kompatibilitätsideograph-2F984
2F985: CJK-Kompatibilitäts-Ideogramm-2F985
2F986: CJK-Kompatibilitäts-Ideogramm-2F986
2F987: CJK-Kompatibilitäts-Ideogramm-2F987
2F988: CJK-Kompatibilitäts-Ideogramm-2F988
2F989: CJK-Kompatibilitäts-Ideogramm-2F989
2F98A: CJK-Kompatibilitätsideograph-2F98A
2F98B: CJK-Kompatibilitäts-Ideogramm-2F98B
2F98C: CJK-Kompatibilitäts-Ideogramm-2F98C
2F98D: CJK-Kompatibilitätsideograph-2F98D
2F98E: CJK-Kompatibilitätsideograph-2F98E
2F98F: CJK-Kompatibilitäts-Ideogramm-2F98F
2F990: CJK-Kompatibilitäts-Ideogramm-2F990
2F991: CJK-Kompatibilitäts-Ideogramm-2F991
2F992: CJK-Kompatibilitäts-Ideogramm-2F992
2F993: CJK-Kompatibilitäts-Ideogramm-2F993
2F994: Ideogramm fong1
2F995: CJK-Kompatibilitäts-Ideogramm-2F995
2F996: CJK-Kompatibilitäts-Ideogramm-2F996
2F997: CJK-Kompatibilitäts-Ideogramm-2F997
2F998: CJK-Kompatibilitäts-Ideogramm-2F998
2F999: CJK-Kompatibilitäts-Ideogramm-2F999
2F99A: CJK-Kompatibilitäts-Ideogramm-2F99A
2F99B: CJK-Kompatibilitätsideograph-2F99B
2F99C: CJK-Kompatibilitäts-Ideogramm-2F99C
2F99D: CJK-Kompatibilitätsideograph-2F99D
2F99E: CJK-Kompatibilitätsideograph-2F99E
2F99F: CJK-Kompatibilitätsideograph-2F99F
2F9A0: CJK-Kompatibilitäts-Ideogramm-2F9A0
2F9A1: CJK-Kompatibilitäts-Ideogramm-2F9A1
2F9A2: CJK-Kompatibilitäts-Ideogramm-2F9A2
2F9A3: CJK-Kompatibilitäts-Ideogramm-2F9A3
2F9A4: CJK-Kompatibilitäts-Ideogramm-2F9A4
2F9A5: CJK-Kompatibilitäts-Ideogramm-2F9A5
2F9A6: CJK-Kompatibilitäts-Ideogramm-2F9A6
2F9A7: CJK-Kompatibilitäts-Ideogramm-2F9A7
2F9A8: CJK-Kompatibilitäts-Ideogramm-2F9A8
2F9A9: CJK-Kompatibilitäts-Ideogramm-2F9A9
2F9AA: CJK-Kompatibilitäts-Ideogramm-2F9Aa
2F9AB: CJK-Kompatibilitätsideograph-2F9Ab
2F9AC: CJK-Kompatibilitäts-Ideogramm-2F9Ac
2F9AD: CJK-Kompatibilitätsideograph-2F9Ad
2F9AE: CJK-Kompatibilitäts-Ideogramm-2F9Ae
2F9AF: CJK-Kompatibilitäts-Ideogramm-2F9Af
2F9B0: CJK-Kompatibilitäts-Ideogramm-2F9B0
2F9B1: CJK-Kompatibilitäts-Ideogramm-2F9B1
2F9B2: Ideogramm kwai4
2F9B3: CJK-Kompatibilitäts-Ideogramm-2F9B3
2F9B4: CJK-Kompatibilitätsideograph-2F9B4
2F9B5: CJK-Kompatibilitätsideograph-2F9B5
2F9B6: CJK-Kompatibilitäts-Ideogramm-2F9B6
2F9B7: CJK-Kompatibilitäts-Ideogramm-2F9B7
2F9B8: CJK-Kompatibilitätsideograph-2F9B8
2F9B9: CJK-Kompatibilitätsideograph-2F9B9
2F9BA: CJK-Kompatibilitäts-Ideogramm-2F9Ba
2F9BB: CJK-Kompatibilitätsideograph-2F9Bb
2F9BC: Ideograph sip3
2F9BD: CJK-Kompatibilitätsideograph-2F9Bd
2F9BE: CJK-Kompatibilitäts-Ideogramm-2F9Be
2F9BF: CJK-Kompatibilitätsideograph-2F9Bf
2F9C0: CJK-Kompatibilitäts-Ideogramm-2F9C0
2F9C1: CJK-Kompatibilitäts-Ideogramm-2F9C1
2F9C2: CJK-Kompatibilitäts-Ideogramm-2F9C2
2F9C3: CJK-Kompatibilitäts-Ideogramm-2F9C3
2F9C4: CJK-Kompatibilitäts-Ideogramm-2F9C4
2F9C5: CJK-Kompatibilitätsideograph-2F9C5
2F9C6: CJK-Kompatibilitäts-Ideogramm-2F9C6
2F9C7: CJK-Kompatibilitäts-Ideogramm-2F9C7
2F9C8: CJK-Kompatibilitäts-Ideogramm-2F9C8
2F9C9: CJK-Kompatibilitäts-Ideogramm-2F9C9
2F9CA: CJK-Kompatibilitäts-Ideogramm-2F9Ca
2F9CB: CJK-Kompatibilitätsideograph-2F9Cb
2F9CC: CJK-Kompatibilitäts-Ideogramm-2F9Cc
2F9CD: CJK-Kompatibilitätsideograph-2F9Cd
2F9CE: CJK-Kompatibilitäts-Ideogramm-2F9Ce
2F9CF: CJK-Kompatibilitätsideograph-2F9Cf
2F9D0: CJK-Kompatibilitäts-Ideogramm-2F9D0
2F9D1: CJK-Kompatibilitäts-Ideogramm-2F9D1
2F9D2: CJK-Kompatibilitäts-Ideogramm-2F9D2
2F9D3: CJK-Kompatibilitäts-Ideogramm-2F9D3
2F9D4: Ideograph gun3 gwun3
2F9D5: CJK-Kompatibilitäts-Ideogramm-2F9D5
2F9D6: CJK-Kompatibilitäts-Ideogramm-2F9D6
2F9D7: CJK-Kompatibilitäts-Ideogramm-2F9D7
2F9D8: CJK-Kompatibilitäts-Ideogramm-2F9D8
2F9D9: CJK-Kompatibilitäts-Ideogramm-2F9D9
2F9DA: CJK-Kompatibilitäts-Ideogramm-2F9Da
2F9DB: CJK-Kompatibilitätsideograph-2F9Db
2F9DC: CJK-Kompatibilitäts-Ideogramm-2F9Dc
2F9DD: CJK-Kompatibilitätsideograph-2F9Dd
2F9DE: CJK-Kompatibilitäts-Ideogramm-2F9De
2F9DF: CJK-Kompatibilitätsideograph-2F9Df
2F9E0: CJK-Kompatibilitäts-Ideogramm-2F9E0
2F9E1: CJK-Kompatibilitäts-Ideogramm-2F9E1
2F9E2: CJK-Kompatibilitäts-Ideogramm-2F9E2
2F9E3: CJK-Kompatibilitäts-Ideogramm-2F9E3
2F9E4: CJK-Kompatibilitäts-Ideogramm-2F9E4
2F9E5: CJK-Kompatibilitäts-Ideogramm-2F9E5
2F9E6: CJK-Kompatibilitätsideograph-2F9E6
2F9E7: CJK-Kompatibilitäts-Ideogramm-2F9E7
2F9E8: CJK-Kompatibilitäts-Ideogramm-2F9E8
2F9E9: CJK-Kompatibilitäts-Ideogramm-2F9E9
2F9EA: CJK-Kompatibilitäts-Ideogramm-2F9Ea
2F9EB: CJK-Kompatibilitätsideograph-2F9Eb
2F9EC: CJK-Kompatibilitäts-Ideogramm-2F9Ec
2F9ED: CJK-Kompatibilitätsideograph-2F9Ed
2F9EE: CJK-Kompatibilitäts-Ideogramm-2F9Ee
2F9EF: CJK-Kompatibilitätsideograph-2F9Ef
2F9F0: CJK-Kompatibilitäts-Ideogramm-2F9F0
2F9F1: CJK-Kompatibilitäts-Ideogramm-2F9F1
2F9F2: CJK-Kompatibilitäts-Ideogramm-2F9F2
2F9F3: CJK-Kompatibilitäts-Ideogramm-2F9F3
2F9F4: CJK-Kompatibilitäts-Ideogramm-2F9F4
2F9F5: CJK-Kompatibilitäts-Ideogramm-2F9F5
2F9F6: CJK-Kompatibilitäts-Ideogramm-2F9F6
2F9F7: CJK-Kompatibilitäts-Ideogramm-2F9F7
2F9F8: CJK-Kompatibilitäts-Ideogramm-2F9F8
2F9F9: CJK-Kompatibilitäts-Ideogramm-2F9F9
2F9FA: CJK-Kompatibilitäts-Ideogramm-2F9Fa
2F9FB: CJK-Kompatibilitätsideograph-2F9Fb
2F9FC: CJK-Kompatibilitäts-Ideogramm-2F9Fc
2F9FD: CJK-Kompatibilitäts-Ideogramm-2F9Fd
2F9FE: CJK-Kompatibilitäts-Ideogramm-2F9Fe
2F9FF: CJK-Kompatibilitäts-Ideograph-2F9Ff
