A000: Yi, Sillaba
A0CD: Yi Syllable Fit
A0CE: Yi sillaba Fix
A0CF: Yi, sillaba Fi
A0D0: Yi Syllable Fip
A0D1: Yi Sillaba Grassa
A0D2: Yi, sillaba Fax
A0D3: Yi, sillaba Fa
A0D4: Yi Syllable Fap
A0D5: Yi, sillaba Fox
A0D6: Yi, sillaba Fo
A0D7: Yi Syllable Fop
A0D8: Yi Syllable Fut
A0D9: Yi Syllable Fux
A0DA: Yi Sillaba Fu
A0DB: Yi Syllable Fup
A0DC: Yi, sillaba Furx
A0DD: Yi, sillaba Fur
A0DE: Yi, sillaba Fyt
A0DF: Yi, sillaba Fyx
A0E0: Yi, sillaba Fy
A0E1: Yi, sillaba Fyp
A0E2: Yi, sillaba Vit
A0E3: Yi sillaba Vix
A0E4: Yi, sillaba Vi
A0E5: Yi Syllable Vip
A0E6: Yi, sillaba Viet
A0E7: Yi, sillaba Viex
A0E8: Yi Sillaba Vie
A0E9: Yi Syllable Viep
A0EA: Yi Sillaba Vat
A0EB: Yi, sillaba Vax
A0EC: Yi, sillaba Va
A0ED: Yi Sillaba Vap
A0EE: Yi Sillaba Vot
A0EF: Yi Sillaba Vox
A0F0: Yi, sillaba Vo
A0F1: Yi, sillaba Vop
A0F2: Yi, sillaba Vex
A0F3: Yi, sillaba Vep
A0F4: Yi Syllable Vut
A0F5: Yi Sillaba Vux
A0F6: Yi, sillaba Vu
A0F7: Yi Syllable Vup
A0F8: Yi, sillaba Vurx
A0F9: Yi Syllable Vur
A0FA: Yi, sillaba Vyt
A0FB: Yi, sillaba Vyx
A0FC: Yi, sillaba Vy
A0FD: Yi, sillaba Vyp
A0FE: Yi, sillaba Vyrx
A0FF: Yi, sillaba Vyr
