0000-001F: C0控制
066E-066F: 古字母
0670-0670: 塔什基爾
0671-0672: 擴展的阿拉伯字母
0673-0673: 棄用的信件
#0674-0674: ***High hamza
#0675-0678: ***Digraphic letters for Kazakh
#0679-06D3: ***Extended Arabic letters
06D4-06D4: 標點
06D5-06D5: 擴展阿拉伯字母
06D6-06ED: 古蘭經註釋標誌
06EE-06EF: 適用於Parkari的擴展阿拉伯字母
06F0-06F9: 東部阿拉伯語-印度數字
06FA-06FC: 擴展的阿拉伯字母
06FD-06FE: 信德人的跡象
06FF-06FF: 帕卡里語的擴展阿拉伯字母
0700-070D: 敘利亞標點符號
070F-070F: 敘利亞格式控製字符
0710-072C: 敘利亞字母
072D-072F: 波斯字母
0730-073F: 敘利亞語點（元音）
0740-074A: 敘利亞商標
074D-074F: 索格尼字母
0750-076D: 擴展的阿拉伯字母
076E-0771: Khowar的附加項
0772-0772: 托瓦利加法
0773-077D: Burushaski的補充
077E-077F: 早期波斯語的加法
0780-0797: 基本輔音
0798-07A5: 阿拉伯語擴展名
07A6-07B0: 元音
07B1-07B1: 阿杜方言的輔音
07C0-07C9: 位數
07CA-07E7: 字母
07E8-07EA: 古字母
07EB-07F1: 色調標記
07F2-07F3: 其他變音符號
07F4-07F5: 音調撇號
07F6-07F6: 符號
07F7-07F9: 標點
07FA-07FA: 擴信器
07FD-07FD: 縮寫符號
07FE-07FF: 貨幣符號
0800-0815: 字母
0816-081B: 輔音修飾語
081C-082C: 元音符號
082D-082D: 變體閱讀標誌
0830-083E: 標點
0840-0858: 字母
0859-085B: 變音符號
085E-085E: 標點
0860-086A: 敘利亞字母
#0870-0888: ***Additions for Quranic orthographies
#0889-088A: ***Additions for Bosnian orthographies
#088B-088D: ***Additions for Pegon orthographies
#088E-088E: ***Abbreviation mark
#0890-0891: ***Supertending currency symbols
#0898-089F: ***Additions for Quranic orthographies
08A0-08A9: 非洲語言的阿拉伯字母
08AA-08AC: 羅興亞語的輔音
08AD-08B1: 歐洲和中亞語言的阿拉伯字母
08B2-08B2: 柏柏爾阿拉伯字母
08B3-08B4: Arwi的阿拉伯字母
#08B5-08B5: ***Early Arabic letter
08B6-08BA: Bravanese的阿拉伯字母
08BB-08BD: Warsh拼字法的阿拉伯字母
08BE-08C2: Hindko的阿拉伯字母
08C3-08C6: 豪薩語，沃洛夫語和其他非洲拼字法的阿拉伯字母
08C7-08C7: 旁遮普語的阿拉伯字母
#08C8-08C8: ***Arabic letter for Balti
#08C9-08D2: ***Additions for Quranic orthographies
08D3-08E2: 古蘭經註釋標誌
08E3-08E3: Arwi的擴展元音符號
08E4-08E9: 羅興亞語的擴展元音符號
08EA-08EF: 羅興亞語調標記
08F0-08F3: 古蘭經註釋標誌
08F4-08FD: 非洲語言的擴展元音符號
08FE-08FF: 擴展元音符號
0900-0903: 各種標誌
0904-0914: 獨立元音
0915-0939: 輔音
093A-093B: 相關元音符號
093C-093D: 各種標誌
093E-094C: 相關元音符號
094D-094D: 維拉瑪
094E-094F: 相關元音符號
0950-0950: 標誌
0951-0952: 吠陀音調標記
0953-0954: 口音標記
0955-0955: 相依元音符號
0956-0957: 克什米爾語的相關元音符號
0958-095F: 其他輔音
0960-0963: 梵語附加元音
0964-0965: 印度文字的通用標點符號
0966-096F: 位數
0970-0971: 附加標誌
0972-0972: 馬拉地語的獨立元音
0973-0975: 獨立元音
0976-0977: 克什米爾語的獨立元音
0978-097A: 其他輔音
097B-097C: 信迪爆炸物
097D-097D: 聲門停止
097E-097F: 信迪爆炸物
0980-0983: 各種標誌
0985-0994: 獨立元音
0995-09B9: 輔音
09BC-09BD: 各種標誌
09BE-09C8: 相關元音符號
09CB-09CC: 兩部分相依元音符號
09CD-09CD: 維拉瑪
09CE-09CE: 附加輔音
09D7-09D7: 標誌
09DC-09DF: 其他輔音
09E0-09E3: 梵語附加元音
09E4-09E5: 已預留
09E6-09EF: 位數
09F0-09F1: 阿薩姆語的加法
09F2-09F3: 貨幣符號
09F4-09F9: 分數的歷史符號
09FA-09FA: 標誌
09FB-09FB: 歷史貨幣符號
09FC-09FE: 跡象
0A01-0A03: 各種標誌
0A05-0A14: 獨立元音
0A15-0A39: 輔音
0A3C-0A3C: 各種標誌
0A3E-0A4C: 相關元音符號
0A4D-0A4D: 維拉瑪
0A51-0A51: 標誌
0A59-0A5E: 其他輔音
0A64-0A65: 已預留
0A66-0A6F: 位數
0A70-0A71: 跡象
0A72-0A73: 元音基礎
0A74-0A76: 跡象
0A81-0A83: 各種標誌
0A85-0A94: 獨立元音
0A95-0AB9: 輔音
0ABC-0ABD: 各種標誌
0ABE-0ACC: 相關元音符號
0ACD-0ACD: 維拉瑪
0AD0-0AD0: 各種標誌
0AE0-0AE3: 梵語附加元音
0AE4-0AE5: 已預留
0AE6-0AEF: 位數
0AF0-0AF0: 縮寫符號
0AF1-0AF1: 貨幣符號
0AF9-0AF9: 附加輔音
0AFA-0AFF: 音譯標誌
0B01-0B03: 各種標誌
0B05-0B14: 獨立元音
0B15-0B39: 輔音
0B3C-0B3D: 各種標誌
0B3E-0B48: 相關元音符號
0B4B-0B4C: 兩部分相依元音符號
0B4D-0B4D: 維拉瑪
0B55-0B57: 各種標誌
0B5C-0B5F: 其他輔音
0B60-0B61: 梵語附加元音
0B62-0B63: 相依元音
0B64-0B65: 已預留
0B66-0B6F: 位數
0B70-0B70: 標誌
0B71-0B71: 附加輔音
0B72-0B77: 分數符號
0B82-0B83: 各種標誌
0B85-0B94: 獨立元音
0B95-0BB9: 輔音
0BBE-0BC8: 相關元音符號
0BCA-0BCC: 兩部分相依元音符號
0BCD-0BCD: 維拉瑪
0BD0-0BD7: 各種標誌
0BE4-0BE5: 已預留
0BE6-0BEF: 位數
0BF0-0BF2: 泰米爾語數字
0BF3-0BF5: 泰米爾日曆符號
0BF6-0BF8: 泰米爾文的符號
0BF9-0BF9: 貨幣符號
0BFA-0BFA: 泰米爾文的符號
0C00-0C04: 各種標誌
0C05-0C14: 獨立元音
0C15-0C39: 輔音
#0C3C-0C3C: ***Sign
0C3D-0C3D: 梵文加法
0C3E-0C4C: 相關元音符號
0C4D-0C4D: 維拉瑪
0C55-0C56: 各種標誌
0C58-0C5A: 歷史的語音變體
#0C5D-0C5D: ***Consonant
0C60-0C61: 梵語附加元音
0C62-0C63: 相依元音
0C64-0C65: 已預留
0C66-0C6F: 位數
0C77-0C77: 標誌
0C78-0C7F: 泰盧固語分數和重量
0C80-0C84: 各種標誌
0C85-0C94: 獨立元音
0C95-0CB9: 輔音
0CBC-0CBD: 各種標誌
0CBE-0CCC: 相關元音符號
0CCD-0CCD: 維拉瑪
0CD5-0CD6: 各種標誌
#0CDD-0CDE: ***Additional consonants
0CE0-0CE1: 梵語附加元音
0CE2-0CE3: 相依元音
0CE4-0CE5: 已預留
0CE6-0CEF: 位數
#0CF1-0CF3: ***Signs used in Sanskrit
0D00-0D04: 各種標誌
0D05-0D14: 獨立元音
0D15-0D3A: 輔音
0D3B-0D3C: 各種形狀的病毒
0D3D-0D3D: 梵文加法
0D3E-0D48: 相關元音符號
0D4A-0D4C: 兩部分相依元音符號
0D4D-0D4D: 維拉瑪
0D4E-0D4E: 點表示
0D4F-0D4F: 測量符號
0D54-0D56: 其他歷史性的辣椒字母
0D57-0D57: 相依元音符號
0D58-0D5E: 次要分數
0D5F-0D5F: 其他歷史元音
0D60-0D61: 梵語附加元音
0D62-0D63: 相依元音
0D64-0D65: 已預留
0D66-0D6F: 位數
0D70-0D72: 馬拉雅拉姆語數字
0D73-0D78: 分數
0D79-0D79: 日期標記
0D7A-0D7F: 奇盧字母
0D81-0D83: 各種標誌
0D85-0D96: 獨立元音
0D9A-0DC6: 輔音
0DCA-0DCA: 標誌
0DCF-0DDB: 相關元音符號
0DDC-0DDE: 兩部分相依元音符號
0DDF-0DDF: 相依元音符號
0DE6-0DEF: 占星數字
0DF2-0DF3: 其他依賴元音符號
0DF4-0DF4: 標點
0E01-0E2E: 輔音
0E2F-0E2F: 標誌
0E30-0E3A: 元音
0E3F-0E3F: 貨幣符號
0E40-0E44: 元音
0E45-0E45: 元音長度符號
0E46-0E46: 重複標記
0E47-0E47: 元音
0E48-0E4B: 色調標記
0E4C-0E4F: 跡象
0E50-0E59: 位數
0E5A-0E5B: 跡象
0E81-0EAE: 輔音
0EAF-0EAF: 標誌
0EB0-0EB9: 元音
0EBA-0EBA: 維拉瑪
0EBB-0EBB: 元音
0EBC-0EBD: 跡象
0EC0-0EC4: 元音
0EC6-0EC6: 重複標記
0EC8-0ECB: 色調標記
#0ECC-0ECE: ***Signs
0ED0-0ED9: 位數
0EDC-0EDD: 有向圖
0EDE-0EDF: Khmu的輔音
0F00-0F00: 音節
0F01-0F07: 頭部標記
0F08-0F14: 標記和標誌
0F15-0F1F: 星座
0F20-0F29: 位數
0F2A-0F33: 位數減一半
0F34-0F39: 標記和標誌
0F3A-0F3D: 配對標點
0F3E-0F3F: 星座
0F40-0F6A: 輔音
0F6B-0F6C: 巴爾蒂擴展
0F71-0F7D: 相關元音符號
0F7E-0F7F: 詞彙修飾
0F80-0F81: 相關元音符號
0F82-0F87: 標記和標誌
0F88-0F8C: 音譯首字母
0F8D-0F8F: 音譯詞綴
0F90-0FB9: 次聯輔音
0FBA-0FBC: 固定形式的輔音
0FBE-0FBF: 跡象
0FC0-0FC3: 抽水跡象
0FC4-0FCC: 符號
0FCE-0FCF: 星座
0FD0-0FD2: 分數
0FD3-0FD4: 頭部標記
0FD5-0FD8: 宗教符號
0FD9-0FDA: 註釋標記
1000-1020: 輔音
1021-102A: 獨立元音
102B-1035: 相關元音符號
1036-1038: 各種標誌
1039-103A: 病毒和殺手
103B-103E: 輔音符號
103F-103F: 輔音
1040-1049: 位數
104A-104B: 標點
104C-104F: 各種標誌
1050-1059: Pali和梵文擴展名
105A-1060: 週一的擴展
1061-1064: S'gaw Karen的擴展
1065-106D: Western Pwo Karen的擴展
106E-1070: Eastern Pwo Karen的擴展
1071-1071: Geba Karen的擴展
1072-1074: Kayah的延伸
1075-108D: Shan的擴展
108E-108F: Rumai Palaung的擴展
1090-1099: 數字
109A-109B: Khamti Shan的擴展
109C-109D: Aiton和Phake的擴展
109E-109F: symbols符號
10A0-10C5: 大寫字母（Khutsuri）
10C7-10C7: 附加字母
10CD-10CD: 奧塞梯的附加字母
10D0-10F0: 姆赫德魯利
10F1-10F6: 古字母
10F7-10F8: Mingrelian和Svan的其他信件
10F9-10FA: 附加字母
10FB-10FB: 標點
10FC-10FC: 修飾語
10FD-10FF: 奧塞梯和阿布哈茲的其他信件
1100-1112: 初始輔音
1113-115F: 舊的初始輔音
1160-1175: 內側元音
1176-11A7: 老內側元音
11A8-11C2: 最終輔音
11C3-11FF: 舊的最終輔音
1200-135A: 音節
135D-135F: 合併標記
1360-1368: 標點
1369-1371: 位數
1372-137C: 號碼
1380-138F: Sebatbeit的音節
1390-1399: 音調標記
13A0-13F4: 大寫音節
13F5-13F5: 古老的大寫音節
13F8-13FC: 小寫音節
13FD-13FD: 古老的小寫音節
1400-1400: 標點
#1401-15C3: ***Syllables
#15C4-166C: ***Syllables for Carrier
166D-166D: 符號
166E-166E: 標點
166F-167F: 音節
1680-1680: 空間
1681-1694: 傳統字母
1695-169A: Forfeda（補充字母）
169B-169C: 標點
16A0-16EA: 字母
16EB-16ED: 標點
16EE-16F0: 金色數字符文
16F1-16F3: Tolkienian擴展
16F4-16F8: 密碼字母
1700-1702: 獨立元音
1703-1711: 輔音
1712-1713: 相關元音符號
#1714-1715: ***Viramas
#171F-171F: ***Archaic letter
1720-1722: 獨立元音
1723-1731: 輔音
1732-1733: 相關元音符號
1734-1734: 維拉瑪
1735-1736: 菲律賓文字的通用標點符號
1740-1742: 獨立元音
1743-1751: 輔音
1752-1753: 相關元音符號
1760-1762: 獨立元音
1763-1770: 輔音
1772-1773: 相關元音符號
1780-17A2: 輔音
17A3-17A4: 已棄用的獨立元音音譯
17A5-17B3: 獨立元音
17B4-17B5: 固有元音
17B6-17BD: 相關元音符號
17BE-17C0: 兩部分相依元音符號
17C1-17C3: 相關元音符號
17C4-17C5: 兩部分相依元音符號
17C6-17C8: 各種標誌
17C9-17CA: 輔音轉換器
17CB-17D2: 各種標誌
17D3-17D3: 農曆標誌
17D4-17DA: 各種標誌
17DB-17DB: 貨幣符號
17DC-17DD: 各種標誌
17E0-17E9: 位數
17F0-17F9: 占卜知識的數字符號
1800-180A: 標點
#180B-180F: ***Format controls
1810-1819: 位數
1820-1842: 基本字母
1843-185C: 待辦信
185D-1872: 錫伯字母
1873-1877: 滿文
1878-1878: 布里亞特信
1880-18AA: 梵文和藏文的擴展
18B0-18C5: 駝鹿克里音節
18C6-18D3: Cree和Ojibway的音節
18D4-18DF: 克里和奧吉威決賽
18E0-18F2: Beaver Dene，Hare Dene和Chipewyan Dene的音節
18F3-18F5: Dene和Carrier決賽
1900-191E: 輔音
1920-1928: 相關元音符號
1929-192B: 次聯輔音
1930-1938: 最終輔音
1939-1945: 各種標誌
1946-194F: 位數
1950-1962: 輔音
1963-196D: 元音
1970-1974: 音調字母
1980-19AB: 輔音
19B0-19C0: 元音符號
19C1-19C7: 最終輔音
19C8-19C9: 色調標記
19D0-19DA: 位數
19DE-19DF: 各種標誌
19E0-19FF: 農曆日期符號
1A00-1A16: 輔音
1A17-1A1B: 元音
1A1E-1A1F: 各種標誌
1A20-1A4C: 輔音
1A4D-1A52: 獨立元音
1A53-1A54: 輔音
1A55-1A5E: 輔音符號
1A60-1A60: 標誌
1A61-1A74: 相關元音符號
1A75-1A79: 色調標記
1A7A-1A7C: 其他標記
1A7F-1A7F: 密碼標記
1A80-1A89: 霍拉數字
1A90-1A99: 譚數字
1AA0-1AA2: 標誌
1AA3-1AA6: 標點
1AA7-1AA7: 標誌
1AA8-1AAD: 標點
#1AB0-1ABA: ***Used in German dialectology
#1ABB-1ABE: ***Marks surrounding other diacritics or letters
1ABF-1AC0: 用於蘇格蘭語
#1AC1-1AC5: ***Marks next to or surrounding other diacritics
#1AC6-1AC6: ***Phonetic sign
#1AC7-1ACA: ***Used in extended IPA
#1ACB-1ACE: ***Used in Middle English Ormulum
1B00-1B04: 各種標誌
1B05-1B12: 獨立元音
1B13-1B33: 輔音
1B34-1B34: 標誌
1B35-1B43: 相關元音符號
1B44-1B44: 標誌
#1B45-1B4C: ***Additional consonants
1B50-1B59: 位數
1B5A-1B60: 標點
1B61-1B6A: 音符的音樂符號
1B6B-1B73: 音樂符號的變音標記
1B74-1B7C: 音樂符號
#1B7D-1B7E: ***Punctuation
1B80-1B82: 各種標誌
1B83-1B89: 元音
1B8A-1BA0: 輔音
1BA1-1BA3: 輔音符號
1BA4-1BA9: 元音符號
1BAA-1BAB: 維拉馬斯
1BAC-1BAD: 輔音符號
1BAE-1BAF: 其他輔音
1BB0-1BB9: 位數
1BBA-1BBA: 標誌
1BBB-1BBF: 歷史性的信件
1BC0-1BE5: 字母
1BE6-1BE6: 標誌
1BE7-1BEF: 相關元音符號
1BF0-1BF1: 輔音符號
1BF2-1BF3: 跡象
1BFC-1BFF: 標點
1C00-1C23: 輔音
1C24-1C25: 次聯輔音
1C26-1C2C: 相依元音
1C2D-1C35: 輔音符號
1C36-1C37: 各種標誌
1C3B-1C3F: 標點
1C40-1C49: 位數
1C4D-1C4F: 附加字母
1C50-1C59: 位數
1C5A-1C77: 字母
1C78-1C7D: 修飾語字母
1C7E-1C7F: 標點
1C80-1C88: 歷史字母變體
1C90-1CB0: 大寫字母（Mtavruli）
1CB1-1CB6: 古字母
1CB7-1CB8: Mingrelian和Svan的其他信件
1CB9-1CBA: 附加字母
1CBD-1CBF: 奧塞梯和阿布哈茲的其他信件
1CC0-1CC7: 標點
1CD0-1CD2: Samaveda的色調標記
1CD3-1CD3: Samaveda的呼吸痕跡
1CD4-1CDD: Yajurvedic的跡象
1CDE-1CDF: Satapathabrahmana的色調標記
1CE0-1CE0: Rigveda的音調標記
1CE1-1CE1: Atharvaveda的音調標記
1CE2-1CE8: Visarga變音符號
1CE9-1CF1: 鼻化跡象
1CF2-1CF3: Ardhavisarga
1CF4-1CF4: 簽署Yajurvedic
1CF5-1CF7: 跡象
1CF8-1CF9: Jaiminiya Sama Veda的跡象
1CFA-1CFA: 鼻化標誌
1D00-1D25: 拉丁字母
1D26-1D2A: 希臘字母
1D2B-1D2B: 西里爾字母
1D2C-1D5C: 拉丁文上標修飾語字母
1D5D-1D61: 希臘上標修飾詞字母
1D62-1D65: 拉丁語下標修飾語字母
1D66-1D6A: 希臘語下標修飾語字母
1D6B-1D6B: 拉丁字母
1D6C-1D76: 帶中間波浪號的拉丁字母
1D77-1D78: 白種人語言學
1D79-1D7F: 其他語音符號
1D80-1D8E: 帶pa鉤的拉丁字母
1D8F-1D9A: 帶Retroflex鉤的拉丁字母
1D9B-1DBF: 修飾語字母
1DC0-1DC1: 用於古希臘語
1DC2-1DC3: 雜記
1DC4-1DC9: 輪廓音調標記
1DCA-1DCA: 雜記
1DCB-1DCC: 輪廓音調標記
1DCD-1DCD: 雙變音符號
1DCE-1DD2: Medievalist補充
1DD3-1DE6: 中世紀標字母變音符號
1DE7-1DF4: 德國方言的上標字母變音符號
1DF5-1DF5: 美國詞典編纂者
1DF6-1DF7: Typicon標記
1DF8-1DFB: 雜記
1DFC-1DFC: UPA的雙變音符號
1DFD-1DFD: 雜記
1DFE-1DFF: UPA的附加標記
1E00-1E9B: 拉丁通用擴展
1E9C-1E9D: Medievalist補充
1E9E-1E9E: 增加德國版式
1E9F-1E9F: 中世紀主義者加成
1EA0-1EF1: 越南語的拉丁語擴展名
1EF2-1EF9: 拉丁通用擴展
1EFA-1EFF: Medievalist補充
1F00-1FFE: 預先準備的多調希臘語
2000-200A: 空間
200B-200F: 格式字符
2010-2015: 破折號
2016-2017: 一般標點符號
2018-201F: 引號和撇號
2020-2027: 一般標點符號
2028-2029: 分離器
202A-202E: 格式字符
202F-202F: 空間
2030-2038: 一般標點符號
2039-203A: 引號
203B-203B: 一般標點符號
203C-203C: 豎排文字的雙標點符號
203D-2044: 一般標點符號
2045-2046: 括號
2047-2049: 豎排文字的雙標點符號
204A-2055: 一般標點符號
2056-2056: 古標點符號
2057-2057: 一般標點符號
2058-205E: 古標點符號
205F-205F: 空間
2060-2060: 格式字符
2061-2064: 隱形運算符
2066-2069: 格式字符
206A-206F: 不推薦使用
2070-207F: 上標
2080-2094: 下標
2095-209C: UPA的下標
#20A0-20C0: ***Currency symbols
20D0-20DC: 組合符號的變音符號
20DD-20E0: 附上變音符號
20E1-20E1: 符號的附加變音標記
20E2-20E4: 附加的變音符
20E5-20F0: 符號的附加變音符號
2100-2134: 字母符號
2135-2138: 希伯來語類似字母的數學符號
2139-213F: 其他字母符號
2140-2140: 雙重打擊大型操作員
2141-2144: 其他字母符號
2145-2149: 雙擊斜體數學符號
214A-214D: 其他字母符號
214E-214E: 小寫克勞德字母
214F-214F: 聖經社論符號
2150-215F: 分數
2160-217F: 羅馬數字
2180-2183: 古羅馬數字
2184-2184: 小寫克勞德字母
2185-2188: 古羅馬數字
2189-2189: 分數
218A-218B: 轉換數字
2190-2199: 簡單的箭頭
219A-21AF: 帶有修改的箭頭
21B0-21B3: 彎尖的箭頭
21B4-21BB: 鍵盤符號和圓圈箭頭
21BC-21C3: 魚叉
21C4-21CC: 配對的箭和魚叉
21CD-21D9: 雙箭頭
21DA-21E5: 雜項箭頭和鍵盤符號
21E6-21F3: 白色箭頭和鍵盤符號
21F4-21FF: 雜箭
2200-2207: 各種數學符號
2208-220D: 設置會員資格
220E-220E: 雜項數學符號
220F-2211: N元運算符
2212-221D: 經營者
221E-221E: 雜項數學符號
221F-2222: 角度
2223-2226: 關係
2227-222A: 邏輯和集合運算符
222B-2233: 積分
2234-2235: 各種數學符號
2236-2237: 關係
2238-2238: 操作員
2239-2239: 關係
223A-223A: 操作員
223B-223E: 關係
223F-223F: 雜項數學符號
2240-2240: 操作員
2241-228B: 關係
228C-228E: 經營者
228F-2292: 關係
2293-22A3: 經營者
22A4-22A5: 各種數學符號
22A6-22B9: 關係
22BA-22BD: 經營者
22BE-22BF: 各種數學符號
22C0-22C3: N元運算符
22C4-22C7: 經營者
22C8-22C8: 關係
22C9-22CC: 經營者
22CD-22CD: 關係
22CE-22CF: 邏輯運算符
22D0-22D1: 關係
22D2-22D3: 經營者
22D4-22ED: 關係
22EE-22F1: 矩陣橢圓
22F2-22FF: 關係
2300-2307: 雜項技術
2308-230B: 天花板和地板
230C-230F: 農作物
2310-2319: 雜項技術
231A-231B: 用戶界面符號
231C-231F: 奎因角
2320-2321: 整體件
2322-2323: 皺眉和微笑
2324-2328: 鍵盤符號
2329-232A: 過時的尖括號
232B-232B: 鍵盤符號
232C-232C: 化學符號
232D-2335: 起草符號
2336-237A: 殺傷人員地雷
237B-237B: 控制代碼圖形
237C-237C: 雜項技術
237D-237F: 控制代碼圖形
2380-238C: ISO 9995-7中的鍵盤符號
238D-2394: 電氣符號起IR 181
2395-2395: 殺傷人員地雷
2396-239A: ISO 9995-7中的鍵盤符號
239B-23AD: 支架件
23AE-23AF: 特殊字符擴展
23B0-23B1: 支架件
23B2-23B3: 求和標誌零件
23B4-23B6: 水平括號
23B7-23B9: 終端圖形字符
23BA-23BD: 掃描線以查看終端圖形
23BE-23CC: 牙科符號
23CD-23CD: 雜項技術
23CE-23CF: 鍵盤和UI符號
23D0-23D0: 特殊字符擴展
23D1-23D9: 公制符號
23DA-23DB: 電工符號
23DC-23E1: 水平括號
23E2-23E2: 雜項技術
23E3-23E3: 化學符號
23E4-23E8: 雜項技術
23E9-23FA: 用戶界面符號
#23FB-23FD: ***Power symbols from ISO 7000:2012
23FE-23FE: IEEE 1621-2004中的電源符號
23FF-23FF: 雜項符號
2400-2421: 控制代碼的圖形圖片
2422-2423: 空格的特定符號
2424-2424: 控制代碼的圖形圖片
2425-2425: 鍵盤符號
2426-2426: 控制代碼的特定符號
2440-2445: 光學字符識別
2446-2449: 微型計算機
244A-244A: 光學字符識別
2460-2473: 帶圓圈的數字
2474-2487: 帶括號的數字
2488-249B: 號碼期
249C-24B5: 帶括號的拉丁字母
24B6-24E9: 帶圓圈的拉丁字母
24EA-24EA: 帶圈號
24EB-24F4: 白底黑圈數字
24F5-24FE: 雙圈數字
24FF-24FF: 帶黑色圓圈數字的附加白色
2500-2503: 輕實線
2504-250B: 輕虛線和粗虛線
250C-254B: 輕型和重型線路箱組件
254C-254F: 輕虛線和粗虛線
2550-2551: 雙線
2552-256C: 輕型和雙線盒組件
256D-2570: 角色格弧
2571-2573: 角色單元對角線
2574-257B: 輕重半線
257C-257F: 輕線和粗線混合
2580-2590: 塊元素
2591-2593: 陰影字符
2594-2595: 塊元素
2596-259F: 終端圖形字符
25A0-25EF: 幾何形狀
25F0-25F7: 控制代碼圖形
25F8-25FF: 幾何形狀
2600-260D: 天氣和星座
260E-2613: 雜項符號
2614-2614: 天氣符號
2615-2615: 雜項符號
2616-2617: 日本像棋符號
2618-2619: 雜項符號
261A-261F: 指向手形符號
2620-2623: 警告標誌
2624-2625: 醫療和康復符號
2626-262F: 宗教和政治符號
2630-2637: 易經三聯符號
2638-2638: 雜項符號
2639-263B: 表情符號
263C-263C: 雜項符號
263D-2647: 占星符號
