18B00: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b00
18BE5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be5
18BE6: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be6
18BE7: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be7
18BE8: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be8
18BE9: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be9
18BEA: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bea
18BEB: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18beb
18BEC: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bec
18BED: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bed
18BEE: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bee
18BEF: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bef
18BF0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf0
18BF1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf1
18BF2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf2
18BF3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf3
18BF4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf4
18BF5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf5
18BF6: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf6
18BF7: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf7
18BF8: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf8
18BF9: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bf9
18BFA: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bfa
18BFB: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bfb
18BFC: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bfc
18BFD: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bfd
18BFE: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bfe
18BFF: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bff
