18C00: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c00
18C56: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c56
18C57: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c57
18C58: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c58
18C59: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c59
18C5A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c5a
18C5B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c5b
18C5C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c5c
18C5D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c5d
18C5E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c5e
18C5F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c5f
18C60: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c60
18C61: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c61
18C62: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c62
18C63: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c63
18C64: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c64
18C65: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c65
18C66: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c66
18C67: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c67
18C68: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c68
18C69: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c69
18C6A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c6a
18C6B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c6b
18C6C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c6c
18C6D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c6d
18C6E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c6e
18C6F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c6f
18C70: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c70
18C71: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c71
18C72: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c72
18C73: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c73
18C74: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c74
18C75: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c75
18C76: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c76
18C77: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c77
18C78: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c78
18C79: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c79
18C7A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c7a
18C7B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c7b
18C7C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c7c
18C7D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c7d
18C7E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c7e
18C7F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c7f
18C80: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c80
18C81: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c81
18C82: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c82
18C83: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c83
18C84: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c84
18C85: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c85
18C86: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c86
18C87: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c87
18C88: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c88
18C89: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c89
18C8A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c8a
18C8B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c8b
18C8C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c8c
18C8D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c8d
18C8E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c8e
18C8F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c8f
18C90: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c90
18C91: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c91
18C92: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c92
18C93: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c93
18C94: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c94
18C95: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c95
18C96: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c96
18C97: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c97
18C98: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c98
18C99: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c99
18C9A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c9a
18C9B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c9b
18C9C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c9c
18C9D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c9d
18C9E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c9e
18C9F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c9f
18CA0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca0
18CA1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca1
18CA2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca2
18CA3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca3
18CA4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca4
18CA5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca5
18CA6: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca6
18CA7: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca7
18CA8: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca8
18CA9: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ca9
18CAA: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18caa
18CAB: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cab
18CAC: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cac
18CAD: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cad
18CAE: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cae
18CAF: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18caf
18CB0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb0
18CB1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb1
18CB2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb2
18CB3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb3
18CB4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb4
18CB5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb5
18CB6: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb6
18CB7: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb7
18CB8: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb8
18CB9: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cb9
18CBA: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cba
18CBB: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cbb
18CBC: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cbc
18CBD: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cbd
18CBE: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cbe
18CBF: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cbf
18CC0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc0
18CC1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc1
18CC2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc2
18CC3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc3
18CC4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc4
18CC5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc5
18CC6: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc6
18CC7: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc7
18CC8: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc8
18CC9: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cc9
18CCA: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cca
18CCB: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ccb
18CCC: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ccc
18CCD: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ccd
18CCE: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cce
18CCF: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ccf
18CD0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cd0
18CD1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cd1
18CD2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cd2
18CD3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cd3
18CD4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cd4
18CD5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18cd5
18CD6:
18CD7:
18CD8:
18CD9:
18CDA:
18CDB:
18CDC:
18CDD:
18CDE:
18CDF:
18CE0:
18CE1:
18CE2:
18CE3:
18CE4:
18CE5:
18CE6:
18CE7:
18CE8:
18CE9:
18CEA:
18CEB:
18CEC:
18CED:
18CEE:
18CEF:
18CF0:
18CF1:
18CF2:
18CF3:
18CF4:
18CF5:
18CF6:
18CF7:
18CF8:
18CF9:
18CFA:
18CFB:
18CFC:
18CFD:
18CFE:
18CFF:
