A000: Yi Sílaba
A0BA: Yi Syllable Muox
A0BB: Yi Syllable Muo
A0BC: Yi Syllable Muop
A0BD: Yi Syllable Mot
A0BE: Yi Syllable Mox
A0BF: Yi Syllable Mo
A0C0: Yi Sílabo Mop
A0C1: Yi Syllable Mex
A0C2: Yi Sílaba Me
A0C3: Yi Syllable Mut
A0C4: Yi Syllable Mux
A0C5: Yi Syllable Mu
A0C6: Yi Syllable Mup
A0C7: Yi Sílaba Murx
A0C8: Yi Sílaba Mur
A0C9: Yi Syllable Myt
A0CA: Yi Syllable Myx
A0CB: Yi Sílaba Meu
A0CC: Yi Syllable Myp
A0CD: Yi Syllable Fit
A0CE: Correção de Sílaba Yi
A0CF: Yi Syllable Fi
A0D0: Yi Sílaba Fip
A0D1: Yi Sílaba Gordura
A0D2: Yi Syllable Fax
A0D3: Yi Syllable Fa
A0D4: Yi Sílaba Fap
A0D5: Yi Syllable Fox
A0D6: Yi Sílaba Fo
A0D7: Yi Syllable Fop
A0D8: Yi Syllable Fut
A0D9: Yi Sílaba Fux
A0DA: Yi Syllable Fu
A0DB: Yi Syllable Fup
A0DC: Yi Syllable Furx
A0DD: Yi Sílaba Fur
A0DE: Yi Syllable Fyt
A0DF: Yi Syllable Fyx
A0E0: Yi Sílabo Fy
A0E1: Yi Sílaba Fyp
A0E2: Yi Syllable Vit
A0E3: Yi Syllable Vix
A0E4: Yi Syllable Vi
A0E5: Yi Sílaba Vip
A0E6: Yi Sílaba Viet
A0E7: Yi Syllable Viex
A0E8: Yi Syllable Vie
A0E9: Yi Syllable Viep
A0EA: Yi Sílaba Vat
A0EB: Yi Syllable Vax
A0EC: Yi Syllable Va
A0ED: Yi Sílaba Vap
A0EE: Yi Syllable Vot
A0EF: Yi Syllable Vox
A0F0: Yi Syllable Vo
A0F1: Yi Syllable Vop
A0F2: Yi Syllable Vex
A0F3: Yi Sílaba Vep
A0F4: Yi Syllable Vut
A0F5: Yi Syllable Vux
A0F6: Yi Syllable Vu
A0F7: Yi Syllable Vup
A0F8: Yi Sílaba Vurx
A0F9: Yi Syllable Vur
A0FA: Yi Syllable Vyt
A0FB: Yi Syllable Vyx
A0FC: Yi Syllable Vy
A0FD: Yi Syllable Vyp
A0FE: Yi Syllable Vyrx
A0FF: Yi Syllable Vyr
