0000-001F: C0コントロール
03FA-03FB: 古風な手紙
03FC-03FC: シンボル
03FD-03FF: 編集記号
0400-040F: キリル文字の拡張
0410-044F: 基本的なロシア語のアルファベット
0450-045F: キリル文字の拡張
0460-0477: 歴史的な手紙
0478-0479: 歴史的なダイグラフ
047A-0481: 歴史的な手紙
0482-0489: その他の歴史的
048A-04F9: 拡張キリル文字
04FA-04FF: Nivkhの追加
0500-050F: コミ文字
0510-0511: ハンティ文字
0512-0513: チュクチ文字
0514-0519: モルドヴィンの手紙
051A-051D: クルド文字
051E-051F: アリュートの手紙
0520-0523: チュヴァシの手紙
0524-0525: アブハズの手紙
0526-0527: アゼルバイジャン文字
0528-0529: オロック文字
052A-052D: コミ文字
052E-052F: ハンティ文字
0531-0556: 大文字
0559-055F: 修飾文字
0560-0588: 小文字
0589-058A: 句読点
058D-058E: 宗教的なシンボル
058F-058F: 通貨記号
0591-05AF: カンチレーションマーク
05B0-05C3: ポイントと句読点
05C4-05C5: プンクタ・エクストラオーディナリア
05C6-05C7: ポイントと句読点
05D0-05EA: ISO 8859-8に基づく
05EF-05EF: 符号
05F0-05F2: イディッシュダイグラフ
05F3-05F4: 追加の句読点
0600-0604: 従属マーク
0605-0605: スーパーテンディングマーク
0606-0607: 基数記号
0608-0608: 文字のような記号
0609-060A: 句読点
060B-060B: 通貨記号
060C-060D: 句読点
060E-060F: 詩的なマーク
0610-0614: 敬語
0615-0615: コーラン注釈記号
0616-0616: 拡張アラビア語マーク
0617-061A: コーラン注釈標識
061B-061B: 句読点
061C-061C: 書式文字
061E-061F: 句読点
0620-0620: カシミールの追加
0621-063A: ISO 8859-6に基づく
063B-063F: 初期のペルシャ語とアゼルバイジャン語の追加
0640-064A: ISO 8859-6に基づく
064B-0652: ISO 8859-6のタシキル
0653-0655: マダーとハムザの組み合わせ
0656-065F: その他の結合マーク
0660-0669: アラビア語、インド数字
066A-066D: 句読点
066E-066F: 古風な手紙
0670-0670: タシュキル
0671-0672: 拡張アラビア文字
0673-0673: 廃止された手紙
0674-06D3: 拡張アラビア文字
06D4-06D4: 句読点
06D5-06D5: 拡張アラビア文字
06D6-06ED: コーラン注釈標識
06EE-06EF: Parkariの拡張アラビア文字
06F0-06F9: 東アラビア語の数字
06FA-06FC: 拡張アラビア文字
06FD-06FE: シンディの標識
06FF-06FF: Parkariの拡張アラビア文字
0700-070D: シリア語の句読点と記号
070F-070F: シリア形式の制御文字
0710-072C: シリア文字
072D-072F: ペルシア語の手紙
0730-073F: シリアポイント（母音）
0740-074A: シリアのマーク
074D-074F: ソグディアンの手紙
0750-076D: 拡張アラビア文字
076E-0771: コワールの追加
0772-0772: Torwaliの追加
0773-077D: ブルシャスキーの追加
077E-077F: 初期のペルシャ語の追加
0780-0797: 基本的な子音
0798-07A5: アラビア語の拡張
07A6-07B0: 母音
07B1-07B1: アドゥ方言の子音
07C0-07C9: 数字
07CA-07E7: 手紙
07E8-07EA: 古風な手紙
07EB-07F1: トーンマーク
07F2-07F3: その他の発音区別符号
07F4-07F5: 色調アポストロフィ
07F6-07F6: シンボル
07F7-07F9: 句読点
07FA-07FA: レターエクステンダー
07FD-07FD: 略号
07FE-07FF: 通貨記号
0800-0815: 手紙
0816-081B: 子音修飾子
081C-082C: 母音記号
082D-082D: バリアント読書サイン
0830-083E: 句読点
0840-0858: 手紙
0859-085B: 分音記号
085E-085E: 句読点
0860-086A: シリア文字
08A0-08A9: アフリカ言語のアラビア文字
08AA-08AC: ロヒンギャの従属子音
08AD-08B1: ヨーロッパおよび中央アジア言語のアラビア文字
08B2-08B2: ベルベル語のアラビア文字
08B3-08B4: Arwiのアラビア文字
08B6-08BA: ブラバネーゼのアラビア文字
08BB-08BD: Warsh正書法のためのアラビア文字
08BE-08C2: Hindkoのアラビア文字
08C3-08C6: ハウサ語、ウォロフ語、その他のアフリカの正書法のアラビア文字
08C7-08C7: パンジャブ語のアラビア文字
08D3-08E2: コーラン注釈標識
08E3-08E3: Arwiの拡張母音記号
08E4-08E9: ロヒンギャの拡張母音記号
08EA-08EF: ロヒンギャのトーンマーク
08F0-08F3: コーラン注釈標識
08F4-08FD: アフリカ言語の拡張母音記号
08FE-08FF: 拡張母音記号
0900-0903: さまざまな兆候
0904-0914: 独立母音
0915-0939: 子音
093A-093B: 従属母音記号
093C-093D: さまざまな兆候
093E-094C: 従属母音記号
094D-094D: ビラマ
094E-094F: 従属母音記号
0950-0950: 符号
0951-0952: ヴェーダトーンマーク
0953-0954: アクセントマーク
0955-0955: 従属母音記号
0956-0957: カシミール語の従属母音記号
0958-095F: 追加の子音
0960-0963: サンスクリット語の追加母音
0964-0965: インドのスクリプトの一般的な句読点
0966-096F: 数字
0970-0971: 追加の兆候
0972-0972: マラーティー語の独立母音
0973-0975: 独立母音
0976-0977: カシミール語の独立母音
0978-097A: 追加の子音
097B-097C: シンド爆薬
097D-097D: 声門停止
097E-097F: シンド爆薬
0980-0983: さまざまな兆候
0985-0994: 独立母音
0995-09B9: 子音
09BC-09BD: さまざまな兆候
09BE-09C8: 従属母音記号
09CB-09CC: 2つの部分に依存する母音記号
09CD-09CD: ビラマ
09CE-09CE: 追加の子音
09D7-09D7: 符号
09DC-09DF: 追加の子音
09E0-09E3: サンスクリット語の追加母音
09E4-09E5: 予約済み
09E6-09EF: 数字
09F0-09F1: アッサム語の追加
09F2-09F3: 通貨記号
09F4-09F9: 小数値の履歴記号
09FA-09FA: 符号
09FB-09FB: 歴史的な通貨記号
09FC-09FE: サイン
0A01-0A03: さまざまな兆候
0A05-0A14: 独立母音
0A15-0A39: 子音
0A3C-0A3C: さまざまな兆候
0A3E-0A4C: 従属母音記号
0A4D-0A4D: ビラマ
0A51-0A51: 符号
0A59-0A5E: 追加の子音
0A64-0A65: 予約済み
0A66-0A6F: 数字
0A70-0A71: サイン
0A72-0A73: 母音ベース
0A74-0A76: サイン
0A81-0A83: さまざまな兆候
0A85-0A94: 独立母音
0A95-0AB9: 子音
0ABC-0ABD: さまざまな兆候
0ABE-0ACC: 従属母音記号
0ACD-0ACD: ビラマ
0AD0-0AD0: さまざまな兆候
0AE0-0AE3: サンスクリット語の追加母音
0AE4-0AE5: 予約済み
0AE6-0AEF: 数字
0AF0-0AF0: 略号
0AF1-0AF1: 通貨記号
0AF9-0AF9: 追加の子音
0AFA-0AFF: 文字変換標識
0B01-0B03: さまざまな兆候
0B05-0B14: 独立母音
0B15-0B39: 子音
0B3C-0B3D: さまざまな兆候
0B3E-0B48: 従属母音記号
0B4B-0B4C: 2つの部分に依存する母音記号
0B4D-0B4D: ビラマ
0B55-0B57: さまざまな兆候
0B5C-0B5F: 追加の子音
0B60-0B61: サンスクリット語の追加母音
0B62-0B63: 従属母音
0B64-0B65: 予約済み
0B66-0B6F: 数字
0B70-0B70: 符号
0B71-0B71: 追加の子音
0B72-0B77: 分数記号
0B82-0B83: さまざまな兆候
0B85-0B94: 独立母音
0B95-0BB9: 子音
0BBE-0BC8: 従属母音記号
0BCA-0BCC: 2つの部分に依存する母音記号
0BCD-0BCD: ビラマ
0BD0-0BD7: さまざまな兆候
0BE4-0BE5: 予約済み
0BE6-0BEF: 数字
0BF0-0BF2: タミル数字
0BF3-0BF5: タミル暦のシンボル
0BF6-0BF8: タミル語の事務記号
0BF9-0BF9: 通貨記号
0BFA-0BFA: タミル語の事務記号
0C00-0C04: さまざまな兆候
0C05-0C14: 独立母音
0C15-0C39: 子音
0C3D-0C3D: サンスクリット語の追加
0C3E-0C4C: 従属母音記号
0C4D-0C4D: ビラマ
0C55-0C56: さまざまな兆候
0C58-0C5A: 歴史的な発音のバリエーション
0C60-0C61: サンスクリット語の追加母音
0C62-0C63: 従属母音
0C64-0C65: 予約済み
0C66-0C6F: 数字
0C77-0C77: 符号
0C78-0C7F: テルグ語の分数と重み
0C80-0C84: さまざまな兆候
0C85-0C94: 独立母音
0C95-0CB9: 子音
0CBC-0CBD: さまざまな兆候
0CBE-0CCC: 従属母音記号
0CCD-0CCD: ビラマ
0CD5-0CD6: さまざまな兆候
0CDE-0CDE: 追加の子音
0CE0-0CE1: サンスクリット語の追加母音
0CE2-0CE3: 従属母音
0CE4-0CE5: 予約済み
0CE6-0CEF: 数字
0CF1-0CF2: サンスクリット語で使用される標識
0D00-0D04: さまざまな兆候
0D05-0D14: 独立母音
0D15-0D3A: 子音
0D3B-0D3C: バリアント形状のウイルス
0D3D-0D3D: サンスクリット語の追加
0D3E-0D48: 従属母音記号
0D4A-0D4C: 2つの部分に依存する母音記号
0D4D-0D4D: ビラマ
0D4E-0D4E: ドットレフ
0D4F-0D4F: 測定記号
0D54-0D56: 追加の歴史的なチル文字
0D57-0D57: 従属母音記号
0D58-0D5E: マイナーフラクション
0D5F-0D5F: 追加の歴史的な母音
0D60-0D61: サンスクリット語の追加母音
0D62-0D63: 従属母音
0D64-0D65: 予約済み
0D66-0D6F: 数字
0D70-0D72: マラヤーラム数字
0D73-0D78: 分数
0D79-0D79: 日付マーク
0D7A-0D7F: チルー文字
0D81-0D83: さまざまな兆候
0D85-0D96: 独立母音
0D9A-0DC6: 子音
0DCA-0DCA: 符号
0DCF-0DDB: 従属母音記号
0DDC-0DDE: 2つの部分に依存する母音記号
0DDF-0DDF: 従属母音記号
0DE6-0DEF: 占星術の数字
0DF2-0DF3: 追加の従属母音記号
0DF4-0DF4: 句読点
0E01-0E2E: 子音
0E2F-0E2F: 符号
0E30-0E3A: 母音
0E3F-0E3F: 通貨記号
0E40-0E44: 母音
0E45-0E45: 母音長記号
0E46-0E46: 繰り返しマーク
0E47-0E47: 母音
0E48-0E4B: トーンマーク
0E4C-0E4F: サイン
0E50-0E59: 数字
0E5A-0E5B: サイン
0E81-0EAE: 子音
0EAF-0EAF: 符号
0EB0-0EB9: 母音
0EBA-0EBA: ビラマ
0EBB-0EBB: 母音
0EBC-0EBD: サイン
0EC0-0EC4: 母音
0EC6-0EC6: 繰り返しマーク
0EC8-0ECB: トーンマーク
0ECC-0ECD: サイン
0ED0-0ED9: 数字
0EDC-0EDD: ダイグラフ
0EDE-0EDF: クム語の子音
0F00-0F00: 音節
0F01-0F07: ヘッドマーク
0F08-0F14: マークとサイン
0F15-0F1F: 占星術の兆候
0F20-0F29: 数字
0F2A-0F33: 桁マイナス半分
0F34-0F39: マークとサイン
0F3A-0F3D: 対になった句読点
0F3E-0F3F: 占星術の兆候
0F40-0F6A: 子音
0F6B-0F6C: Baltiの拡張機能
0F71-0F7D: 従属母音記号
0F7E-0F7F: ボーカル修正
0F80-0F81: 従属母音記号
0F82-0F87: マークとサイン
0F88-0F8C: 文字変換の頭文字
0F8D-0F8F: 文字変換サブジョイン標識
0F90-0FB9: サブジョインされた子音
0FBA-0FBC: 固定形式の部分結合子音
0FBE-0FBF: サイン
0FC0-0FC3: カンチレーション標識
0FC4-0FCC: シンボル
0FCE-0FCF: 占星術の兆候
0FD0-0FD2: マーク
0FD3-0FD4: ヘッドマーク
0FD5-0FD8: 宗教的なシンボル
0FD9-0FDA: 注釈マーク
1000-1020: 子音
1021-102A: 独立母音
102B-1035: 従属母音記号
1036-1038: さまざまな兆候
1039-103A: ビラマとキラー
103B-103E: 依存性の子音の兆候
103F-103F: 子音
1040-1049: 数字
104A-104B: 句読点
104C-104F: さまざまな兆候
1050-1059: パリとサンスクリットの拡張
105A-1060: 月の拡張
1061-1064: S'gaw Karenの拡張機能
1065-106D: Western Pwo Karenの拡張機能
106E-1070: Eastern Pwo Karenの拡張機能
1071-1071: 下馬カレンの拡張
1072-1074: Kayahの拡張機能
1075-108D: Shanの拡張機能
108E-108F: Rumai Palaungの拡張機能
1090-1099: シャンディジット
109A-109B: Khamti Shanの拡張機能
109C-109D: AitonおよびPhakeの拡張
109E-109F: シャンのシンボル
10A0-10C5: 大文字（フツリ）
10C7-10C7: 追加の手紙
10CD-10CD: オセチア語の追加の手紙
10D0-10F0: ムケドルリ
10F1-10F6: 古風な手紙
10F7-10F8: ミングレリアンとスヴァンのための追加の手紙
10F9-10FA: 追加の手紙
10FB-10FB: 句読点
10FC-10FC: 修飾文字
10FD-10FF: オセチア語とアブハズ語の追加の手紙
1100-1112: 最初の子音
1113-115F: 古い初期の子音
1160-1175: 内側母音
1176-11A7: 古い内母音
11A8-11C2: 最終子音
11C3-11FF: 古い最後の子音
1200-135A: 音節
135D-135F: マークを組み合わせる
1360-1368: 句読点
1369-1371: 数字
1372-137C: 数字
1380-138F: セバトベイトの音節
1390-1399: 色調マーク
13A0-13F4: 大文字音節
13F5-13F5: 古風な大文字音節
13F8-13FC: 小文字音節
13FD-13FD: 古風な小文字音節
1400-1400: 句読点
1401-166C: 音節
166D-166D: シンボル
166E-166E: 句読点
166F-167F: 音節
1680-1680: スペース
1681-1694: 伝統的な手紙
1695-169A: Forfeda（補足文字）
169B-169C: 句読点
16A0-16EA: 手紙
16EB-16ED: 句読点
16EE-16F0: ゴールデンナンバールーン
16F1-16F3: トールキアン拡張
16F4-16F8: 暗号文字
1700-1702: 独立母音
1703-1711: 子音
1712-1713: 従属母音記号
1714-1714: ビラマ
1720-1722: 独立母音
1723-1731: 子音
1732-1733: 従属母音記号
1734-1734: ビラマ
1735-1736: フィリピン文字の一般的な句読点
1740-1742: 独立母音
1743-1751: 子音
1752-1753: 従属母音記号
1760-1762: 独立母音
1763-1770: 子音
1772-1773: 従属母音記号
1780-17A2: 子音
17A3-17A4: 文字変換用の非推奨の独立母音
17A5-17B3: 独立母音
17B4-17B5: 固有母音
17B6-17BD: 従属母音記号
17BE-17C0: 2つの部分に依存する母音記号
17C1-17C3: 従属母音記号
17C4-17C5: 2つの部分に依存する母音記号
17C6-17C8: さまざまな兆候
17C9-17CA: 子音シフター
17CB-17D2: さまざまな兆候
17D3-17D3: 月の日付記号
17D4-17DA: さまざまな兆候
17DB-17DB: 通貨記号
17DC-17DD: さまざまな兆候
17E0-17E9: 数字
17F0-17F9: 占い伝承の数値記号
1800-180A: 句読点
180B-180E: フォーマットコントロール
1810-1819: 数字
1820-1842: 基本的な手紙
1843-185C: 藤堂書簡
185D-1872: シベの手紙
1873-1877: 満州文字
1878-1878: ブリヤート手紙
1880-18AA: サンスクリット語とチベット語の拡張
18B0-18C5: ムースクリーの音節
18C6-18D3: クリー語とオジブウェイ語の音節
18D4-18DF: クリーとオジブウェイの決勝
18E0-18F2: ビーバーデーン、ヘアデーン、チペウイアンデーンの音節
18F3-18F5: デーンとキャリアの決勝
1900-191E: 子音
1920-1928: 従属母音記号
1929-192B: サブジョインされた子音
1930-1938: 最終子音
1939-1945: さまざまな兆候
1946-194F: 数字
1950-1962: 子音
1963-196D: 母音
1970-1974: トーンレター
1980-19AB: 子音
19B0-19C0: 母音記号
19C1-19C7: 最終子音
19C8-19C9: トーンマーク
19D0-19DA: 数字
19DE-19DF: さまざまな兆候
19E0-19FF: 月の日付記号
1A00-1A16: 子音
1A17-1A1B: 母音
1A1E-1A1F: さまざまな兆候
1A20-1A4C: 子音
1A4D-1A52: 独立母音
1A53-1A54: 子音
1A55-1A5E: 子音の兆候
1A60-1A60: 符号
1A61-1A74: 従属母音記号
1A75-1A79: トーンマーク
1A7A-1A7C: その他のマーク
1A7F-1A7F: 暗号化マーク
1A80-1A89: ホラ桁
1A90-1A99: タム数字
1AA0-1AA2: ロゴグラフ
1AA3-1AA6: 句読点
1AA7-1AA7: 符号
1AA8-1AAD: 句読点
1AB0-1ABE: ドイツの弁証法に使用
1ABF-1AC0: スコットランドの弁証法に使用
1B00-1B04: さまざまな兆候
1B05-1B12: 独立母音
1B13-1B33: 子音
1B34-1B34: 符号
1B35-1B43: 従属母音記号
1B44-1B44: 符号
1B45-1B4B: 追加の子音
1B50-1B59: 数字
1B5A-1B60: 句読点
1B61-1B6A: ノートの音楽記号
1B6B-1B73: 音楽記号の分音記号
1B74-1B7C: 音楽記号
1B80-1B82: さまざまな兆候
1B83-1B89: 母音
1B8A-1BA0: 子音
1BA1-1BA3: 子音の兆候
1BA4-1BA9: 母音記号
1BAA-1BAB: ヴィラマ
1BAC-1BAD: 子音の兆候
1BAE-1BAF: 追加の子音
1BB0-1BB9: 数字
1BBA-1BBA: 符号
1BBB-1BBF: 歴史的な手紙
1BC0-1BE5: 手紙
1BE6-1BE6: 符号
1BE7-1BEF: 従属母音記号
1BF0-1BF1: 依存性の子音の兆候
1BF2-1BF3: サイン
1BFC-1BFF: 句読点
1C00-1C23: 子音
1C24-1C25: サブジョインされた子音
1C26-1C2C: 従属母音
1C2D-1C35: 子音の兆候
1C36-1C37: さまざまな兆候
1C3B-1C3F: 句読点
1C40-1C49: 数字
1C4D-1C4F: 追加の手紙
1C50-1C59: 数字
1C5A-1C77: 手紙
1C78-1C7D: 修飾文字
1C7E-1C7F: 句読点
1C80-1C88: 歴史的な変種
1C90-1CB0: 大文字（Mtavruli）
1CB1-1CB6: 古風な手紙
1CB7-1CB8: ミングレリアンとスヴァンのための追加の手紙
1CB9-1CBA: 追加の手紙
1CBD-1CBF: オセチア語とアブハズ語の追加の手紙
1CC0-1CC7: 句読点
1CD0-1CD2: サマベダのトーンマーク
1CD3-1CD3: サマベダの呼吸マーク
1CD4-1CDD: Yajurvedicの兆候
1CDE-1CDF: Satapathabrahmanaのトーンマーク
1CE0-1CE0: リグヴェーダのトーンマーク
1CE1-1CE1: Atharvavedaのトーンマーク
1CE2-1CE8: Visargaの発音区別符号
1CE9-1CF1: 鼻炎の兆候
1CF2-1CF3: アルダヴィサルガ
1CF4-1CF4: Yajurvedicのサイン
1CF5-1CF7: サイン
1CF8-1CF9: Jaiminiya Sama Vedaのサイン
1CFA-1CFA: 鼻音記号
1D00-1D25: ラテン文字
1D26-1D2A: ギリシャ文字
1D2B-1D2B: キリル文字
1D2C-1D5C: ラテン語の上付き修飾文字
1D5D-1D61: ギリシャ語の上付き修飾文字
1D62-1D65: ラテン添え字修飾文字
1D66-1D6A: ギリシャ語の下付き修飾文字
1D6B-1D6B: ラテン文字
1D6C-1D76: 中央チルド付きラテン文字
1D77-1D78: 白人言語学
1D79-1D7F: その他の音声記号
1D80-1D8E: 口蓋フック付きラテン文字
1D8F-1D9A: レトロフレックスフック付きラテン文字
1D9B-1DBF: 修飾文字
1DC0-1DC1: 古代ギリシャ語に使用
1DC2-1DC3: その他のマーク
1DC4-1DC9: 輪郭トーンマーク
1DCA-1DCA: その他のマーク
1DCB-1DCC: 輪郭トーンマーク
1DCD-1DCD: 二重発音符
1DCE-1DD2: 中世の追加
1DD3-1DE6: 中世の上付き文字分音記号
1DE7-1DF4: ドイツ語弁証法のための上付き文字発音区別符号
1DF5-1DF5: アメリカの辞書編集のための発音区別符号
1DF6-1DF7: Typiconマーク
1DF8-1DFB: その他のマーク
1DFC-1DFC: UPAの二重発音記号
1DFD-1DFD: その他のマーク
1DFE-1DFF: UPAの追加マーク
1E00-1E9B: ラテン語一般使用拡張
1E9C-1E9D: 中世の追加
1E9E-1E9E: ドイツのタイポグラフィのための追加
1E9F-1E9F: 中世主義の追加
1EA0-1EF1: ベトナム語のラテン語拡張
1EF2-1EF9: ラテン語の一般的な拡張
1EFA-1EFF: 中世の追加
1F00-1FFE: 事前構成されたポリトニックギリシャ語
2000-200A: スペース
200B-200F: 文字のフォーマット
2010-2015: ダッシュ
2016-2017: 一般的な句読点
2018-201F: 引用符とアポストロフィ
2020-2027: 一般的な句読点
2028-2029: セパレーター
202A-202E: 文字のフォーマット
202F-202F: スペース
2030-2038: 一般的な句読点
2039-203A: 引用符
203B-203B: 一般的な句読点
203C-203C: 縦書きテキストの二重句読点
203D-2044: 一般的な句読点
2045-2046: ブラケット
2047-2049: 縦書きテキストの二重句読点
204A-2055: 一般的な句読点
2056-2056: 古風な句読点
2057-2057: 一般的な句読点
2058-205E: 古風な句読点
205F-205F: スペース
2060-2060: 書式文字
2061-2064: 見えない演算子
2066-2069: 文字のフォーマット
206A-206F: 非推奨
2070-207F: 上付き文字
2080-2094: 下付き
2095-209C: UPAの添え字
20A0-20BF: 通貨記号
20D0-20DC: 記号の発音区別記号を組み合わせる
20DD-20E0: 付加記号を囲む
20E1-20E1: 記号の追加の発音区別記号
20E2-20E4: 追加の発音区別符号
20E5-20F0: 記号の追加の発音区別符号
2100-2134: 文字のような記号
2135-2138: ヘブライ語の文字のような数学記号
2139-213F: 追加の文字のような記号
2140-2140: 二重打たれた大きな演算子
2141-2144: 追加の文字のような記号
2145-2149: 二重線の斜体数学記号
214A-214D: 追加の文字のような記号
214E-214E: 小文字のクローディアン文字
214F-214F: 聖書の編集上のシンボル
2150-215F: 分数
2160-217F: ローマ数字
2180-2183: 古代ローマ数字
2184-2184: 小文字のクローディアン文字
2185-2188: 古代ローマ数字
2189-2189: 分数
218A-218B: 回した数字
2190-2199: シンプルな矢印
219A-21AF: 修正された矢印
21B0-21B3: 先端が曲がっている矢印
21B4-21BB: キーボード記号と円矢印
21BC-21C3: ハープーン
21C4-21CC: ペアの矢印と銛
21CD-21D9: 二重矢印
21DA-21E5: その他の矢印とキーボード記号
21E6-21F3: 白い矢印とキーボード記号
21F4-21FF: その他の矢印
2200-2207: その他の数学記号
2208-220D: メンバーシップを設定
220E-220E: その他の数学記号
220F-2211: N項演算子
2212-221D: オペレーター
221E-221E: その他の数学記号
221F-2222: 角度
2223-2226: 関係
2227-222A: 論理演算子と集合演算子
222B-2233: 積分
2234-2235: その他の数学記号
2236-2237: 関係
2238-2238: オペレーター
2239-2239: 関係
223A-223A: オペレーター
223B-223E: 関係
223F-223F: その他の数学記号
2240-2240: オペレーター
2241-228B: 関係
228C-228E: オペレーター
228F-2292: 関係
2293-22A3: オペレーター
22A4-22A5: その他の数学記号
22A6-22B9: 関係
22BA-22BD: オペレーター
22BE-22BF: その他の数学記号
22C0-22C3: N項演算子
22C4-22C7: オペレーター
22C8-22C8: 関係
22C9-22CC: オペレーター
22CD-22CD: 関係
22CE-22CF: 論理演算子
22D0-22D1: 関係
22D2-22D3: オペレーター
22D4-22ED: 関係
22EE-22F1: マトリックスの楕円
22F2-22FF: 関係
2300-2307: その他の技術
2308-230B: 天井と床
230C-230F: 作物
2310-2319: その他の技術
231A-231B: ユーザーインターフェイスシンボル
231C-231F: クインコーナー
2320-2321: インテグラルピース
2322-2323: 眉をひそめ、笑顔
2324-2328: キーボード記号
2329-232A: 非推奨の山括弧
232B-232B: キーボード記号
232C-232C: 化学記号
232D-2335: 製図記号
2336-237A: APL
237B-237B: 制御コードのグラフィック
237C-237C: その他の技術
237D-237F: 制御コードのグラフィック
2380-238C: ISO 9995-7のキーボード記号
238D-2394: IR 181の電気技術シンボル
2395-2395: APL
2396-239A: ISO 9995-7のキーボード記号
239B-23AD: ブラケットピース
23AE-23AF: 特殊文字拡張
23B0-23B1: ブラケットピース
23B2-23B3: 総和符号パーツ
23B4-23B6: 横括弧
23B7-23B9: 端末グラフィック文字
23BA-23BD: 端末グラフィックスのスキャンライン
23BE-23CC: 歯科記法記号
23CD-23CD: その他の技術
23CE-23CF: キーボードとUIの記号
23D0-23D0: 特殊文字拡張
23D1-23D9: メートル法の記号
23DA-23DB: 電気技術のシンボル
23DC-23E1: 横括弧
23E2-23E2: その他の技術
23E3-23E3: 化学記号
23E4-23E8: その他の技術
23E9-23FA: ユーザーインターフェイスシンボル
23FB-23FD: ISO 7000:2012の電源記号
23FE-23FE: IEEE 1621-2004の電源記号
23FF-23FF: その他の記号
2400-2421: 制御コードのグラフィック画像
2422-2423: スペースの特定の記号
2424-2424: 制御コードのグラフィック画像
2425-2425: キーボード記号
2426-2426: 制御コードの特定の記号
2440-2445: OCR-A
2446-2449: MICR
244A-244A: OCR
2460-2473: 丸数字
2474-2487: 括弧で囲まれた数字
2488-249B: 数字の期間
249C-24B5: 括弧付きラテン文字
24B6-24E9: 丸で囲まれたラテン文字
24EA-24EA: 追加の丸数字
24EB-24F4: 黒丸数字に白
24F5-24FE: 二重丸数字
24FF-24FF: 黒い丸で囲まれた数字に追加の白
2500-2503: 薄くて太い実線
2504-250B: 薄い破線と重い破線
250C-254B: 軽量および重量のラインボックスコンポーネント
254C-254F: 薄い破線と重い破線
2550-2551: 二重線
2552-256C: ライトおよびダブルラインボックスコンポーネント
256D-2570: キャラクターセルアーク
2571-2573: 文字セルの対角線
2574-257B: 軽くて重いハーフライン
257C-257F: 軽い線と重い線の混合
2580-2590: ブロック要素
2591-2593: 陰影文字
2594-2595: ブロック要素
2596-259F: 端末グラフィック文字
25A0-25EF: 幾何学的形状
25F0-25F7: 制御コードグラフィック
25F8-25FF: 幾何学的形状
2600-260D: 天気と占星術のシンボル
260E-2613: その他の記号
2614-2614: 天気記号
2615-2615: その他の記号
2616-2617: 日本のチェスのシンボル
2618-2619: その他の記号
261A-261F: 指差し記号
2620-2623: 警告表示
2624-2625: 医療と治癒のシンボル
2626-262F: 宗教的および政治的シンボル
2630-2637: Yijingトライグラムシンボル
2638-2638: その他の記号
2639-263B: 絵文字
263C-263C: その他の記号
263D-2647: 占星術のシンボル
2648-2653: 黄道帯のシンボル
2654-265F: チェスのシンボル
2660-2667: トランプ記号
