C600: Hilos y sílabas
C686: Hangul sílaba Oelp
C687: Hangul sílaba Oelh
C688: Hangul sílaba Oem
C689: Hangul sílaba Oeb
C68A: Hangul sílaba Oebs
C68B: Hangul sílaba Oes
C68C: Sílaba de Hangul Oess
C68D: Hangul sílaba Oeng
C68E: Hangul Syllable Oej
C68F: Hangul sílaba Oec
C690: Hangul Syllable Oek
C691: Hangul sílaba Oet
C692: Hangul sílaba Oep
C693: Hangul Syllable Oeh
C694: Hilag sílaba yo
C695: Yogur de la sílaba hangul
C696: Hangul Syllable Yogg
C697: Hangul Syllable Yogs
C698: Hangul Syllable Yon
C699: Hangul Syllable Yonj
C69A: Hangul Syllable Yonh
C69B: Hangul Syllable Yod
C69C: Hangul Syllable Yol
C69D: Hangul Syllable Yolg
C69E: Hangul sílaba Yolm
C69F: Hangul Syllable Yolb
C6A0: Hangul Syllable Yols
C6A1: Hangul Syllable Yolt
C6A2: Hangul Syllable Yolp
C6A3: Hangul Syllable Yolh
C6A4: Hangul Syllable Yom
C6A5: Hangul Syllable Yob
C6A6: Hulag Sílaba Yobs
C6A7: Yos de la sílaba hangul
C6A8: Hangul Syllable Yoss
C6A9: Hangul Syllable Yong
C6AA: Hangul Syllable Yoj
C6AB: Hangul sílaba Yoc
C6AC: Hangul Syllable Yok
C6AD: Hangul sílaba Yot
C6AE: Hangul sílaba Yop
C6AF: Hangul sílaba yoh
C6B0: Hangul sílaba U
C6B1: Hangul sílaba Ug
C6B2: Hangul sílaba Ugg
C6B3: Hangul Syllable Ugs
C6B4: Hangul Syllable Un
C6B5: Hangul Syllable Unj
C6B6: Hangul Syllable Unh
C6B7: Hangul Syllable Ud
C6B8: Hangul Syllable Ul
C6B9: Hangul Syllable Ulg
C6BA: Hangul Syllable Ulm
C6BB: Hangul Syllable Ulb
C6BC: Hangul sílaba uls
C6BD: Hangul Syllable Ult
C6BE: Hangul sílaba Ulp
C6BF: Hangul Syllable Ulh
C6C0: Hangul Syllable Um
C6C1: Sílaba de Hangul Ub
C6C2: Hangul Syllable Ubs
C6C3: Hangul sílaba nosotros
C6C4: Hangul sílaba Uss
C6C5: Hangul Syllable Ung
C6C6: Hangul Syllable Uj
C6C7: Hangul sílaba Uc
C6C8: Hangul Syllable Reino Unido
C6C9: Hangul sílaba Ut
C6CA: Hangul sílaba hasta
C6CB: Hangul sílaba uh
C6CC: Hangul Syllable Weo
C6CD: Hangul Syllable Weog
C6CE: Hangul sílaba weogg
C6CF: Hangul Syllable Weogs
C6D0: Coreano ganó
C6D1: Hangul Syllable Weonj
C6D2: Hangul Syllable Weonh
C6D3: Hangul Syllable Weod
C6D4: Hangul Syllable Weol
C6D5: Hangul Syllable Weolg
C6D6: Hangul Syllable Weolm
C6D7: Hangul Syllable Weolb
C6D8: Hangul sílaba Weols
C6D9: Hangul Syllable Weolt
C6DA: Hangul Syllable Weolp
C6DB: Hangul Syllable Weolh
C6DC: Hangul sílaba weom
C6DD: Hangul Syllable Weob
C6DE: Hulatas de la sílaba hangul
C6DF: Hangul Syllable Weos
C6E0: Hangul Syllable Weoss
C6E1: Hangul Syllable Weong
C6E2: Hangul Syllable Weoj
C6E3: Hangul sílaba weoc
C6E4: Hangul sílaba weok
C6E5: Hangul sílaba Weot
C6E6: Hangul sílaba Weop
C6E7: Hangul Syllable Weoh
C6E8: Hangul sílaba nosotros
C6E9: Hangul sílaba Weg
C6EA: Hangul sílaba Wegg
C6EB: Hangul sílaba Wegs
C6EC: Hangul Syllable Wen
C6ED: Hangul Syllable Wenj
C6EE: Hangul Syllable Wenh
C6EF: Hangul sílaba mié
C6F0: Hangul sílaba Wel
C6F1: Hangul sílaba Welg
C6F2: Hangul sílaba Welm
C6F3: Hangul sílaba Welb
C6F4: Hangul sílaba Wels
C6F5: Hangul sílaba Welt
C6F6: Hangul Syllable Welp
C6F7: Hangul Syllable Welh
C6F8: Hangul sílaba Wem
C6F9: Hangul sílaba web
C6FA: Hangul sílabas webs
C6FB: Hangul Syllable Wes
C6FC: Hangul sílaba Wess
C6FD: Hangul sílaba Weng
C6FE: Hangul Syllable Wej
C6FF: Hangul sílaba Wec
