control-character 	: carattere di controllo
cypriot-syllabary 	: sillabario cipriota
imperial-aramaic 	: Imperiale aramaico
palmyrene 	: Palmira
nabataean 	: nabateo
phoenician 	: fenicio
lydian 	: Lydian
meroitic-hieroglyphs 	: meroitico Geroglifici
meroitic-cursive 	: meroitico Cursive
kharoshthi 	: Kharoshthi
old-south-arabian 	: Vecchio nord arabo
old-north-arabian 	: Vecchio sud arabo
manichaean 	: manichea
avestan 	: Avestico
inscriptional-parthian 	: inscriptional partica
inscriptional-pahlavi 	: inscriptional Pahlavi
psalter-pahlavi 	: salterio Pahlavi
old-turkic 	: vecchio turca
rumi-numeral-symbols 	: Simboli Rumi numerali
brahmi 	: Brahmi
kaithi 	: Kaithi
sora-sompeng 	: Sora Sompeng
chakma 	: Chakma
mahajani 	: Mahajani
sharada 	: Sharada
sinhala-archaic-numbers 	: I numeri singalese arcaiche
khojki 	: Khojki
khudawadi 	: Khudawadi
grantha 	: Grantha
newa	: Newa
tirhuta 	: Tirhuta
siddham 	: Siddham
modi 	: Modi
mongolian-supplement	: Supplemento mongolo
takri 	: Takri
warang-citi 	: Warang Citi
pau-cin-hau 	: Pau Cin Hau
bhaiksuki	: Bhaiksuki
marchen	: Marchen
cuneiform 	: Cuneiforme
cuneiform-numbers-and-punctuation 	: I numeri cuneiformi e punteggiatura
egyptian-hieroglyphs 	: Geroglifici egiziani
bamum-supplement 	: Bamum Supplemento
mro 	: Mro
bassa-vah 	: Bassa Vah
pahawh-hmong 	: Pahawh Hmong
miao 	: Miao
ideographic-symbols-and-punctuation	: Segni ideografici e punteggiatura
tangut	: Tangut
tangut-components	: Componenti Tangut
kana-supplement 	: Kana Supplemento
duployan 	: Duployan
shorthand-format-controls 	: Controlli formato Stenografia
byzantine-musical-symbols 	: Bizantini Simboli Musicali
musical-symbols 	: Simboli musicali
ancient-greek-musical-notation 	: Antica notazione musicale greca
tai-xuan-jing-symbols 	: Simboli Tai Xuan Jing
counting-rod-numerals 	: Conteggio Rod Numeri
mathematical-alphanumeric-symbols 	: Simboli alfanumerici matematiche
mende-kikakui 	: Mende Kikakui
adlam	: Adlam
arabic-mathematical-alphabetic-symbols 	: Arabo simboli matematici alfabetici
mahjong-tiles 	: Mahjong Piastrelle
domino-tiles 	: Domino Piastrelle
playing-cards 	: Giocando a carte
enclosed-alphanumeric-supplement 	: Supplemento alfanumerico chiuso
enclosed-ideographic-supplement 	: Supplemento Ideographic chiuso
miscellaneous-symbols-and-pictographs 	: Simboli vari e pittogrammi
emoticons 	: Emoticons (Emoji)
ornamental-dingbats 	: Simboli ornamentali
transport-and-map-symbols 	: Trasporto e simboli mappa
alchemical-symbols 	: simboli alchemici
geometric-shapes-extended 	: Forme geometriche estesa
supplemental-arrows-c 	: Supplementare frecce-C
combining-diacritical-marks-extended	: La combinazione segni diacritici estesa
lisu	: Lisu
myanmar-extended-b	: Myanmar Esteso-B
latin-extended-e	: Latino esteso-E
hangul-jamo-extended-b	: Hangul Jamo esteso-B
cherokee-supplement	: Cherokee Supplemento
hatran	: Hatran
old-hungarian	: vecchio ungherese
multani	: multani
ahom	: Ahom
early-dynastic-cuneiform	: All'inizio dinastico Cuneiforme
anatolian-hieroglyphs	: Anatolian Geroglifici
sutton-sign-writing	: Sutton SignWriting
glagolitic-supplement	: Supplemento Glagolitic
supplemental-symbols-and-pictographs	: Simboli supplementari e pittogrammi
