17C00: タング付表意文字L2008-5332
17C3A: Tangutの表意文字L2008-0722
17C3B: Tangutの表意文字L2008-1793
17C3C: Tangutの表意文字L2008-1788
17C3D: タング付表意文字L2008-0405
17C3E: タング付表意文字L2008-0393
17C3F: タング付表意文字L2008-1795
17C40: Tangutの表意文字L2008-1794
17C41: Tangutの表意文字L2008-0826
17C42: タング付表意文字L2008-0718
17C43: Tangutの表意文字L2008-0827
17C44: タング付表意文字L2008-0828
17C45: Tangutの表意文字L2008-0394
17C46: Tangutの表意文字L2008-0395
17C47: Tangutの表意文字L2008-0886
17C48: タング付表意文字L2008-1477
17C49: Tangutの表意文字L2008-1785
17C4A: タング付表意文字L2008-0608
17C4B: タング付表意文字L2008-1878
17C4C: Tangutの表意文字L2008-1799
17C4D: タング付表意文字L2008-0419
17C4E: Tangutの表意文字L2008-0988
17C4F: タング付表意文字L2008-1059
17C50: タング付表意文字L2008-0913
17C51: タング付表意文字L2008-1253
17C52: タング付表意文字L2008-0914
17C53: タング付表意文字L2008-1270
17C54: タング付表意文字L2008-1502
17C55: Tangutの表意文字L2008-0968
17C56: タング付表意文字L2008-1154
17C57: タング付表意文字L2008-1518
17C58: Tangutの表意文字L2008-0995
17C59: タング付表意文字L2008-1480
17C5A: タング付表意文字L2008-1071
17C5B: Tangutの表意文字L2008-0996
17C5C: Tangutの表意文字L2008-0922
17C5D: タング付表意文字L2008-1002
17C5E: タング付表意文字L2008-1300
17C5F: タング付表意文字L2008-1226
17C60: Tangutの表意文字L2008-0929
17C61: タング付表意文字L2008-1155
17C62: タング付表意文字L2008-1452
17C63: タング付表意文字L2008-1243
17C64: タング付表意文字L2008-1515
17C65: タング付表意文字L2008-1036
17C66: タング付表意文字L2008-1073
17C67: タング付表意文字L2008-1282
17C68: Tangutの表意文字L2008-0931
17C69: タング付表意文字L2008-1091
17C6A: Tangutの表意文字L2008-0932
17C6B: Tangutの表意文字L2008-1447
17C6C: タング付表意文字L2008-1284
17C6D: タング付表意文字L2008-1227
17C6E: Tangutの表意文字L2008-1301
17C6F: Tangutの表意文字L2008-1157
17C70: Tangutの表意文字L2008-1271
17C71: タング付表意文字L2008-1100
17C72: タング付表意文字L2008-1072
17C73: タング付表意文字L2008-1022
17C74: タング付表意文字L2008-1162
17C75: Tangutの表意文字L2008-0927
17C76: Tangutの表意文字L2008-0979
17C77: タング付表意文字L2008-1024
17C78: タング付表意文字L2008-1074
17C79: タング付表意文字L2008-1434
17C7A: タング付表意文字L2008-1379
17C7B: Tangutの表意文字L2008-0948
17C7C: Tangutの表意文字L2008-0961
17C7D: タング付表意文字L2008-1092
17C7E: タング付表意文字L2008-1433
17C7F: Tangutの表意文字L2008-0972
17C80: タング付表意文字L2008-1414
17C81: タング付表意文字L2008-1208
17C82: タング付表意文字L2008-1228
17C83: タング付表意文字L2008-1163
17C84: タング付表意文字L2008-1481
17C85: タング付表意文字L2008-1539
17C86: Tangut表意文字L2008-1303
17C87: Tangutの表意文字L2008-0923
17C88: Tangutの表意文字L2008-0933
17C89: タング付表意文字L2008-1075
17C8A: Tangutの表意文字L2008-0986
17C8B: タング付表意文字L2008-1529
17C8C: タング付表意文字L2008-1530
17C8D: タング付表意文字L2008-0980
17C8E: Tangutの表意文字L2008-0973
17C8F: Tangutの表意文字L2008-0924
17C90: タング付表意文字L2008-1111
17C91: タング付表意文字L2008-1450
17C92: タング付表意文字L2008-1038
17C93: タング付表意文字L2008-1340
17C94: Tangut表意文字L2008-1302
17C95: タング付表意文字L2008-1496
17C96: タング付表意文字L2008-1060
17C97: タング付表意文字L2008-1554
17C98: タング付表意文字L2008-1403
17C99: タング付表意文字L2008-1077
17C9A: タング付表意文字L2008-1248
17C9B: タング付表意文字L2008-1341
17C9C: タング付表意文字L2008-0950
17C9D: Tangutの表意文字L2008-0951
17C9E: タング付表意文字L2008-1093
17C9F: タング付表意文字L2008-1343
17CA0: タング付表意文字L2008-1364
17CA1: タング付表意文字L2008-1547
17CA2: Tangutの表意文字L2008-1304
17CA3: タング付表意文字L2008-1076
17CA4: Tangutの表意文字L2008-0971
17CA5: タング付表意文字L2008-1287
17CA6: Tangut表意文字L2008-1331
17CA7: タング付表意文字L2008-1380
17CA8: タング付表意文字L2008-1461
17CA9: Tangutの表意文字L2008-0925
17CAA: タング付表意文字L2008-1023
17CAB: タング付表意文字L2008-1471
17CAC: タング付表意文字L2008-1548
17CAD: タング付表意文字L2008-1032
17CAE: タング付表意文字L2008-1437
17CAF: タング付表意文字L2008-1344
17CB0: タング付表意文字L2008-1342
17CB1: Tangutの表意文字L2008-1164
17CB2: Tangutの表意文字L2008-0949
17CB3: タング付表意文字L2008-1254
17CB4: タング付表意文字L2008-1165
17CB5: Tangut表意文字L2008-1122
17CB6: Tangutの表意文字L2008-1209
17CB7: タング付表意文字L2008-1211
17CB8: Tangutの表意文字L2008-0952
17CB9: タング付表意文字L2008-1078
17CBA: タング付表意文字L2008-1365
17CBB: タング付表意文字L2008-1394
17CBC: Tangutの表意文字L2008-1166
17CBD: Tangutの表意文字L2008-1109
17CBE: Tangutの表意文字L2008-5933
17CBF: タング付表意文字L2008-4070
17CC0: Tangutの表意文字L2008-4074
17CC1: Tangutの表意文字L2008-4068
17CC2: タング付表意文字L2008-4061
17CC3: Tangut表意文字L2008-1551
17CC4: Tangutの表意文字L2008-0842
17CC5: Tangutの表意文字L2008-0463
17CC6: Tangutの表意文字L2008-1839
17CC7: Tangutの表意文字L2008-0466
17CC8: Tangutの表意文字L2008-0639
17CC9: タング付表意文字L2008-1564
17CCA: Tangutの表意文字L2008-0843
17CCB: Tangutの表意文字L2008-0471
17CCC: タング付表意文字L2008-1840
17CCD: タング付表意文字L2008-1563
17CCE: タング付表意文字L2008-1842
17CCF: タング付表意文字L2008-1565
17CD0: タング付表意文字L2008-0892
17CD1: タング付表意文字L2008-5859
17CD2: タング付表意文字L2008-5880
17CD3: Tangutの表意文字L2008-5994
17CD4: Tangutの表意文字L2008-5988
17CD5: Tangutの表意文字L2008-5967
17CD6: Tangutの表意文字L2008-5861
17CD7: タングタング表意文字S1968-5379
17CD8: タング付表意文字L2008-1277
17CD9: Tangutの表意文字L2008-6011
17CDA: Tangutの表意文字L2008-0822
17CDB: Tangutの表意文字L2008-0244
17CDC: タング付表意文字L2008-0374
17CDD: Tangutの表意文字L2008-0863
17CDE: Tangutの表意文字L2008-1709
17CDF: タング付表意文字L2008-1720
17CE0: タング付表意文字L2008-0813
17CE1: Tangutの表意文字L2008-0245
17CE2: Tangutの表意文字L2008-0303
17CE3: タング付表意文字L2008-0275
17CE4: タング付表意文字L2008-1356
17CE5: タング付表意文字L2008-1324
17CE6: タング付表意文字L2008-1737
17CE7: タング付表意文字L2008-1710
17CE8: Tangutの表意文字L2008-0562
17CE9: Tangutの表意文字L2008-1668
17CEA: Tangutの表意文字L2008-0793
17CEB: タング付表意文字L2008-1738
17CEC: タング付表意文字L2008-1416
17CED: Tangutの表意文字L2008-1857
17CEE: タング付表意文字L2008-0378
17CEF: Tangutの表意文字L2008-1776
17CF0: タングタング表意文字S1968-5397
17CF1: Tangutの表意文字L2008-0388
17CF2: タング付表意文字L2008-0392
17CF3: タング付表意文字L2008-0612
17CF4: Tangutの表意文字L2008-0411
17CF5: タング付表意文字L2008-1430
17CF6: タング付表意文字L2008-1456
17CF7: Tangutの表意文字L2008-1796
17CF8: Tangut表意文字L2008-1792
17CF9: Tangutの表意文字L2008-1797
17CFA: Tangutの表意文字L2008-0396
17CFB: タング付表意文字L2008-0402
17CFC: タング付表意文字L2008-0397
17CFD: Tangutの表意文字L2008-0636
17CFE: タング付表意文字L2008-1552
17CFF: タング付表意文字L2008-1575
