18800: タングット成分001
188DC: タングコンポーネント -  221
188DD: タングット成分222
188DE: タングット成分223
188DF: タングット成分-224
188E0: タングット成分-225
188E1: タングット成分226
188E2: タングアイテム227
188E3: タングアイテム228
188E4: タングアイテム229
188E5: タングット成分-230
188E6: タングット成分-231
188E7: タングアイテム-232
188E8: タングアイテム233
188E9: タングット成分-234
188EA: タングット成分235
188EB: タングアイテム236
188EC: タングット成分237
188ED: タングアイテム238
188EE: タングアイテム239
188EF: タングットコンポーネント-240
188F0: タングアイテム241
188F1: タングット成分-224
188F2: タングアイテム243
188F3: タングアイテム244
188F4: タングアイテム245
188F5: タングコンポーネント -  246
188F6: タングアイテム247
188F7: タングアイテム248
188F8: タングコンポーネント249
188F9: タングット成分-250
188FA: タングコンポーネント -  251
188FB: タングコンポーネント -  252
188FC: タングコンポーネント -  253
188FD: タングコンポーネント -  254
188FE: タングコンポーネント -  255
188FF: タングコンポーネント -  256
