1F600: ニヤリ顔
1F664: ヘビーノースウェストポインティングバド
1F665: ヘビーサウスウェストポインティングバド
1F666: ヘビーノースイーストポインティングバド
1F667: ヘビーサウスイーストポインティングバド
1F668: 中空キルトスクエアオーナメント
1F669: ブラックスクエアの中空キルトスクエア飾り
1F66A: ソリッドキルトスクエアオーナメント : 四つ折り結び目飾り
1F66B: 黒い四角で固体キルト広場飾り : 逆4倍結び目飾り
1F66C: 左ロケット
1F66D: 上向きロケット
1F66E: 右ロケット
1F66F: 下向きロケット
1F670: スクリプト合字と飾り : イタリックアンパサンド小文字
1F671: ヘビースクリプト合字その他飾り
1F672: リガチャーオープンエットオーナメント
1F673: ヘビーリガチャーオープンエットオーナメント
1F674: ヘビーアンパサンドオーナメント
1F675: スワッシュアンパサンド飾り : イタリックアンパサンド
1F676: Sans-Serifヘビーダブルターンコンマ引用符飾り
1F677: サンセリフヘビーダブルコンマ引用符飾り
1F678: サンセリフヘビーローダブルダブルコンマ引用符飾り
1F679: ヘビーインターロバンオーナメント
1F67A: サンセリフインターロバンオーナメント
1F67B: ヘビーサンセリフインターロバングオーナメント
1F67C: 非常に重いSolidus
1F67D: 非常に重い逆ソリッド
1F67E: チェッカーボード
1F67F: リバースチェッカーボード
1F680: ロケット
1F681: ヘリコプター
1F682: 蒸気機関車
1F683: 鉄道車両
1F684: 高速列車
1F685: 弾丸付き高速列車
1F686: 列車 : 都市間列車
1F687: 地下鉄 : 地下鉄、地下鉄
1F688: ライトレール
1F689: 駅 : 電車、地下鉄の駅
1F68A: 路面電車
1F68B: 路面電車
1F68C: バス
1F68D: 対向バス
1F68E: トロリーバス
1F68F: バス停
1F690: ミニバス
1F691: 救急車
1F692: 消防車
1F693: 警察車
1F694: 対向パトカー
1F695: タクシー
1F696: 対向タクシー
1F697: 自動車
1F698: 対向車
1F699: RV車
1F69A: 配達用トラック
1F69B: 関節式トラック
1F69C: トラクター
1F69D: モノレール
1F69E: 山岳鉄道
1F69F: サスペンション鉄道
1F6A0: マウンテンケーブルウェイ
1F6A1: 空中トラムウェイ
1F6A2: 船 : クルーズライン休暇
1F6A3: 手漕ぎボート
1F6A4: スピードボート
1F6A5: 水平方向の信号
1F6A6: 垂直信号
1F6A7: 工事サイン
1F6A8: 警察の車の回転灯 : 回転ビーコン
1F6A9: 投稿に三角の旗 : 位置情報
1F6AA: ドア
1F6AB: 進入禁止のサイン
1F6AC: 喫煙のシンボル
1F6AD: 禁煙のシンボル
1F6AE: その場所にゴミを入れる
1F6AF: シンボルを捨てない
1F6B0: 飲料水のシンボル
1F6B1: 非飲用水のシンボル
1F6B2: 自転車
1F6B3: 自転車禁止
1F6B4: 自転車
1F6B5: 山の自転車
1F6B6: 歩行者 : 歩く
1F6B7: 自動車通行専用
1F6B8: 子供たちが渡る
1F6B9: メンズシンボル : 男のシンボル : 男性用トイレ
1F6BA: 女性のシンボル : 女性のシンボル : 女性用トイレ
1F6BB: トイレ : 男と女のシンボルとディバイダー : ユニセックストイレ
1F6BC: 赤ちゃんのシンボル : ボード上の赤ちゃん、赤ちゃんのチェンジステーション
1F6BD: トイレ
1F6BE: トイレ
1F6BF: シャワー
1F6C0: 浴
1F6C1: バスタブ
1F6C2: 入国審査
1F6C3: 税関
1F6C4: 手荷物受取所
1F6C5: 左荷物
1F6C6: 角の丸い三角形 : 注意
1F6C7: 禁止サイン
1F6C8: 丸で囲まれた情報源 : 情報
1F6C9: 男の子のシンボル
1F6CA: 女の子のシンボル
1F6CB: ソファとランプ : 家具、ライフスタイル
1F6CC: スリーピングアコモデーション : ホテル、客室
1F6CD: ショッピングバッグ : ショッピング
1F6CE: Bellhop Bell : レセプション、サービス
1F6CF: ベッド
1F6D0: 礼拝所
1F6D1: 八角形のサイン
1F6D2: ショッピングカート
1F6D3: ストゥーパ
1F6D4: パゴダ
1F6D5:
1F6D6:
1F6D7:
1F6D8:
1F6D9:
1F6DA:
1F6DB:
1F6DC:
1F6DD:
1F6DE:
1F6DF:
1F6E0: ハンマーとレンチ : 工具、修理施設
1F6E1: シールド : 私たち道路州間高速道路
1F6E2: オイルドラム : 商品
1F6E3: 高速道路
1F6E4: 線路 : 鉄道
1F6E5: モーターボート : ボート
1F6E6: 上向きの軍用機 : 軍用空港
1F6E7: 上向きの飛行機 : 商業空港
1F6E8: 上向き小型飛行機 : 飛行場
1F6E9: 小型飛行機
1F6EA: 北東向きの飛行機
1F6EB: 飛行機の出発 : 出発
1F6EC: 飛行機が到着 : 到着
1F6ED:
1F6EE:
1F6EF:
1F6F0: 衛星
1F6F1: 対向消防車 : 火災
1F6F2: ディーゼル機関車 : 列車
1F6F3: 客船 : クルーズライン休暇
1F6F4: スクーター
1F6F5: スクーター
1F6F6: カヌー
1F6F7: そり : そり、トボガン
1F6F8: 空飛ぶ円盤 : UFO
1F6F9: スケートボード
1F6FA:
1F6FB:
1F6FC:
1F6FD:
1F6FE:
1F6FF:
