17800: タング付表意文字L2008-0506
1788B: タング付表意文字L2008-4057
1788C: Tangutの表意文字L2008-4019
1788D: タング付表意文字L2008-4020
1788E: タング付表意文字L2008-3029
1788F: タング付表意文字L2008-3072
17890: タング付表意文字L2008-3044
17891: Tangutの表意文字L2008-2844
17892: タング付表意文字L2008-3076
17893: Tangutの表意文字L2008-2026
17894: Tangutの表意文字L2008-2051
17895: タング付表意文字L2008-3545
17896: Tangutの表意文字L2008-2721
17897: タング付表意文字L2008-2420
17898: タング付表意文字L2008-2048
17899: Tangutの表意文字L2008-3778
1789A: タング付表意文字L2008-3054
1789B: タング付表意文字L2008-3003
1789C: Tangutの表意文字L2008-2728
1789D: Tangutの表意文字L2008-3446
1789E: Tangutの表意文字L2008-2398
1789F: Tangutの表意文字L2008-2001
178A0: Tangutの表意文字L2008-2002
178A1: Tangutの表意文字L2008-2578
178A2: Tangutの表意文字L2008-2848
178A3: Tangutの表意文字L2008-2003
178A4: タング付表意文字L2008-2592
178A5: タング付表意文字L2008-2406
178A6: タング付表意文字L2008-3526
178A7: Tangutの表意文字L2008-2057
178A8: Tangutの表意文字L2008-1886
178A9: タング付表意文字L2008-3179
178AA: Tangutの表意文字L2008-2228
178AB: Tangut表意文字L2008-2185
178AC: Tangutの表意文字L2008-2063
178AD: タング付表意文字L2008-3113
178AE: タング付表意文字L2008-3178
178AF: タング付表意文字L2008-3190
178B0: Tangutの表意文字L2008-3274
178B1: Tangutの表意文字L2008-3237
178B2: Tangutの表意文字L2008-3261
178B3: Tangutの表意文字L2008-2852
178B4: Tangut表意文字L2008-2187
178B5: Tangutの表意文字L2008-2064
178B6: Tangutの表意文字L2008-2263
178B7: Tangutの表意文字L2008-2193
178B8: Tangutの表意文字L2008-2246
178B9: タング付表意文字L2008-3167
178BA: Tangut表意文字L2008-2458
178BB: Tangutの表意文字L2008-2641
178BC: タング付表意文字L2008-3180
178BD: タング付表意文字L2008-3181
178BE: Tangutの表意文字L2008-2602
178BF: タング付表意文字L2008-3619
178C0: タング付表意文字L2008-3639
178C1: Tangutの表意文字L2008-3191
178C2: Tangutの表意文字L2008-3114
178C3: タング付表意文字L2008-3195
178C4: Tangutの表意文字L2008-3275
178C5: Tangutの表意文字L2008-3797
178C6: Tangutの表意文字L2008-3277
178C7: タング付表意文字L2008-3389
178C8: Tangutの表意文字L2008-2797
178C9: タング付表意文字L2008-3192
178CA: Tangutの表意文字L2008-2065
178CB: Tangutの表意文字L2008-2178
178CC: Tangutの表意文字L2008-3174
178CD: タング付表意文字L2008-2211
178CE: Tangutの表意文字L2008-3217
178CF: Tangutの表意文字L2008-2229
178D0: Tangutの表意文字L2008-2746
178D1: Tangutの表意文字L2008-2284
178D2: タング付表意文字L2008-2290
178D3: Tangutの表意文字L2008-2144
178D4: Tangutの表意文字L2008-2247
178D5: Tangutの表意文字L2008-2230
178D6: Tangut表意文字L2008-2183
178D7: Tangut表意文字L2008-2184
178D8: タング付表意文字L2008-2188
178D9: Tangutの表意文字L2008-2294
178DA: Tangutの表意文字L2008-2066
178DB: Tangutの表意文字L2008-2074
178DC: Tangutの表意文字L2008-2173
178DD: Tangutの表意文字L2008-2206
178DE: Tangutの表意文字L2008-2464
178DF: タング付表意文字L2008-3630
178E0: Tangutの表意文字L2008-2073
178E1: タング付表意文字L2008-3115
178E2: Tangutの表意文字L2008-2490
178E3: Tangutの表意文字L2008-3278
178E4: Tangutの表意文字L2008-2642
178E5: Tangutの表意文字L2008-2616
178E6: Tangutの表意文字L2008-2603
178E7: タング付表意文字L2008-2640
178E8: タング付表意文字L2008-3620
178E9: タング付表意文字L2008-3640
178EA: タング付表意文字L2008-3142
178EB: タング付表意文字L2008-3798
178EC: Tangutの表意文字L2008-3621
178ED: Tangutの表意文字L2008-3193
178EE: タング付表意文字L2008-3238
178EF: タング付表意文字L2008-3208
178F0: Tangutの表意文字L2008-3276
178F1: Tangutの表意文字L2008-2854
178F2: タング付表意文字L2008-3784
178F3: Tangut表意文字L2008-3365
178F4: Tangutの表意文字L2008-3804
178F5: Tangut表意文字L2008-3366
178F6: Tangutの表意文字L2008-3279
178F7: タング付表意文字L2008-3194
178F8: Tangutの表意文字L2008-2448
178F9: タング付表意文字L2008-3120
178FA: Tangutの表意文字L2008-2088
178FB: Tangutの表意文字L2008-2190
178FC: タング付表意文字L2008-2748
178FD: Tangutの表意文字L2008-2089
178FE: タング付表意文字L2008-2215
178FF: Tangutの表意文字L2008-2783
