1D600: 数学サンセリフボールドスモールS
1D6CD: 数学ボールドスモールミュー
1D6CE: 数学ボールドスモールニュー
1D6CF: 数学ボールドスモールXi
1D6D0: 数学的ボールドスモールオミクロン
1D6D1: 数学ボールドスモールパイ
1D6D2: 数学ボールドスモールロー
1D6D3: 数学ボールドスモールファイナルシグマ
1D6D4: 数学的ボールドスモールシグマ
1D6D5: 数学的太字スモールタウ
1D6D6: 数学的な大胆な小さなウプシロン
1D6D7: 数学ボールドスモールファイ
1D6D8: 数学ボールドスモールチー
1D6D9: 数学的な太字の小さいPsi
1D6DA: 数学的な大胆な小さなオメガ
1D6DB: 数学的ボールド偏微分
1D6DC: 数学的太字イプシロン記号
1D6DD: 数学的ボールドシータシンボル
1D6DE: 数学の太字のカッパ記号
1D6DF: 数学の太字のピピシンボル
1D6E0: 数学的ボールドロー記号
1D6E1: 数学的な太字のPiシンボル
1D6E2: 数学イタリック体大文字アルファ
1D6E3: 数学イタリック体資本ベータ
1D6E4: イタリック体の首都ガンマ
1D6E5: 数学イタリックキャピタルデルタ
1D6E6: イタリック体資本イプシロン
1D6E7: 数学イタリック体資本ゼータ
1D6E8: イタリック体資本η
1D6E9: イタリック体の首都シータ
1D6EA: イタリック体の首都イオタ
1D6EB: イタリック体の首都カッパ
1D6EC: イタリック体の首都ラムダ
1D6ED: イタリック体の首都ムー
1D6EE: 数学イタリック体大文字
1D6EF: 数学イタリック体Xi
1D6F0: イタリック体の首都オミクロン
1D6F1: イタリックキャピタルパイ
1D6F2: 数学イタリック体資本Rho
1D6F3: 数学イタリック体首都シータシンボル
1D6F4: イタリックキャピタルシグマ
1D6F5: 数学イタリック体首都タウ
1D6F6: イタリック体資本のウプシロン
1D6F7: イタリックキャピタルピピ
1D6F8: イタリック体の首都カイ
1D6F9: イタリック体の首都
1D6FA: イタリック体の首都オメガ
1D6FB: 数学イタリック体Nabla
1D6FC: 数学イタリックスモールアルファ
1D6FD: 数学イタリックスモールベータ
1D6FE: 数学イタリックスモールガンマ
1D6FF: 数学イタリックスモールデルタ
