1D700: 数学イタリック体小イプシロン
1D788: 数学サンセリフボールドスモールオメガ
1D789: 数学的サンセリフボールド偏微分
1D78A: 数学サンセリフ太字イプシロン記号
1D78B: 数学のサンセリフボールドシータシンボル
1D78C: 数学サンセリフ太字カッパシンボル
1D78D: 数学のサンセリフボールドピーシンボル
1D78E: 数学サンセリフボールドロー記号
1D78F: 数学サンセリフボールドパイシンボル
1D790: 数学サンセリフボールドイタリックキャピタルアルファ
1D791: 数学サンセリフボールドイタリックキャピタルベータ
1D792: 数学的なサンセリフボールドイタリックキャピタルガンマ
1D793: 数学のサンセリフボールドイタリックキャピタルデルタ
1D794: 数学のサンセリフ太字斜体イプシロンイプシロン
1D795: 数学的なサンセリフ太字斜体資本ゼータ
1D796: 数学サンセリフボールドイタリックキャピタルエタ
1D797: 数学的なサンセリフボールドイタリックキャピタルシータ
1D798: 数学的なサンセリフ太字斜体資本イオタ
1D799: 数学サンセリフボールドイタリックキャピタルカッパ
1D79A: 数学サンセリフボールドイタリックキャピタルラムダ
1D79B: 数学サンセリフボールドイタリックキャピタルMu
1D79C: 数学サンセリフボールドイタリックキャピタルニュー
1D79D: 数学サンセリフボールドイタリックキャピタルXi
1D79E: サンセリフ体の太字イタリック体大文字のミクロン
1D79F: 数学サンセリフボールドイタリックキャピタルパイ
1D7A0: 数学サンセリフボールドイタリックキャピタルロー
1D7A1: 数学的なサンセリフ太字斜体大文字シータ記号
1D7A2: サンセリフ体の太字斜体大文字シグマ
1D7A3: 数学サンセリフボールドイタリックキャピタルタウ
1D7A4: サンセリフ体の太字イタリック体大文字のウプシロン
1D7A5: 数学サンセリフボールドイタリックキャピタルファイ
1D7A6: 数学サンセリフボールドイタリックキャピタルカイ
1D7A7: 数学サンセリフボールドイタリックキャピタルPSI
1D7A8: 数学のサンセリフボールドイタリックキャピタルオメガ
1D7A9: 数学サンセリフボールドイタリックナブラ
1D7AA: 数学サンセリフボールドイタリックスモールアルファ
1D7AB: 数学サンセリフボールドイタリックスモールベータ
1D7AC: 数学的なサンセリフボールドイタリックスモールガンマ
1D7AD: 数学サンセリフボールドイタリックスモールデルタ
1D7AE: 数学的なサンセリフ太字斜体小イプシロン
1D7AF: 数学サンセリフボールドイタリックスモールゼータ
1D7B0: 数学サンセリフボールドイタリックスモールイータ
1D7B1: 数学的なサンセリフボールドイタリックスモールシータ
1D7B2: 数学のサンセリフボールドイタリックスモールイオタ
1D7B3: 数学サンセリフボールドイタリックスモールカッパ
1D7B4: 数学的なサンセリフボールドイタリックスモールラムダ
1D7B5: 数学サンセリフボールドイタリックスモールミュー
1D7B6: 数学サンセリフボールドイタリックスモールニュー
1D7B7: 数学サンセリフボールドイタリックスモールXi
1D7B8: 数学的なサンセリフボールドイタリックスモールオミクロン
1D7B9: 数学サンセリフボールドイタリックスモールパイ
1D7BA: 数学サンセリフボールドイタリックスモールロー
1D7BB: サンセリフ体の太字斜体スモールファイナルシグマ
1D7BC: 数学のサンセリフボールドイタリックスモールシグマ
1D7BD: 数学サンセリフボールドイタリックスモールタウ
1D7BE: 数学的なSans-Serif太字斜体小型ウプシロン
1D7BF: 数学サンセリフボールドイタリックスモールファイ
1D7C0: 数学サンセリフボールドイタリックスモールチー
1D7C1: 数学サンセリフボールドイタリックスモールPSI
1D7C2: 数学サンセリフボールドイタリックスモールオメガ
1D7C3: 数学的なサンセリフボールドイタリック偏微分
1D7C4: 数学サンセリフ太字斜体イプシロン記号
1D7C5: 数学のサンセリフ太字斜体シータ記号
1D7C6: 数学サンセリフボールドイタリックカッパシンボル
1D7C7: 数学サンセリフボールドイタリックファイ記号
1D7C8: 数学サンセリフボールドイタリックロー記号
1D7C9: 数学サンセリフボールドイタリック円記号
1D7CA: 数学的ボールドキャピタルディガンマ
1D7CB: 数学的ボールドスモールディガンマ
1D7CC:
1D7CD:
1D7CE: 数学ボールドディジットゼロ
1D7CF: 数学ボールドディジットワン
1D7D0: 数学ボールドディジット2
1D7D1: 数学ボールドディジットスリー
1D7D2: 数学ボールドディジットフォー
1D7D3: 数学ボールドディジットファイブ
1D7D4: 数学ボールドディジット6
1D7D5: 数学ボールドディジットセブン
1D7D6: 数学ボールドディジットエイト
1D7D7: 数学ボールドディジットナイン
1D7D8: 数学的二重桁ゼロ
1D7D9: 数学的二重桁1
1D7DA: 数学的二重桁2
1D7DB: 数学的二重数字3
1D7DC: 数学的二重桁4
1D7DD: 数学的二重数字5
1D7DE: 数学的二重桁6
1D7DF: 数学的二重桁7
1D7E0: 数学的二重桁8
1D7E1: 数学的二重桁ディジットナイン
1D7E2: 数学サンセリフ数字ゼロ
1D7E3: 数学サンセリフ数字1
1D7E4: 数学サンセリフ数字2
1D7E5: 数学サンセリフ数字3
1D7E6: 数学サンセリフ数字4
1D7E7: 数学サンセリフ数字5
1D7E8: 数学サンセリフ数字6
1D7E9: 数学サンセリフ数字7
1D7EA: 数学サンセリフ数字8
1D7EB: 数学サンセリフ数字9
1D7EC: 数学サンセリフボールドディジットゼロ
1D7ED: 数学サンセリフボールドディジットワン
1D7EE: 数学サンセリフボールドディジット2
1D7EF: 数学サンセリフボールドディジット3
1D7F0: 数学サンセリフボールドディジット4
1D7F1: 数学サンセリフボールドディジットファイブ
1D7F2: 数学サンセリフボールドディジット6
1D7F3: 数学サンセリフボールドディジット7
1D7F4: 数学Sans-Serif太字数字8
1D7F5: 数学サンセリフボールドディジットナイン
1D7F6: 等幅数桁ゼロ
1D7F7: 等幅数桁1
1D7F8: 等幅数桁2
1D7F9: 等幅数字3桁
1D7FA: 等幅数字4桁
1D7FB: 等幅数字5桁
1D7FC: 等幅数字6桁
1D7FD: 等幅数字7桁
1D7FE: 等幅数字8桁
1D7FF: 等幅数字9桁
