17500: Tangutの表意文字L2008-5049
17578: Tangutの表意文字L2008-0444
17579: タング付表意文字L2008-0456
1757A: Tangutの表意文字L2008-0445
1757B: タング付表意文字L2008-1485
1757C: タング付表意文字L2008-0731
1757D: タング付表意文字L2008-1817
1757E: タング付表意文字L2008-1484
1757F: タング付表意文字L2008-1483
17580: Tangutの表意文字L2008-0455
17581: タング付表意文字L2008-0428
17582: Tangutの表意文字L2008-0447
17583: Tangut表意文字L2008-0627
17584: タング付表意文字L2008-0619
17585: タング付表意文字L2008-1516
17586: タング付表意文字L2008-1819
17587: タング付表意文字L2008-1818
17588: タング付表意文字L2008-1527
17589: Tangutの表意文字L2008-1509
1758A: Tangutの表意文字L2008-0457
1758B: タング付表意文字L2008-0432
1758C: タング付表意文字L2008-0448
1758D: Tangutの表意文字L2008-0837
1758E: Tangutの表意文字L2008-0454
1758F: Tangutの表意文字L2008-0429
17590: Tangutの表意文字L2008-0461
17591: Tangutの表意文字L2008-0727
17592: タング付表意文字L2008-0628
17593: Tangutの表意文字L2008-0729
17594: Tangutの表意文字L2008-0728
17595: タング付表意文字L2008-0626
17596: Tangutの表意文字L2008-0733
17597: タング付表意文字L2008-1813
17598: タング付表意文字L2008-1824
17599: タング付表意文字L2008-1499
1759A: Tangutの表意文字L2008-0835
1759B: タング付表意文字L2008-0434
1759C: Tangutの表意文字L2008-0462
1759D: Tangut表意文字L2008-1809
1759E: Tangutの表意文字L2008-1828
1759F: タング付表意文字L2008-0435
175A0: Tangutの表意文字L2008-1507
175A1: タング付表意文字L2008-1820
175A2: タング付表意文字L2008-1810
175A3: Tangutの表意文字L2008-1827
175A4: タング付表意文字L2008-1831
175A5: タング付表意文字L2008-1487
175A6: タング付表意文字L2008-1536
175A7: タング付表意文字L2008-1544
175A8: タング付表意文字L2008-1511
175A9: Tangutの表意文字L2008-0897
175AA: タング付表意文字L2008-1523
175AB: タング付表意文字L2008-0838
175AC: タング付表意文字L2008-0836
175AD: タング付表意文字L2008-1821
175AE: タング付表意文字L2008-0888
175AF: タング付表意文字L2008-0898
175B0: タング付表意文字L2008-0437
175B1: タング付表意文字L2008-1520
175B2: タング付表意文字L2008-1538
175B3: タング付表意文字L2008-0630
175B4: Tangutの表意文字L2008-0436
175B5: タング付表意文字L2008-0433
175B6: Tangutの表意文字L2008-0441
175B7: タング付表意文字L2008-0629
175B8: タング付表意文字L2008-1822
175B9: タング付表意文字L2008-6008
175BA: タング付表意文字L2008-1811
175BB: タング付表意文字L2008-1830
175BC: タング付表意文字L2008-1491
175BD: Tangutの表意文字L2008-0427
175BE: タング付表意文字L2008-0430
175BF: タング付表意文字L2008-0452
175C0: タング付表意文字L2008-0450
175C1: タング付表意文字L2008-1534
175C2: Tangutの表意文字L2008-0734
175C3: タング付表意文字L2008-1540
175C4: Tangutの表意文字L2008-0438
175C5: Tangutの表意文字L2008-0446
175C6: タング付表意文字L2008-1489
175C7: タング付表意文字L2008-1522
175C8: タング付表意文字L2008-1814
175C9: タング付表意文字L2008-1532
175CA: タング付表意文字L2008-1812
175CB: Tangutの表意文字L2008-6023
175CC: タング付表意文字L2008-1537
175CD: タング付表意文字L2008-0634
175CE: Tangutの表意文字L2008-4069
175CF: Tangutの表意文字L2008-4066
175D0: Tangut表意文字L2008-4073
175D1: Tangutの表意文字L2008-4065
175D2: Tangutの表意文字L2008-4072
175D3: Tangutの表意文字L2008-0229
175D4: タング付表意文字L2008-0218
175D5: タング付表意文字L2008-0207
175D6: タング付表意文字L2008-0504
175D7: タング付表意文字L2008-1612
175D8: タング付表意文字L2008-1079
175D9: タング付表意文字L2008-1139
175DA: Tangutの表意文字L2008-0661
175DB: Tangutの表意文字L2008-0173
175DC: Tangutの表意文字L2008-0509
175DD: タング付表意文字L2008-1619
175DE: Tangutの表意文字L2008-0663
175DF: タング付表意文字L2008-1101
175E0: タング付表意文字L2008-0956
175E1: Tangutの表意文字L2008-0955
175E2: タング付表意文字L2008-1593
175E3: タング付表意文字L2008-5845
175E4: Tangutの表意文字L2008-5836
175E5: Tangutの表意文字L2008-5875
175E6: Tangutの表意文字L2008-5950
175E7: Tangutの表意文字L2008-5910
175E8: Tangutの表意文字L2008-5839
175E9: Tangutの表意文字L2008-5847
175EA: タング付表意文字L2008-5840
175EB: Tangutの表意文字L2008-5957
175EC: Tangutの表意文字L2008-5949
175ED: Tangutの表意文字L2008-5984
175EE: Tangutの表意文字L2008-5953
175EF: タング付表意文字L2008-1170
175F0: タング付表意文字L2008-0591
175F1: タング付表意文字L2008-1870
175F2: Tangut表意文字L2008-1707
175F3: タング付表意文字L2008-1397
175F4: タング付表意文字L2008-0311
175F5: タング付表意文字L2008-1195
175F6: Tangutの表意文字L2008-1666-1667
175F7: Tangutの表意文字L2008-1691
175F8: タング付表意文字L2008-1276
175F9: タング付表意文字L2008-1311
175FA: タング付表意文字L2008-1310
175FB: Tangutの表意文字L2008-0573
175FC: Tangutの表意文字L2008-0584
175FD: Tangutの表意文字L2008-0602
175FE: Tangutの表意文字L2008-0294
175FF: タング付表意文字L2008-1312
