13000: エジプトの象形文字A001
1309F: エジプトの象形文字D038
130A0: エジプトの象形文字D039
130A1: エジプトの象形文字D040
130A2: エジプトの象形文字D041
130A3: エジプトの象形文字D042
130A4: エジプトの象形文字D043
130A5: エジプトの象形文字D044
130A6: エジプトの象形文字D045
130A7: エジプトの象形文字D046
130A8: エジプトの象形文字D046a
130A9: エジプトの象形文字D047
130AA: エジプトの象形文字D048
130AB: エジプトの象形文字D048a
130AC: エジプトの象形文字D049
130AD: エジプトの象形文字D050
130AE: エジプトの象形文字D050a
130AF: エジプトの象形文字D050b
130B0: エジプトの象形文字D050c
130B1: エジプトの象形文字D050d
130B2: エジプトの象形文字D050e
130B3: エジプトの象形文字D050f
130B4: エジプトの象形文字D050g
130B5: エジプトの象形文字D050h
130B6: エジプトの象形文字D050i
130B7: エジプトの象形文字D051
130B8: エジプトの象形文字D052
130B9: エジプトの象形文字D052a
130BA: エジプトの象形文字D053
130BB: エジプトの象形文字D054
130BC: エジプトの象形文字D054a
130BD: エジプトの象形文字D055
130BE: エジプトの象形文字D056
130BF: エジプトの象形文字D057
130C0: エジプトの象形文字D058
130C1: エジプトの象形文字D059
130C2: エジプトの象形文字D060
130C3: エジプトの象形文字D061
130C4: エジプトの象形文字D062
130C5: エジプトの象形文字D063
130C6: エジプトの象形文字D064
130C7: エジプトの象形文字D065
130C8: エジプトの象形文字D066
130C9: エジプトの象形文字D067
130CA: エジプトの象形文字D067a
130CB: エジプトの象形文字D067b
130CC: エジプトの象形文字D067c
130CD: エジプトの象形文字D067d
130CE: エジプトの象形文字D067e
130CF: エジプトの象形文字D067f
130D0: エジプトの象形文字D067g
130D1: エジプトの象形文字D067h
130D2: エジプトの象形文字E001
130D3: エジプトの象形文字E002
130D4: エジプトの象形文字E003
130D5: エジプトの象形文字E004
130D6: エジプトの象形文字E005
130D7: エジプトの象形文字E006
130D8: エジプトの象形文字E007
130D9: エジプトの象形文字E008
130DA: エジプトの象形文字E008a
130DB: エジプトの象形文字E009
130DC: エジプトの象形文字E009a
130DD: エジプトの象形文字E010
130DE: エジプトの象形文字E011
130DF: エジプトの象形文字E012
130E0: エジプトの象形文字E013
130E1: エジプトの象形文字E014
130E2: エジプトの象形文字E015
130E3: エジプトの象形文字E016
130E4: エジプトの象形文字E016a
130E5: エジプトの象形文字E017
130E6: エジプトの象形文字E017a
130E7: エジプトの象形文字E018
130E8: エジプトの象形文字E019
130E9: エジプトの象形文字E020
130EA: エジプトの象形文字E020a
130EB: エジプトの象形文字E021
130EC: エジプトの象形文字E022
130ED: エジプトの象形文字E023
130EE: エジプトの象形文字E024
130EF: エジプトの象形文字E025
130F0: エジプトの象形文字E026
130F1: エジプトの象形文字E027
130F2: エジプトの象形文字E028
130F3: エジプトの象形文字E028a
130F4: エジプトの象形文字E029
130F5: エジプトの象形文字E030
130F6: エジプトの象形文字E031
130F7: エジプトの象形文字E032
130F8: エジプトの象形文字E033
130F9: エジプトの象形文字E034
130FA: エジプトの象形文字E034a
130FB: エジプトの象形文字E036
130FC: エジプトの象形文字E037
130FD: エジプトの象形文字E038
130FE: エジプトの象形文字F001
130FF: エジプトの象形文字F001a
