13100: エジプトの象形文字F002
13199: エジプトの象形文字I014
1319A: エジプトの象形文字I015
1319B: エジプトの象形文字K001
1319C: エジプトの象形文字K002
1319D: エジプトの象形文字K003
1319E: エジプトの象形文字K004
1319F: エジプトの象形文字K005
131A0: エジプトの象形文字K006
131A1: エジプトの象形文字K007
131A2: エジプトの象形文字K008
131A3: エジプトの象形文字L001
131A4: エジプトの象形文字L002
131A5: エジプトの象形文字L002a
131A6: エジプトの象形文字L003
131A7: エジプトの象形文字L004
131A8: エジプトの象形文字L005
131A9: エジプトの象形文字L006
131AA: エジプトの象形文字L006a
131AB: エジプトの象形文字L007
131AC: エジプトの象形文字L008
131AD: エジプトの象形文字M001
131AE: エジプトの象形文字M001a
131AF: エジプトの象形文字M001b
131B0: エジプトの象形文字M002
131B1: エジプトの象形文字M003
131B2: エジプトの象形文字M003a
131B3: エジプトの象形文字M004
131B4: エジプトの象形文字M005
131B5: エジプトの象形文字M006
131B6: エジプトの象形文字M007
131B7: エジプトの象形文字M008
131B8: エジプトの象形文字M009
131B9: エジプトの象形文字M010
131BA: エジプトの象形文字M010a
131BB: エジプトの象形文字M011
131BC: エジプトの象形文字M012
131BD: エジプトの象形文字M012a
131BE: エジプトの象形文字M012b
131BF: エジプトの象形文字M012c
131C0: エジプトの象形文字M012d
131C1: エジプトの象形文字M012e
131C2: エジプトの象形文字M012f
131C3: エジプトの象形文字M012g
131C4: エジプトの象形文字M012h
131C5: エジプトの象形文字M013
131C6: エジプトの象形文字M014
131C7: エジプトの象形文字M015
131C8: エジプトの象形文字M015a
131C9: エジプトの象形文字M016
131CA: エジプトの象形文字M016a
131CB: エジプトの象形文字M017
131CC: エジプトの象形文字M017a
131CD: エジプトの象形文字M018
131CE: エジプトの象形文字M019
131CF: エジプトの象形文字M020
131D0: エジプトの象形文字M021
131D1: エジプトの象形文字M022
131D2: エジプトの象形文字M022a
131D3: エジプトの象形文字M023
131D4: エジプトの象形文字M024
131D5: エジプトの象形文字M024a
131D6: エジプトの象形文字M025
131D7: エジプトの象形文字M026
131D8: エジプトの象形文字M027
131D9: エジプトの象形文字M028
131DA: エジプトの象形文字M028a
131DB: エジプトの象形文字M029
131DC: エジプトの象形文字M030
131DD: エジプトの象形文字M031
131DE: エジプトの象形文字M031a
131DF: エジプトの象形文字M032
131E0: エジプトの象形文字M033
131E1: エジプトの象形文字M033a
131E2: エジプトの象形文字M033b
131E3: エジプトの象形文字M034
131E4: エジプトの象形文字M035
131E5: エジプトの象形文字M036
131E6: エジプトの象形文字M037
131E7: エジプトの象形文字M038
131E8: エジプトの象形文字M039
131E9: エジプトの象形文字M040
131EA: エジプトの象形文字M040a
131EB: エジプトの象形文字M041
131EC: エジプトの象形文字M042
131ED: エジプトの象形文字M043
131EE: エジプトの象形文字M044
131EF: エジプトの象形文字N001
131F0: エジプトの象形文字N002
131F1: エジプトの象形文字N003
131F2: エジプトの象形文字N004
131F3: エジプトの象形文字N005
131F4: エジプトの象形文字N006
131F5: エジプトの象形文字N007
131F6: エジプトの象形文字N008
131F7: エジプトの象形文字N009
131F8: エジプトの象形文字N010
131F9: エジプトの象形文字N011
131FA: エジプトの象形文字N012
131FB: エジプトの象形文字N013
131FC: エジプトの象形文字N014
131FD: エジプトの象形文字N015
131FE: エジプトの象形文字N016
131FF: エジプトの象形文字N017
