17700: Tangutの表意文字L2008-4324
17782: タング付表意文字L2008-4258
17783: Tangutの表意文字L2008-4259
17784: タング付表意文字L2008-4270
17785: Tangutの表意文字L2008-4294
17786: タング付表意文字L2008-4377
17787: タング付表意文字L2008-4347
17788: Tangutの表意文字L2008-4267
17789: タング付表意文字L2008-4232
1778A: Tangutの表意文字L2008-4381
1778B: タング付表意文字L2008-4317
1778C: タング付表意文字L2008-4118
1778D: タング付表意文字L2008-4127
1778E: タング付表意文字L2008-4243
1778F: タング付表意文字L2008-4360
17790: タング付表意文字L2008-4228
17791: Tangutの表意文字L2008-4241
17792: タング付表意文字L2008-4387
17793: Tangut表意文字L2008-4263
17794: Tangut表意文字L2008-4135
17795: Tangut表意文字L2008-4222
17796: タング付表意文字L2008-4329
17797: タング付表意文字L2008-6050
17798: Tangutの表意文字L2008-4394
17799: タング付表意文字L2008-4231
1779A: タング付表意文字L2008-4264
1779B: Tangutの表意文字L2008-4422
1779C: タング付表意文字L2008-4168
1779D: タング付表意文字L2008-4115
1779E: タング付表意文字L2008-4342
1779F: タング付表意文字L2008-4300
177A0: Tangutの表意文字L2008-4141
177A1: Tangutの表意文字L2008-4196
177A2: タング付表意文字L2008-4322
177A3: Tangutの表意文字L2008-4253
177A4: タング付表意文字L2008-4268
177A5: タング付表意文字L2008-4298
177A6: Tangutの表意文字L2008-4323
177A7: タング付表意文字L2008-4358
177A8: Tangutの表意文字L2008-4195
177A9: タング付表意文字L2008-4353
177AA: タング付表意文字L2008-4140
177AB: タング付表意文字L2008-4129
177AC: Tangutの表意文字L2008-4271
177AD: タング付表意文字L2008-4120
177AE: タング付表意文字L2008-4355
177AF: Tangut表意文字L2008-4093
177B0: タング付表意文字L2008-4420
177B1: タング付表意文字L2008-4137
177B2: タング付表意文字L2008-4105
177B3: Tangut表意文字L2008-4094
177B4: Tangut表意文字L2008-4251
177B5: タング付表意文字L2008-4364
177B6: タング付表意文字L2008-4363
177B7: タング付表意文字L2008-4240
177B8: タング付表意文字L2008-4359
177B9: タング付表意文字H2004-A-1805
177BA: タング付表意文字L2008-4260
177BB: タング付表意文字L2008-4128
177BC: Tangutの表意文字L2008-4197
177BD: タング付表意文字L2008-4314
177BE: タング付表意文字L2008-4265
177BF: タング付表意文字L2008-4288
177C0: タング付表意文字L2008-4385
177C1: Tangutの表意文字L2008-4337
177C2: Tangutの表意文字L2008-4255
177C3: Tangutの表意文字L2008-4339
177C4: Tangut表意文字L2008-4391
177C5: タング付表意文字L2008-4340
177C6: Tangut表意文字L2008-4261
177C7: タング付表意文字L2008-4273
177C8: Tangutの表意文字L2008-4272
177C9: タング付表意文字L2008-4388
177CA: Tangutの表意文字L2008-4327
177CB: タング付表意文字L2008-4183
177CC: タング付表意文字L2008-4290
177CD: タング付表意文字L2008-4130
177CE: タング付表意文字L2008-4289
177CF: タング付表意文字L2008-4223
177D0: Tangutの表意文字L2008-4336
177D1: タング付表意文字L2008-4239
177D2: タング付表意文字L2008-4119
177D3: タング付表意文字L2008-4389
177D4: タング付表意文字L2008-4233
177D5: タング付表意文字L2008-6048
177D6: タング付表意文字L2008-4198
177D7: タング付表意文字L2008-4558
177D8: Tangutの表意文字L2008-0604
177D9: Tangutの表意文字L2008-4633
177DA: Tangutの表意文字L2008-5944
177DB: Tangutの表意文字L2008-4567
177DC: タング付表意文字L2008-2520
177DD: Tangutの表意文字L2008-2297
177DE: Tangutの表意文字L2008-4664
177DF: タング付表意文字L2008-3722
177E0: タング付表意文字L2008-1285
177E1: タング付表意文字L2008-1875
177E2: Tangutの表意文字L2008-1727
177E3: タング付表意文字L2008-1382
177E4: タング付表意文字L2008-0714
177E5: Tangutの表意文字L2008-1868
177E6: タング付表意文字L2008-0598
177E7: タング付表意文字L2008-1700
177E8: タング付表意文字L2008-1770
177E9: タング付表意文字L2008-1393
177EA: タング付表意文字L2008-0815
177EB: タング付表意文字L2008-0306
177EC: タング付表意文字L2008-0816
177ED: タング付表意文字L2008-1274
177EE: タング付表意文字L2008-1855
177EF: Tangutの表意文字L2008-0876
177F0: Tangut表意文字L2008-1701
177F1: タング付表意文字L2008-0748
177F2: タング付表意文字L2008-1014
177F3: Tangutの表意文字L2008-0226
177F4: タング付表意文字L2008-0652
177F5: タング付表意文字L2008-0167
177F6: タング付表意文字L2008-0481
177F7: タング付表意文字L2008-0168
177F8: Tangutの表意文字L2008-1847
177F9: タング付表意文字L2008-1591
177FA: Tangutの表意文字L2008-1645
177FB: Tangutの表意文字L2008-0749
177FC: タング付表意文字L2008-0180
177FD: Tangutの表意文字L2008-0227
177FE: タング付表意文字L2008-1138
177FF: タング付表意文字L2008-0850
