17000: タング付表意文字L2008-0008
170A9: Tangutの表意文字L2008-2714
170AA: Tangutの表意文字L2008-2969
170AB: Tangutの表意文字L2008-2986
170AC: Tangutの表意文字L2008-2904
170AD: Tangut表意文字L2008-1897
170AE: タング付表意文字L2008-1898
170AF: Tangutの表意文字L2008-3473
170B0: Tangutの表意文字L2008-2945
170B1: Tangutの表意文字L2008-3467
170B2: タング付表意文字L2008-2556
170B3: Tangut表意文字L2008-3471
170B4: Tangut表意文字L2008-3482
170B5: Tangutの表意文字L2008-1924
170B6: Tangutの表意文字L2008-2568
170B7: タング付表意文字L2008-3758
170B8: タング付表意文字L2008-3508
170B9: Tangutの表意文字L2008-2987
170BA: Tangutの表意文字L2008-2922
170BB: Tangutの表意文字L2008-1983
170BC: タング付表意文字L2008-2550
170BD: タング付表意文字L2008-3452
170BE: タング付表意文字L2008-2918
170BF: タング付表意文字L2008-1930
170C0: タング付表意文字L2008-1933
170C1: タング付表意文字L2008-3515
170C2: タング付表意文字L2008-2818
170C3: タング付表意文字L2008-1928
170C4: Tangutの表意文字L2008-2989
170C5: Tangut表意文字L2008-3468
170C6: Tangut表意文字L2008-1894
170C7: タング付表意文字L2008-2551
170C8: Tangutの表意文字L2008-3460
170C9: タング付表意文字L2008-3451
170CA: タング付表意文字L2008-3507
170CB: Tangutの表意文字L2008-2921
170CC: Tangutの表意文字L2008-2953
170CD: Tangutの表意文字L2008-2972
170CE: タング付表意文字L2008-3510
170CF: タング付表意文字L2008-3511
170D0: タング付表意文字L2008-1885
170D1: タング付表意文字L2008-1627
170D2: タング付表意文字L2008-0181
170D3: タング付表意文字L2008-1584
170D4: タング付表意文字L2008-0853
170D5: タング付表意文字L2008-3402
170D6: タング付表意文字L2008-3409
170D7: Tangutの表意文字L2008-2327
170D8: タング付表意文字L2008-3736
170D9: タング付表意文字L2008-3414
170DA: Tangutの表意文字L2008-3729
170DB: タング付表意文字L2008-3554
170DC: タング付表意文字L2008-3410
170DD: Tangut表意文字L2008-2334
170DE: タング付表意文字L2008-3732
170DF: タング付表意文字L2008-3730
170E0: タング付表意文字L2008-2527
170E1: Tangutの表意文字L2008-2529
170E2: タング付表意文字L2008-3404
170E3: タング付表意文字L2008-2537
170E4: タング付表意文字L2008-3416
170E5: Tangut表意文字L2008-3739
170E6: Tangutの表意文字L2008-3422
170E7: Tangutの表意文字L2008-2309
170E8: Tangutの表意文字L2008-2538
170E9: タング付表意文字L2008-2319
170EA: Tangutの表意文字L2008-2693
170EB: タング付表意文字L2008-2313
170EC: タング付表意文字L2008-3424
170ED: Tangutの表意文字L2008-2314
170EE: タング付表意文字L2008-3407
170EF: Tangutの表意文字L2008-2898
170F0: Tangutの表意文字L2008-3397
170F1: タング付表意文字L2008-2310
170F2: タング付表意文字L2008-2311
170F3: タング付表意文字L2008-3428
170F4: Tangut表意文字L2008-3731
170F5: タング付表意文字L2008-3406
170F6: タング付表意文字L2008-2332
170F7: タング付表意文字L2008-2534
170F8: Tangutの表意文字L2008-3413
170F9: タング付表意文字L2008-2695
170FA: Tangutの表意文字L2008-2691
170FB: タング付表意文字L2008-3734
170FC: Tangutの表意文字L2008-2535
170FD: タング付表意文字L2008-3811
170FE: タング付表意文字L2008-3733
170FF: タング付表意文字L2008-0032
