17E00: Tangutの表意文字L2008-1786
17E65: Tangutの表意文字L2008-2358
17E66: タング付表意文字L2008-3513
17E67: Tangutの表意文字L2008-1977
17E68: Tangutの表意文字L2008-2560
17E69: Tangutの表意文字L2008-2571
17E6A: Tangutの表意文字L2008-2393
17E6B: Tangutの表意文字L2008-2978
17E6C: Tangutの表意文字L2008-3469
17E6D: タング付表意文字L2008-1890
17E6E: Tangut表意文字L2008-1931
17E6F: タング付表意文字L2008-1980
17E70: Tangutの表意文字L2008-2569
17E71: Tangutの表意文字L2008-2949
17E72: Tangutの表意文字L2008-2992
17E73: タング付表意文字L2008-2715
17E74: Tangutの表意文字L2008-1958
17E75: タング付表意文字L2008-2570
17E76: Tangutの表意文字L2008-2829
17E77: Tangutの表意文字L2008-2993
17E78: Tangutの表意文字L2008-2717
17E79: タング付表意文字L2008-3481
17E7A: Tangutの表意文字L2008-3765
17E7B: タング付表意文字L2008-3512
17E7C: Tangutの表意文字L2008-2718
17E7D: Tangutの表意文字L2008-2950
17E7E: Tangutの表意文字L2008-2951
17E7F: タング付表意文字L2008-2834
17E80: タング付表意文字L2008-1934
17E81: Tangutの表意文字L2008-1936
17E82: Tangutの表意文字L2008-1978
17E83: タング付表意文字L2008-3514
17E84: タング付表意文字L2008-4526
17E85: タング付表意文字L2008-4578
17E86: Tangutの表意文字L2008-2523
17E87: タング付表意文字L2008-3393
17E88: Tangutの表意文字L2008-3728
17E89: タング付表意文字L2008-4018
17E8A: タング付表意文字L2008-4035
17E8B: Tangut表意文字L2008-4017
17E8C: Tangutの表意文字L2008-4047
17E8D: Tangut表意文字L2008-4036
17E8E: タング付表意文字L2008-4059
17E8F: タング付表意文字L2008-4058
17E90: タング付表意文字L2008-2548
17E91: Tangutの表意文字L2008-2027-2350
17E92: Tangutの表意文字L2008-2591
17E93: Tangutの表意文字L2008-3756
17E94: Tangutの表意文字L2008-2352
17E95: Tangutの表意文字L2008-3255
17E96: Tangutの表意文字L2008-3256
17E97: タング付表意文字L2008-3335
17E98: Tangutの表意文字L2008-2142
17E99: Tangutの表意文字L2008-2271
17E9A: タング付表意文字L2008-2279
17E9B: Tangutの表意文字L2008-3244
17E9C: タング付表意文字L2008-3650
17E9D: Tangutの表意文字L2008-3336
17E9E: Tangutの表意文字L2008-2787
17E9F: Tangutの表意文字L2008-3246
17EA0: タング付表意文字L2008-2277
17EA1: Tangutの表意文字L2008-2506
17EA2: Tangutの表意文字L2008-2155
17EA3: Tangutの表意文字L2008-2443
17EA4: Tangutの表意文字L2008-2676
17EA5: タング付表意文字L2008-3795
17EA6: Tangut表意文字L2008-3651
17EA7: タング付表意文字L2008-3373
17EA8: タング付表意文字L2008-3338
17EA9: Tangut表意文字L2008-2158
17EAA: Tangutの表意文字L2008-2147
17EAB: タング付表意文字L2008-2280
17EAC: タング付表意文字L2008-2157
17EAD: Tangutの表意文字L2008-2156
17EAE: タング付表意文字L2008-3701
17EAF: Tangutの表意文字L2008-2517
17EB0: Tangutの表意文字L2008-2505
17EB1: タング付表意文字L2008-2500
17EB2: Tangutの表意文字L2008-3257
17EB3: Tangutの表意文字L2008-2677
17EB4: Tangutの表意文字L2008-3603
17EB5: タング付表意文字L2008-3793
17EB6: Tangut表意文字L2008-3785
17EB7: タング付表意文字L2008-3695
17EB8: Tangutの表意文字L2008-3164
17EB9: タング付表意文字L2008-3379
17EBA: Tangutの表意文字L2008-2456
17EBB: Tangut表意文字L2008-3339
17EBC: Tangutの表意文字L2008-2446
17EBD: Tangutの表意文字L2008-2794
17EBE: Tangutの表意文字L2008-2159
17EBF: Tangutの表意文字L2008-2886
17EC0: Tangutの表意文字L2008-3337
17EC1: Tangutの表意文字L2008-2788
17EC2: Tangutの表意文字L2008-2166
17EC3: Tangutの表意文字L2008-6046
17EC4: Tangutの表意文字L2008-2445
17EC5: タング付表意文字L2008-3346
17EC6: Tangutの表意文字L2008-2687
17EC7: Tangutの表意文字L2008-2622
17EC8: Tangutの表意文字L2008-2678
17EC9: Tangutの表意文字L2008-3604
17ECA: タング付表意文字L2008-3699
17ECB: タング付表意文字L2008-3719
17ECC: Tangutの表意文字L2008-3605
17ECD: タング付表意文字L2008-3806
17ECE: タング付表意文字L2008-3153
17ECF: Tangutの表意文字L2008-2509
17ED0: タング付表意文字L2008-3347
17ED1: Tangutの表意文字L2008-2795
17ED2: Tangutの表意文字L2008-2161
17ED3: Tangutの表意文字L2008-2272
17ED4: タング付表意文字L2008-2289
17ED5: タング付表意文字L2008-2170
17ED6: Tangutの表意文字L2008-2508
17ED7: Tangutの表意文字L2008-2502
17ED8: Tangutの表意文字L2008-2281
17ED9: Tangutの表意文字L2008-3653
17EDA: タング付表意文字L2008-3700
17EDB: Tangutの表意文字L2008-2792
17EDC: タング付表意文字L2008-3648
17EDD: タング付表意文字L2008-3374
17EDE: Tangutの表意文字L2008-2169
17EDF: Tangutの表意文字L2008-3245
17EE0: Tangutの表意文字L2008-3161
17EE1: Tangutの表意文字L2008-3344
17EE2: Tangutの表意文字L2008-2167
17EE3: Tangutの表意文字L2008-2793
17EE4: Tangutの表意文字L2008-2501
17EE5: Tangutの表意文字L2008-6033
17EE6: Tangutの表意文字L2008-3609
17EE7: タング付表意文字L2008-2160
17EE8: タング付表意文字L2008-3165
17EE9: Tangutの表意文字L2008-3166
17EEA: Tangutの表意文字L2008-3247
17EEB: Tangutの表意文字L2008-2789
17EEC: タング付表意文字L2008-3380
17EED: Tangutの表意文字L2008-2168
17EEE: タング付表意文字L2008-2880
17EEF: Tangutの表意文字L2008-2808
17EF0: Tangut表意文字L2008-3704
17EF1: タング付表意文字L2008-3610
17EF2: タング付表意文字L2008-3348
17EF3: Tangutの表意文字L2008-3375
17EF4: Tangut表意文字L2008-2881
17EF5: Tangutの表意文字L2008-2278
17EF6: タング付表意文字L2008-3162
17EF7: Tangut表意文字L2008-3705
17EF8: Tangutの表意文字L2008-2148
17EF9: Tangut表意文字L2008-6040
17EFA: タング付表意文字L2008-3794
17EFB: Tangutの表意文字L2008-2507
17EFC: Tangutの表意文字L2008-2256
17EFD: Tangutの表意文字L2008-2174
17EFE: タング付表意文字L2008-2213
17EFF: タング付表意文字L2008-3585
