17D00: Tangutの表意文字L2008-0464
17DD4: Tangutの表意文字L2008-4487
17DD5: Tangutの表意文字L2008-4476
17DD6: Tangutの表意文字L2008-4485
17DD7: Tangutの表意文字L2008-6052
17DD8: タング付表意文字L2008-0651
17DD9: タング付表意文字L2008-1065
17DDA: Tangutの表意文字L2008-0991
17DDB: Tangutの表意文字L2008-1629
17DDC: Tangut表意文字L2008-0917
17DDD: タング付表意文字L2008-1064
17DDE: Tangutの表意文字L2008-0217
17DDF: タング付表意文字L2008-0918
17DE0: タング付表意文字L2008-0157
17DE1: Tangutの表意文字L2008-0484
17DE2: タング付表意文字L2008-1843
17DE3: タング付表意文字L2008-1585
17DE4: Tangut表意文字L2008-0767
17DE5: タング付表意文字L2008-0513
17DE6: タング付表意文字L2008-0190
17DE7: タング付表意文字L2008-1051
17DE8: タング付表意文字L2008-1665
17DE9: Tangutの表意文字L2008-1605
17DEA: タング付表意文字L2008-1112
17DEB: タング付表意文字L2008-1120
17DEC: Tangutの表意文字L2008-1449
17DED: タング付表意文字L2008-0830
17DEE: タング付表意文字L2008-0403
17DEF: タング付表意文字L2008-0422
17DF0: Tangutの表意文字L2008-0613
17DF1: タング付表意文字L2008-1790
17DF2: タング付表意文字L2008-1478
17DF3: タング付表意文字L2008-1463
17DF4: タング付表意文字L2008-0423
17DF5: Tangutの表意文字L2008-0412
17DF6: タング付表意文字L2008-0408
17DF7: Tangutの表意文字L2008-0721
17DF8: タング付表意文字L2008-1448
17DF9: タング付表意文字L2008-1464
17DFA: タング付表意文字L2008-0409
17DFB: タング付表意文字L2008-0424
17DFC: タング付表意文字L2008-0616
17DFD: タングタング表意文字S1968-0333
17DFE: Tangutの表意文字L2008-1465
17DFF: Tangut表意文字L2008-1803
