18100: タング付表意文字L2008-1013
18194: Tangutの表意文字L2008-0935
18195: タング付表意文字L2008-1176
18196: タング付表意文字L2008-5870
18197: Tangutの表意文字L2008-5937
18198: Tangutの表意文字L2008-5909
18199: Tangut表意文字L2008-5934
1819A: Tangutの表意文字L2008-5938
1819B: Tangutの表意文字L2008-5975
1819C: Tangut表意文字L2008-5832
1819D: Tangutの表意文字L2008-0764
1819E: Tangutの表意文字L2008-0216
1819F: タング付表意文字L2008-0233
181A0: タング付表意文字L2008-1046
181A1: タング付表意文字L2008-0516
181A2: タング付表意文字L2008-1052
181A3: タング付表意文字L2008-1135
181A4: Tangutの表意文字L2008-0212
181A5: タング付表意文字L2008-0768
181A6: タング付表意文字L2008-0520
181A7: タング付表意文字L2008-0655
181A8: Tangutの表意文字L2008-0648
181A9: Tangutの表意文字L2008-0665
181AA: タング付表意文字L2008-1652
181AB: Tangutの表意文字L2008-1113
181AC: Tangutの表意文字L2008-0847
181AD: タング付表意文字L2008-1053
181AE: Tangutの表意文字L2008-0194
181AF: タング付表意文字L2008-0189
181B0: Tangutの表意文字L2008-0191
181B1: Tangutの表意文字L2008-0667
181B2: Tangutの表意文字L2008-0984
181B3: Tangutの表意文字L2008-0983
181B4: Tangutの表意文字L2008-0669
181B5: Tangutの表意文字L2008-0666
181B6: Tangutの表意文字L2008-1606
181B7: タング付表意文字L2008-1653
181B8: タング付表意文字L2008-1656
181B9: タング付表意文字L2008-0859
181BA: タング付表意文字L2008-1114
181BB: Tangutの表意文字L2008-1658
181BC: Tangutの表意文字L2008-0770
181BD: タング付表意文字L2008-1115
181BE: タング付表意文字L2008-1048
181BF: タング付表意文字L2008-0234
181C0: Tangutの表意文字L2008-0525
181C1: タング付表意文字L2008-0238
181C2: タング付表意文字L2008-1136
181C3: タング付表意文字L2008-1056
181C4: Tangutの表意文字L2008-0649
181C5: タング付表意文字L2008-1626
181C6: Tangutの表意文字L2008-1654
181C7: タング付表意文字L2008-1119
181C8: タング付表意文字L2008-0848
181C9: タング付表意文字L2008-0192
181CA: タング付表意文字L2008-0852
181CB: Tangutの表意文字L2008-0650
181CC: Tangutの表意文字L2008-0672
181CD: Tangutの表意文字L2008-1609
181CE: Tangut表意文字L2008-1603
181CF: Tangutの表意文字L2008-1657
181D0: Tangutの表意文字L2008-4071
181D1: Tangutの表意文字L2008-4083
181D2: Tangutの表意文字L2008-4063
181D3: Tangutの表意文字L2008-4064
181D4: Tangutの表意文字L2008-4075
181D5: Tangutの表意文字L2008-4076
181D6: Tangutの表意文字L2008-0488
181D7: タング付表意文字L2008-0186
181D8: タング付表意文字L2008-1622
181D9: タング付表意文字L2008-1457
181DA: タング付表意文字L2008-0720
181DB: タング付表意文字L2008-0715
181DC: Tangutの表意文字L2008-1121
181DD: Tangutの表意文字L2008-0517
181DE: タング付表意文字L2008-1116
181DF: Tangutの表意文字L2008-0765
181E0: タング付表意文字L2008-0518
181E1: タング付表意文字L2008-1600
181E2: タング付表意文字L2008-1133
181E3: Tangutの表意文字L2008-1663
181E4: タング付表意文字L2008-1719
181E5: タング付表意文字L2008-1426
181E6: タング付表意文字L2008-1446
181E7: タング付表意文字L2008-0400
181E8: タング付表意文字L2008-1787
181E9: タング付表意文字L2008-1451
181EA: タング付表意文字L2008-0401
181EB: タング付表意文字L2008-0635
181EC: タング付表意文字L2008-1557
181ED: タング付表意文字L2008-1566
181EE: タング付表意文字L2008-0738
181EF: タング付表意文字L2008-1573
181F0: タング付表意文字L2008-1500
181F1: Tangutの表意文字L2008-0839
181F2: Tangutの表意文字L2008-0632
181F3: Tangutの表意文字L2008-1823
181F4: Tangutの表意文字L2008-0449
181F5: タング付表意文字L2008-0633
181F6: Tangutの表意文字L2008-1881
181F7: タング付表意文字L2008-0840
181F8: タング付表意文字L2008-1882
181F9: Tangutの表意文字L2008-0544
181FA: タング付表意文字L2008-0352
181FB: Tangutの表意文字L2008-0355
181FC: Tangutの表意文字L2008-0532
181FD: Tangutの表意文字L2008-0695
181FE: Tangutの表意文字L2008-1742
181FF: Tangutの表意文字L2008-0578
