18000: Tangutの表意文字L2008-2906
180DA: Tangutの表意文字L2008-5411
180DB: Tangutの表意文字L2008-5417
180DC: Tangut表意文字L2008-5523
180DD: Tangutの表意文字L2008-5071
180DE: Tangutの表意文字L2008-5285
180DF: Tangutの表意文字L2008-5467
180E0: Tangutの表意文字L2008-5149
180E1: Tangutの表意文字L2008-5113
180E2: Tangutの表意文字L2008-5364
180E3: Tangutの表意文字L2008-5574
180E4: Tangutの表意文字L2008-5067
180E5: Tangutの表意文字L2008-5418
180E6: Tangutの表意文字L2008-5694
180E7: Tangutの表意文字L2008-5086
180E8: Tangutの表意文字L2008-5072
180E9: Tangutの表意文字L2008-5122
180EA: Tangutの表意文字L2008-5712
180EB: Tangutの表意文字L2008-5261
180EC: タング付表意文字L2008-5352
180ED: Tangut表意文字L2008-5353
180EE: タング付表意文字L2008-5550
180EF: Tangutの表意文字L2008-0539
180F0: タング付表意文字L2008-0258
180F1: タング付表意文字L2008-1676
180F2: Tangutの表意文字L2008-0688
180F3: タング付表意文字L2008-1429
180F4: Tangutの表意文字L2008-0389
180F5: タング付表意文字L2008-1453
180F6: Tangutの表意文字L2008-0398
180F7: Tangutの表意文字L2008-0399
180F8: Tangutの表意文字L2008-0496
180F9: Tangutの表意文字L2008-0957
180FA: タング付表意文字L2008-0163
180FB: タング付表意文字L2008-0494
180FC: タング付表意文字L2008-0505
180FD: Tangutの表意文字L2008-1616
180FE: タング付表意文字L2008-0239
180FF: Tangutの表意文字L2008-0660
