17300: タング付表意文字L2008-3025
173B1: タング付表意文字L2008-2836
173B2: Tangutの表意文字L2008-2821
173B3: Tangutの表意文字L2008-2841
173B4: タング付表意文字L2008-3450
173B5: タング付表意文字L2008-4025
173B6: Tangut表意文字L2008-4023
173B7: Tangutの表意文字L2008-4085
173B8: Tangutの表意文字L2008-4054
173B9: タング付表意文字L2008-4060
173BA: Tangutの表意文字L2008-4038
173BB: タング付表意文字L2008-2080
173BC: Tangutの表意文字L2008-2028
173BD: Tangutの表意文字L2008-2586
173BE: Tangut表意文字L2008-2411
173BF: Tangutの表意文字L2008-3771
173C0: Tangutの表意文字L2008-2723
173C1: Tangutの表意文字L2008-1999
173C2: Tangutの表意文字L2008-1995
173C3: Tangutの表意文字L2008-2722
173C4: タング付表意文字L2008-2000
173C5: Tangutの表意文字L2008-3546
173C6: タング付表意文字L2008-2052
173C7: Tangutの表意文字L2008-2403
173C8: タング付表意文字L2008-3535
173C9: Tangutの表意文字L2008-2283
173CA: Tangutの表意文字L2008-3225
173CB: Tangutの表意文字L2008-3363
173CC: タングタング表意文字S1968-5596
173CD: タングタング表意文字N1966-202-051
173CE: Tangutの表意文字L2008-2471
173CF: Tangutの表意文字L2008-2441
173D0: タング付表意文字L2008-3790
173D1: Tangutの表意文字L2008-2442
173D2: Tangutの表意文字L2008-2744
173D3: タング付表意文字L2008-3655
173D4: タング付表意文字L2008-3350
173D5: Tangutの表意文字L2008-2774
173D6: Tangutの表意文字L2008-2796
173D7: タング付表意文字L2008-3104
173D8: Tangutの表意文字L2008-3273
173D9: タング付表意文字L2008-3340
173DA: Tangutの表意文字L2008-3233
173DB: Tangutの表意文字L2008-2072
173DC: Tangutの表意文字L2008-2081
173DD: Tangutの表意文字L2008-3325
173DE: タング付表意文字L2008-3112
173DF: タング付表意文字L2008-3573
173E0: タング付表意文字L2008-3303
173E1: タング付表意文字L2008-2503
173E2: タング付表意文字L2008-3720
173E3: タング付表意文字L2008-3349
173E4: Tangutの表意文字L2008-2171
173E5: Tangutの表意文字L2008-2488
173E6: Tangutの表意文字L2008-2863
173E7: タングタング表意文字S1968-5574
173E8: Tangutの表意文字L2008-2681
173E9: Tangutの表意文字L2008-2671
173EA: Tangutの表意文字L2008-2608
173EB: Tangutの表意文字L2008-2273
173EC: Tangutの表意文字L2008-2287
173ED: Tangutの表意文字L2008-2648
173EE: タング付表意文字L2008-3314
173EF: タング付表意文字L2008-3658
173F0: タング付表意文字L2008-3155
173F1: タング付表意文字L2008-3313
173F2: Tangut表意文字L2008-2489
173F3: タング付表意文字L2008-2220
173F4: Tangutの表意文字L2008-2149
173F5: タング付表意文字L2008-3369
173F6: Tangutの表意文字L2008-2769
173F7: タング付表意文字L2008-3352
173F8: タング付表意文字L2008-3718
173F9: Tangutの表意文字L2008-2513
173FA: タング付表意文字L2008-3706
173FB: Tangutの表意文字L2008-2274
173FC: Tangutの表意文字L2008-2143
173FD: Tangutの表意文字L2008-2223
173FE: Tangutの表意文字L2008-2659
173FF: Tangutの表意文字L2008-3377
