1FB00: ブロック六分儀-1
1FB7D: 左上1/8ブロック
1FB7E: 右上8分の1ブロック
1FB7F: 右と下の1/8ブロック
1FB80: 上下1/8ブロック
1FB81: 水平1/8ブロック-1358
1FB82: 上四分の一ブロック
1FB83: 上3/8ブロック
1FB84: 上5/8ブロック
1FB85: 上4分の3ブロック
1FB86: 上部7/8ブロック
1FB87: 四分の一ブロック
1FB88: 右3/8ブロック
1FB89: 右5/8ブロック
1FB8A: 右4分の3ブロック
1FB8B: 右7/8ブロック
1FB8C: 左半分の中陰
1FB8D: 右半分の中陰
1FB8E: 上半分の中陰
1FB8F: 下半分の中陰
1FB90: 逆ミディアムシェード
1FB91: 上半分のブロックと下半分の逆の中間の色合い
1FB92: 上半分の逆中間の色合いと下半分のブロック
1FB93:
1FB94: 左半分の中間の色合いと右半分のブロック
1FB95: チェッカーボード塗りつぶし
1FB96: 逆チェッカーボード塗りつぶし
1FB97: 重い水平塗りつぶし
1FB98: 左上から右下の塗りつぶし
1FB99: 右上から左下の塗りつぶし
1FB9A: 上下三角ハーフブロック
1FB9B: 左右の三角ハーフブロック
1FB9C: 左上三角ミディアムシェード
1FB9D: 右上三角ミディアムシェード
1FB9E: 右下三角ミディアムシェード
1FB9F: 左下三角ミディアムシェード
1FBA0: 箱絵は斜め上中央から左中へ
1FBA1: 箱の図は、明るい斜め上中央から中央右へ
1FBA2: 箱の図は、斜め左中央から下部中央に向かって明るい
1FBA3: 箱の絵は、右下中央から斜め下中央へ
1FBA4: 箱の図は、明るい対角線上中央から中央左、下中央に向かって明るい
1FBA5: 箱の図は明るい斜め上中央から中央右下中央まで
1FBA6: 箱の図は、明るい斜め左中央から中央下右中央
1FBA7: 箱の絵は、斜め左中央から上部中央まで右斜め
1FBA8: 箱の図は、明るい斜め上中央から中央左、中央右から下中央に向かって明るい
1FBA9: 箱の図面は、明るい斜め上中央から中央右へ、中央左から下中央へ
1FBAA: 箱の図明るい斜め上中央から中央右、下中央から中央左
1FBAB: 箱の図面は、明るい斜め上中央から中央左へ、下中央から中央右へ
1FBAC: 箱の図は、明るい対角線の中央左から上部中央へ、中央右から下部中央へ
1FBAD: 箱の図面は、明るい斜めの中央右から上部中央へ、中央左から下部中央へ
1FBAE: ボックスの図面の明るい斜めのダイヤモンド
1FBAF: 垂直ストロークのある水平方向のボックスの描画
1FBB0: 矢印型のポインター
1FBB1: 逆チェックマーク
1FBB2: 左走男
1FBB3: 右半分走る男
1FBB4: 左下向きの逆下向き矢印
1FBB5: 左向き矢印と上下1/8ブロック
1FBB6: 右矢印と上下1/8ブロック
1FBB7: 下向き矢印と右1/8ブロック
1FBB8: 上向き矢印と右1/8ブロック
1FBB9: 左半分のフォルダー
1FBBA: 右半分のフォルダー
1FBBB: ボイドギリシャクロス
1FBBC: 右開四角ドット
1FBBD: 負の対角線の十字
1FBBE: 負の対角線の中央右から下中央
1FBBF: 負の対角線のひし形
1FBC0: 角が丸い白い重いソルティア
1FBC1: 左から3番目の白い右向きのインデックス
1FBC2: 真ん中3番目の白い右向きインデックス
1FBC3: 右から3番目の白い右ポインティングインデックス
1FBC4: 負の二乗疑問符
1FBC5: スティックフィギュア
1FBC6: 腕を上げるとスティック図
1FBC7: 左寄りスティック図
1FBC8: 右に傾くスティック図
1FBC9: ドレス付きスティックフィギュア
1FBCA: 白い上向きシェブロン
1FBCB:
1FBCC:
1FBCD:
1FBCE:
1FBCF:
1FBD0:
1FBD1:
1FBD2:
1FBD3:
1FBD4:
1FBD5:
1FBD6:
1FBD7:
1FBD8:
1FBD9:
1FBDA:
1FBDB:
1FBDC:
1FBDD:
1FBDE:
1FBDF:
1FBE0:
1FBE1:
1FBE2:
1FBE3:
1FBE4:
1FBE5:
1FBE6:
1FBE7:
1FBE8:
1FBE9:
1FBEA:
1FBEB:
1FBEC:
1FBED:
1FBEE:
1FBEF:
1FBF0: セグメント化桁ゼロ
1FBF1: セグメント化桁一
1FBF2: セグメント化桁二
1FBF3: セグメント化桁三
1FBF4: セグメント化桁四
1FBF5: セグメント化桁五
1FBF6: セグメント化桁六
1FBF7: セグメント化桁七
1FBF8: セグメント化桁八
1FBF9: セグメント化桁九
1FBFA:
1FBFB:
1FBFC:
1FBFD:
1FBFE:
1FBFF:
