17A00: Tangutの表意文字L2008-2652
17A61: タング付表意文字L2008-3593
17A62: タング付表意文字L2008-3586
17A63: Tangutの表意文字L2008-2684
17A64: Tangut表意文字L2008-2102
17A65: Tangutの表意文字L2008-3367
17A66: Tangut表意文字L2008-3661
17A67: Tangutの表意文字L2008-2163
17A68: タング付表意文字L2008-3315
17A69: タング付表意文字L2008-3135
17A6A: Tangutの表意文字L2008-2859
17A6B: タング付表意文字L2008-3168
17A6C: タング付表意文字L2008-3702
17A6D: Tangut表意文字L2008-2105
17A6E: Tangutの表意文字L2008-2110
17A6F: タング付表意文字L2008-3576
17A70: タング付表意文字L2008-3687
17A71: Tangut表意文字L2008-2620
17A72: タング付表意文字L2008-3107
17A73: タング付表意文字L2008-3332
17A74: Tangutの表意文字L2008-2636
17A75: Tangut表意文字L2008-3304
17A76: Tangutの表意文字L2008-3199
17A77: Tangutの表意文字L2008-3288
17A78: Tangutの表意文字L2008-3329
17A79: Tangutの表意文字L2008-3289
17A7A: タング付表意文字N1966-204-10GG
17A7B: Tangutの表意文字L2008-2222
17A7C: Tangutの表意文字L2008-2809
17A7D: Tangutの表意文字L2008-2113
17A7E: Tangutの表意文字L2008-2091
17A7F: Tangutの表意文字L2008-2067
17A80: Tangutの表意文字L2008-2258
17A81: Tangutの表意文字L2008-2124
17A82: Tangutの表意文字L2008-2264
17A83: Tangutの表意文字L2008-2078
17A84: Tangutの表意文字L2008-2227
17A85: Tangutの表意文字L2008-2292
17A86: Tangutの表意文字L2008-2164
17A87: タング付表意文字L2008-3331
17A88: Tangutの表意文字L2008-2481
17A89: Tangutの表意文字L2008-2134
17A8A: Tangutの表意文字L2008-3697
17A8B: Tangutの表意文字L2008-2647
17A8C: タング付表意文字L2008-3674
17A8D: Tangutの表意文字L2008-2251
17A8E: Tangutの表意文字L2008-2905
17A8F: タング付表意文字L2008-2864
17A90: Tangutの表意文字L2008-2867
17A91: Tangut表意文字L2008-3629
17A92: Tangutの表意文字L2008-3372
17A93: Tangutの表意文字L2008-3232
17A94: タング付表意文字L2008-2515
17A95: タング付表意文字L2008-3577
17A96: タング付表意文字L2008-3384
17A97: Tangutの表意文字L2008-2660
17A98: Tangutの表意文字L2008-2104
17A99: Tangutの表意文字L2008-2764
17A9A: Tangutの表意文字L2008-2865
17A9B: Tangut表意文字L2008-2634
17A9C: Tangutの表意文字L2008-2479
17A9D: Tangutの表意文字L2008-2487
17A9E: タング付表意文字L2008-2514
17A9F: Tangut表意文字L2008-2103
17AA0: Tangutの表意文字L2008-2763
17AA1: Tangut表意文字L2008-3686
17AA2: タング付表意文字L2008-3371
17AA3: Tangutの表意文字L2008-3220
17AA4: Tangutの表意文字L2008-3326
17AA5: タング付表意文字L2008-3145
17AA6: タング付表意文字L2008-3587
17AA7: タング付表意文字L2008-3616
17AA8: Tangutの表意文字L2008-2259
17AA9: Tangutの表意文字L2008-2866
17AAA: タング付表意文字L2008-3581
17AAB: Tangutの表意文字L2008-3578
17AAC: Tangutの表意文字L2008-2111
17AAD: Tangut表意文字L2008-2151
17AAE: タング付表意文字L2008-3599
17AAF: Tangutの表意文字L2008-2455
17AB0: Tangutの表意文字L2008-3141
17AB1: タング付表意文字L2008-3149
17AB2: タング付表意文字L2008-3351
17AB3: Tangut表意文字L2008-3327
17AB4: Tangutの表意文字L2008-3134
17AB5: Tangutの表意文字L2008-2275
17AB6: Tangut表意文字L2008-6027
17AB7: タング付表意文字L2008-3345
17AB8: タング付表意文字L2008-3638
17AB9: Tangutの表意文字L2008-2879
17ABA: タング付表意文字L2008-3354
17ABB: Tangutの表意文字L2008-3151
17ABC: Tangut表意文字L2008-3607
17ABD: タング付表意文字L2008-2101
17ABE: Tangutの表意文字L2008-2668
17ABF: Tangutの表意文字L2008-2614
17AC0: Tangutの表意文字L2008-3221
17AC1: タング付表意文字L2008-3596
17AC2: タング付表意文字L2008-3583
17AC3: Tangutの表意文字L2008-2885
17AC4: タング付表意文字L2008-3711
17AC5: タング付表意文字L2008-3588
17AC6: Tangut表意文字L2006-6054
17AC7: タング付表意文字L2008-3176
17AC8: タング付表意文字L2008-3133
17AC9: タング付表意文字L2008-2480
17ACA: タング付表意文字L2008-3594
17ACB: Tangutの表意文字L2008-2136
17ACC: Tangutの表意文字L2008-2862
17ACD: Tangutの表意文字L2008-2152
17ACE: Tangutの表意文字L2008-3209
17ACF: タング付表意文字L2008-3368
17AD0: タング付表意文字L2008-3342
17AD1: Tangutの表意文字L2008-2786
17AD2: タング付表意文字L2008-3385
17AD3: タング付表意文字L2008-3386
17AD4: タング付表意文字L2008-3119
17AD5: Tangutの表意文字L2008-2131
17AD6: Tangutの表意文字L2008-2094
17AD7: Tangut表意文字L2008-2883
17AD8: タングタング表意文字S1968-3449
17AD9: タング付表意文字L2008-3355
17ADA: Tangutの表意文字L2008-2198
17ADB: タング付表意文字L2008-3123
17ADC: タング付表意文字L2008-3652
17ADD: タングタング表意文字S1968-3641
17ADE: Tangutの表意文字L2008-2772
17ADF: タング付表意文字L2008-3163
17AE0: タング付表意文字L2008-3688
17AE1: Tangutの表意文字L2008-2679
17AE2: タング付表意文字L2008-3692
17AE3: タング付表意文字L2008-3172
17AE4: Tangutの表意文字L2008-3252
17AE5: Tangutの表意文字L2008-3231
17AE6: タング付表意文字L2008-3320
17AE7: タング付表意文字L2008-3715
17AE8: タング付表意文字L2008-3613
17AE9: タング付表意文字L2008-2180
17AEA: タング付表意文字N1966-204-13B
17AEB: Tangutの表意文字L2008-2245
17AEC: Tangutの表意文字L2008-2512
17AED: タング付表意文字L2008-3140
17AEE: タング付表意文字L2008-3378
17AEF: Tangutの表意文字L2008-2265
17AF0: Tangutの表意文字L2008-6041
17AF1: タング付表意文字L2008-3091
17AF2: タング付表意文字L2008-3094
17AF3: Tangutの表意文字L2008-2435
17AF4: Tangutの表意文字L2008-2436
17AF5: Tangutの表意文字L2008-2601
17AF6: タング付表意文字L2008-3092
17AF7: タング付表意文字L2008-3093
17AF8: タング付表意文字L2008-3101
17AF9: タング付表意文字L2008-3559
17AFA: タング付表意文字L2008-3560
17AFB: タング付表意文字L2008-3099
17AFC: Tangut表意文字L2008-2438
17AFD: Tangut表意文字L2008-2437
17AFE: Tangut表意文字L2008-3779
17AFF: タング付表意文字L2008-3096
