18700: Tangutの表意文字L2008-0611
18792: タング付表意文字L2008-1833
18793: タング付表意文字L2008-0676
18794: タング付表意文字L2008-4462
18795: Tangutの表意文字L2008-6051
18796: Tangutの表意文字L2008-4442
18797: タング付表意文字L2008-0001
18798: タング付表意文字L2008-1577
18799: タング付表意文字L2008-1582
1879A: Tangutの表意文字L2008-0740
1879B: タング付表意文字L2008-1578
1879C: タング付表意文字L2008-1583
1879D: タング付表意文字L2008-0031
1879E: タング付表意文字L2008-1019
1879F: Tangutの表意文字L2008-1621
187A0: Tangutの表意文字L2008-3971
187A1: Tangutの表意文字L2008-3941
187A2: Tangut表意文字L2008-3997
187A3: タング付表意文字L2008-3940
187A4: Tangutの表意文字L2008-4874
187A5: タング付表意文字L2008-5636
187A6: Tangut表意文字L2008-5637
187A7: Tangut表意文字L2008-4777
187A8: Tangutの表意文字L2008-5425
187A9: Tangutの表意文字L2008-5126
187AA: Tangut表意文字L2008-5356
187AB: タング付表意文字L2008-5368
187AC: Tangutの表意文字L2008-5698
187AD: Tangutの表意文字L2008-5717
187AE: Tangutの表意文字L2008-5743
187AF: Tangutの表意文字L2008-5436
187B0: Tangutの表意文字L2008-5761
187B1: Tangutの表意文字L2008-0900
187B2: タング付表意文字L2008-0910
187B3: タング付表意文字L2008-0527
187B4: Tangutの表意文字L2008-0595
187B5: Tangutの表意文字L2008-0596
187B6: Tangutの表意文字L2008-1876
187B7: Tangutの表意文字L2008-0334
187B8: Tangutの表意文字L2008-0519
187B9: タング付表意文字L2008-1156
187BA: Tangutの表意文字L2008-0337
187BB: Tangutの表意文字L2008-1185
187BC: タング付表意文字L2008-0003
187BD: Tangutの表意文字L2008-0477
187BE: タング付表意文字L2008-1579
187BF: Tangutの表意文字L2008-0476
187C0: Tangutの表意文字L2008-0046
187C1: タング付表意文字L2008-0210
187C2: タング付表意文字L2008-0508
187C3: タング付表意文字L2008-0118
187C4: Tangutの表意文字L2008-0597
187C5: Tangutの表意文字L2008-0063
187C6: Tangutの表意文字L2008-0782
187C7: タング付表意文字L2008-0002
187C8: タング付表意文字L2008-1581
187C9: Tangutの表意文字L2008-0741
187CA: タング付表意文字L2008-4452
187CB: タング付表意文字L2008-0045
187CC: Tangutの表意文字L2008-0512
187CD: タング付表意文字L2008-4665
187CE: タング付表意文字L2008-4634
187CF: タング付表意文字L2008-3883
187D0: タング付表意文字L2008-5495
187D1: Tangutの表意文字L2008-5493
187D2: Tangutの表意文字L2008-5494
187D3: タング付表意文字L2008-0583
187D4: タング付表意文字L2008-1035
187D5: Tangutの表意文字L2008-0763
187D6: タング付表意文字L2008-1031
187D7: タング付表意文字L2008-0039
187D8: タング付表意文字L2008-1041
187D9: タング付表意文字L2008-3830
187DA: Tangutの表意文字L2008-3957
187DB: タング付表意文字L2008-4882
187DC: Tangut表意文字L2008-5437
187DD: Tangutの表意文字L2008-5309
187DE: Tangut表意文字L2008-5037
187DF: Tangutの表意文字L2008-5778
187E0: Tangut表意文字L2008-1338
187E1: タング付表意文字L2008-1265
187E2: タング付表意文字L2008-0373
187E3: Tangutの表意文字L2008-0930
187E4: Tangutの表意文字L2008-0487
187E5: Tangutの表意文字L2008-1888
187E6: Tangut表意文字L2008-3301
187E7: Tangutの表意文字L2008-5794
187E8: Tangutの表意文字L2008-5787
187E9: Tangutの表意文字L2008-5779
187EA: タング付表意文字L2008-4995
187EB: Tangut表意文字L2008-5205
187EC: Tangutの表意文字L2008-5203
187ED:
187EE:
187EF:
187F0:
187F1:
187F2:
187F3:
187F4:
187F5:
187F6:
187F7:
187F8:
187F9:
187FA:
187FB:
187FC:
187FD:
187FE:
187FF: