17F00: タング付表意文字L2008-3152
17F97: Tangutの表意文字L2008-3670
17F98: タング付表意文字L2008-3625
17F99: タング付表意文字L2008-3800
17F9A: Tangutの表意文字L2008-3671
17F9B: Tangutの表意文字L2008-2855
17F9C: Tangut表意文字L2008-2186
17F9D: Tangutの表意文字L2008-2086
17F9E: Tangutの表意文字L2008-2440
17F9F: タング付表意文字L2008-3310
17FA0: タング付表意文字L2008-2470
17FA1: Tangutの表意文字L2008-2462
17FA2: Tangutの表意文字L2008-2675
17FA3: Tangutの表意文字L2008-2655
17FA4: タング付表意文字L2008-3600
17FA5: Tangutの表意文字L2008-3683-3684
17FA6: Tangutの表意文字L2008-2759
17FA7: Tangutの表意文字L2008-3296
17FA8: タング付表意文字L2008-2890
17FA9: Tangutの表意文字L2008-2800
17FAA: タング付表意文字L2008-2519
17FAB: Tangutの表意文字L2008-2621
17FAC: Tangutの表意文字L2008-2208
17FAD: Tangutの表意文字L2008-2239
17FAE: Tangutの表意文字L2008-2087
17FAF: Tangutの表意文字L2008-2657
17FB0: タングタング表意文字N1966-211-078
17FB1: Tangutの表意文字L2008-2781
17FB2: Tangutの表意文字L2008-2209
17FB3: Tangutの表意文字L2008-2760
17FB4: Tangutの表意文字L2008-3224
17FB5: タング付表意文字L2008-2615
17FB6: タング付表意文字L2008-3808
17FB7: タング付表意文字L2008-3110
17FB8: Tangutの表意文字L2008-2868
17FB9: Tangutの表意文字L2008-2175
17FBA: タング付表意文字L2008-3690
17FBB: Tangutの表意文字L2008-2146
17FBC: Tangutの表意文字L2008-6032
17FBD: Tangutの表意文字L2008-2451
17FBE: Tangutの表意文字L2008-2499
17FBF: Tangutの表意文字L2008-3160
17FC0: Tangutの表意文字L2008-2107
17FC1: Tangutの表意文字L2008-2454
17FC2: タング付表意文字L2008-3579
17FC3: Tangut表意文字L2008-3633
17FC4: Tangutの表意文字L2008-2791
17FC5: タング付表意文字L2008-3657
17FC6: タング付表意文字L2008-2210
17FC7: Tangutの表意文字L2008-2766
17FC8: タング付表意文字L2008-3626
17FC9: タング付表意文字L2008-3673
17FCA: Tangutの表意文字L2008-3322
17FCB: Tangutの表意文字L2008-2165
17FCC: Tangutの表意文字L2008-3297
17FCD: タング付表意文字L2008-3698
17FCE: Tangutの表意文字L2008-2761
17FCF: Tangutの表意文字L2008-3251
17FD0: Tangutの表意文字L2008-2241
17FD1: タング付表意文字L2008-3571
17FD2: Tangutの表意文字L2008-2893
17FD3: タング付表意文字L2008-2240
17FD4: Tangutの表意文字L2008-2139
17FD5: タング付表意文字L2008-3635
17FD6: Tangutの表意文字L2008-3323
17FD7: Tangutの表意文字L2008-2656
17FD8: Tangutの表意文字L2008-3127
17FD9: Tangutの表意文字L2008-3254
17FDA: Tangutの表意文字L2008-2856
17FDB: Tangut表意文字L2008-3672
17FDC: タング付表意文字L2008-3170
17FDD: Tangutの表意文字L2008-2669
17FDE: タング付表意文字L2008-3312
17FDF: Tangutの表意文字L2008-2255
17FE0: Tangutの表意文字L2008-2242
17FE1: Tangutの表意文字L2008-2873
17FE2: タング付表意文字L2008-2806
17FE3: タング付表意文字L2008-3111
17FE4: Tangutの表意文字L2008-2260
17FE5: Tangut表意文字L2008-2140
17FE6: Tangutの表意文字L2008-3334
17FE7: タング付表意文字L2008-3612
17FE8: Tangutの表意文字L2008-3647
17FE9: Tangutの表意文字L2008-3324
17FEA: Tangutの表意文字L2008-2762
17FEB: Tangutの表意文字L2008-3709
17FEC: Tangutの表意文字L2008-3694
17FED: Tangutの表意文字L2008-3171
17FEE: タング付表意文字L2008-3311
17FEF: Tangutの表意文字L2008-3298
17FF0: タング付表意文字L2008-3359
17FF1: Tangutの表意文字L2008-2266
17FF2: Tangut表意文字L2008-2115
17FF3: タング付表意文字L2008-3589
17FF4: Tangutの表意文字L2008-3608
17FF5: Tangutの表意文字L2008-2767
17FF6: Tangut表意文字L2008-2114
17FF7: タング付表意文字L2008-3126
17FF8: タング付表意文字L2008-3703
17FF9: Tangutの表意文字L2008-2261
17FFA: Tangutの表意文字L2008-2288
17FFB: Tangutの表意文字L2008-2267
17FFC: タング付表意文字L2008-2262
17FFD: タング付表意文字L2008-2270
17FFE: Tangutの表意文字L2008-2268
17FFF: Tangutの表意文字L2008-2463
