13300: エジプトの象形文字S040
1337A: エジプトの象形文字V011b
1337B: エジプトの象形文字V011c
1337C: エジプトの象形文字V012
1337D: エジプトの象形文字V012a
1337E: エジプトの象形文字V012b
1337F: エジプトの象形文字V013
13380: エジプトの象形文字V014
13381: エジプトの象形文字V015
13382: エジプトの象形文字V016
13383: エジプトの象形文字V017
13384: エジプトの象形文字V018
13385: エジプトの象形文字V019
13386: エジプトの象形文字V020
13387: エジプトの象形文字V020a
13388: エジプトの象形文字V020b
13389: エジプトの象形文字V020c
1338A: エジプトの象形文字V020d
1338B: エジプトの象形文字V020e
1338C: エジプトの象形文字V020f
1338D: エジプトの象形文字V020g
1338E: エジプトの象形文字V020h
1338F: エジプトの象形文字V020i
13390: エジプトの象形文字V020j
13391: エジプトの象形文字V020k
13392: エジプトの象形文字V020l
13393: エジプトの象形文字V021
13394: エジプトの象形文字V022
13395: エジプトの象形文字V023
13396: エジプトの象形文字V023a
13397: エジプトの象形文字V024
13398: エジプトの象形文字V025
13399: エジプトの象形文字V026
1339A: エジプトの象形文字V027
1339B: エジプトの象形文字V028
1339C: エジプトの象形文字V028a
1339D: エジプトの象形文字V029
1339E: エジプトの象形文字V029a
1339F: エジプトの象形文字V030
133A0: エジプトの象形文字V030a
133A1: エジプトの象形文字V031
133A2: エジプトの象形文字V031a
133A3: エジプトの象形文字V032
133A4: エジプトの象形文字V033
133A5: エジプトの象形文字V033a
133A6: エジプトの象形文字V034
133A7: エジプトの象形文字V035
133A8: エジプトの象形文字V036
133A9: エジプトの象形文字V037
133AA: エジプトの象形文字V037a
133AB: エジプトの象形文字V038
133AC: エジプトの象形文字V039
133AD: エジプトの象形文字V040
133AE: エジプトの象形文字V040a
133AF: エジプトの象形文字W001
133B0: エジプトの象形文字W002
133B1: エジプトの象形文字W003
133B2: エジプトの象形文字W003a
133B3: エジプトの象形文字W004
133B4: エジプトの象形文字W005
133B5: エジプトの象形文字W006
133B6: エジプトの象形文字W007
133B7: エジプトの象形文字W008
133B8: エジプトの象形文字W009
133B9: エジプトの象形文字W009a
133BA: エジプトの象形文字W010
133BB: エジプトの象形文字W010a
133BC: エジプトの象形文字W011
133BD: エジプトの象形文字W012
133BE: エジプトの象形文字W013
133BF: エジプトの象形文字W014
133C0: エジプトの象形文字W014a
133C1: エジプトの象形文字W015
133C2: エジプトの象形文字W016
133C3: エジプトの象形文字W017
133C4: エジプトの象形文字W017a
133C5: エジプトの象形文字W018
133C6: エジプトの象形文字W018a
133C7: エジプトの象形文字W019
133C8: エジプトの象形文字W020
133C9: エジプトの象形文字W021
133CA: エジプトの象形文字W022
133CB: エジプトの象形文字W023
133CC: エジプトの象形文字W024
133CD: エジプトの象形文字W024a
133CE: エジプトの象形文字W025
133CF: エジプトの象形文字X001
133D0: エジプトの象形文字X002
133D1: エジプトの象形文字X003
133D2: エジプトの象形文字X004
133D3: エジプトの象形文字X004a
133D4: エジプトの象形文字X004b
133D5: エジプトの象形文字X005
133D6: エジプトの象形文字X006
133D7: エジプトの象形文字X006a
133D8: エジプトの象形文字X007
133D9: エジプトの象形文字X008
133DA: エジプトの象形文字X008a
133DB: エジプトの象形文字Y001
133DC: エジプトの象形文字Y001a
133DD: エジプトの象形文字Y002
133DE: エジプトの象形文字Y003
133DF: エジプトの象形文字Y004
133E0: エジプトの象形文字Y005
133E1: エジプトの象形文字Y006
133E2: エジプトの象形文字Y007
133E3: エジプトの象形文字Y008
133E4: エジプトの象形文字Z001
133E5: エジプトの象形文字Z002
133E6: エジプトの象形文字Z002a
133E7: エジプトの象形文字Z002b
133E8: エジプトの象形文字Z002c
133E9: エジプトの象形文字Z002d
133EA: エジプトの象形文字Z003
133EB: エジプトの象形文字Z003a
133EC: エジプトの象形文字Z003b
133ED: エジプトの象形文字Z004
133EE: エジプトの象形文字Z004a
133EF: エジプトの象形文字Z005
133F0: エジプトの象形文字Z005a
133F1: エジプトの象形文字Z006
133F2: エジプトの象形文字Z007
133F3: エジプトの象形文字Z008
133F4: エジプトの象形文字Z009
133F5: エジプトの象形文字Z010
133F6: エジプトの象形文字Z011
133F7: エジプトの象形文字Z012
133F8: エジプトの象形文字Z013
133F9: エジプトの象形文字Z014
133FA: エジプトの象形文字Z015
133FB: エジプトの象形文字Z015a
133FC: エジプトの象形文字Z015b
133FD: エジプトの象形文字Z015c
133FE: エジプトの象形文字Z015d
133FF: エジプトの象形文字Z015e
