A100: 一音節Dit
A17D: 李音節ニット
A17E: 李音節ニックス
A17F: 一音節Ni
A180: 一音節ニップ
A181: イーシラブルニエックス
A182: 李音節ニー
A183: 李音節ニープ
A184: 一音節ナックス
A185: 一音節ナ
A186: 李音節昼寝
A187: 李音節ニューオックス
A188: 一音節ヌオ
A189: 李音節ヌープ
A18A: 一音節ではない
A18B: 李音節Nox
A18C: 李音節いいえ
A18D: 李音節ノップ
A18E: 一音節ネクスト
A18F: 李音節ね
A190: 李音節ネップ
A191: 一音節ナット
A192: 一音節ナックス
A193: 李音節ニュー
A194: 一音節ナップ
A195: 一音節ナックス
A196: 李音節ナー
A197: 李音節Hlit
A198: 一音節Hlix
A199: 李音節Hli
A19A: 李音節ヒップ
A19B: イーシラブルHliex
A19C: 李音節フリー
A19D: 李音節Hliep
A19E: 一音節Hlat
A19F: 李音節ハラックス
A1A0: 李音節Hla
A1A1: 李音節Hlap
A1A2: 一音節Hluox
A1A3: 一音節Hluo
A1A4: 李音節ループ
A1A5: 李音節lo音
A1A6: 一音節Hlo
A1A7: 李音節ホロップ
A1A8: 李音節フレックス
A1A9: 一音節ハレ
A1AA: 一音節Hlep
A1AB: 一音節Hlut
A1AC: 李音節フラックス
A1AD: 一音節Hlu
A1AE: 李音節Hlup
A1AF: 一音節Hlurx
A1B0: 李音節フルール
A1B1: Yiシラブル・ヒルト
A1B2: イーシラブルハイラックス
A1B3: 李音節フライ
A1B4: 李音節ヒップ
A1B5: イ・シラブル
A1B6: Yi Syllable Hlyr
A1B7: 李音節点灯
A1B8: 一音節リックス
A1B9: 李音節李
A1BA: 李音節リップ
A1BB: 李音節リート
A1BC: 李音節リエックス
A1BD: 李音節うそ
A1BE: 李音節リープ
A1BF: 李音節ラット
A1C0: 一音節ラックス
A1C1: 李音節ラ
A1C2: 李音節ラップ
A1C3: 李音節ルオ
A1C4: 李音節ルオックス
A1C5: 一音節羅
A1C6: S音羅ループ
A1C7: 一音節ロット
A1C8: 一音節ロックス
A1C9: 李音節
A1CA: 一音節ロップ
A1CB: 一音節レックス
A1CC: 一音節ル
A1CD: 李音節レップ
A1CE: 李音節ルット
A1CF: 一音節ラックス
A1D0: 李音節呂
A1D1: 一音節ループ
A1D2: 李音節ラックス
A1D3: 李音節ラル
A1D4: 一音節Lyt
A1D5: 一音節リックス
A1D6: 一音節Ly
A1D7: 一音節リップ
A1D8: 李音節リンクス
A1D9: 一音節リル
A1DA: 李音節Git
A1DB: 李音節ギクス
A1DC: 一音節Gi
A1DD: 李音節ギップ
A1DE: 李音節ジエット
A1DF: 李音節ギー
A1E0: 一音節ギー
A1E1: 李音節ギープ
A1E2: 李音節ガット
A1E3: 李音節ガックス
A1E4: 一音節Ga
A1E5: 李音節ギャップ
A1E6: 李音節
A1E7: 一音節Guox
A1E8: 一音節郭
A1E9: 李音節グープ
A1EA: 李音節ゴット
A1EB: 一音節ゴックス
A1EC: 一音節囲み
A1ED: 李音節Gop
A1EE: 一音節ゲット
A1EF: イーシラブルジェックス
A1F0: 一音節Ge
A1F1: 一音節Gep
A1F2: 李音節腸
A1F3: 李音節ガックス
A1F4: 一音節区
A1F5: 李音節グループ
A1F6: 李音節グルックス
A1F7: 李音節グル
A1F8: 一音節キット
A1F9: 李音節キックス
A1FA: 一音節キ
A1FB: 一音節キップ
A1FC: 李音節キエックス
A1FD: 一音節キー
A1FE: 李音節キープ
A1FF: 李音節カット
