1F00: Psiliとギリシャ語の小文字のアルファベット
1F62: PsiliとVariaが付いたギリシャの小文字オメガ
1F63: ダシアとヴァリアとギリシャの小さな手紙オメガ
1F64: PsiliとOxiaとギリシャの小さな手紙オメガ
1F65: DasiaとOxiaとギリシャの小さな手紙オメガ
1F66: PsiliとPerispomeniとギリシャの小さな手紙オメガ
1F67: DasiaとPerispomeniとギリシャの小さな手紙オメガ
1F68: Psili付きギリシャ語大文字Omega
1F69: ダシアとギリシャの大文字Omega
1F6A: PsiliとVariaを含むギリシャの大文字Omega
1F6B: ダシアとヴァリアとギリシャの大文字オメガ
1F6C: PsiliとOxiaのギリシャの大文字Omega
1F6D: DasiaとOxiaとギリシャの大文字Omega
1F6E: PsiliとPerispomeniを含むギリシャの大文字Omega
1F6F: DasiaとPerispomeniとギリシャの大文字Omega
1F70: Variaとギリシャの小文字のアルファベット
1F71: オキシアとギリシャの小文字のアルファベット
1F72: Variaとギリシャの小文字Epsilon
1F73: オキシアとギリシャの小文字Epsilon
1F74: Variaとギリシャの小さな手紙Eta
1F75: オキシアとギリシャの小文字Eta
1F76: Variaとギリシャの小文字イオタ
1F77: ギリシャとギリシャの小文字イオタ
1F78: Variaとギリシャの小文字オミクロン
1F79: オキシアとギリシャの小文字オミクロン
1F7A: Variaとギリシャの小文字のウプシロン
1F7B: オキシアとギリシャの小文字のウプシロン
1F7C: Variaとギリシャの小さな手紙オメガ
1F7D: オキシアとギリシャの小さな手紙オメガ
1F7E:
1F7F:
1F80: PsiliとYpogegrammeniとギリシャの小文字のアルファベット
1F81: DasiaとYpogegrammeniとギリシャの小文字のアルファベット
1F82: PsiliとVariaおよびYpogegrammeniとギリシャの小文字のアルファベット
1F83: ダシアとヴァリアとYpogegrammeniとギリシャの小文字のアルファベット
1F84: PsiliとOxiaおよびYpogegrammeniとギリシャの小文字のアルファベット
1F85: Dasia、Oxia、Ypogegrammeniのギリシャ文字小文字
1F86: PsiliとPerispomeni、Ypogegrammeniとギリシャの小文字のアルファベット
1F87: DasiaとPerispomeniとYpogegrammeniとギリシャの小文字のアルファベット
1F88: PsiliとProsgegrammeniのギリシャ大文字アルファベット
1F89: DasiaとProsgegrammeniとギリシャの大文字アルファベット
1F8A: PsiliとVariaおよびProsgegrammeniとギリシャの大文字アルファベット
1F8B: DasiaとVariaおよびProsgegrammeniとギリシャの大文字アルファベット
1F8C: PsiliとOxiaおよびProsgegrammeniとギリシャの大文字アルファベット
1F8D: DasiaとOxiaおよびProsgegrammeniとギリシャの大文字アルファベット
1F8E: PsiliとPerispomeniおよびProsgegrammeniとギリシャの大文字アルファベット
1F8F: DasiaとPerispomeniとProsgegrammeniとギリシャの大文字アルファベット
1F90: PsiliとYpogegrammeniとギリシャの小文字Eta
1F91: DasiaとYpogegrammeniとギリシャの小文字Eta
1F92: PsiliとVariaおよびYpogegrammeniとギリシャの小さな手紙Eta
1F93: ダシアとヴァリアとYpogegrammeniとギリシャの小さな手紙イタ
1F94: PsiliとOxiaおよびYpogegrammeniとギリシャの小さな手紙Eta
1F95: DasiaとOxiaとYpogegrammeniとギリシャの小さな手紙Eta
1F96: PsiliとPerispomeni、Ypogegrammeniとギリシャの小さな手紙Eta
1F97: DasiaとPerispomeni、Ypogegrammeniとギリシャの小さな手紙Eta
1F98: PsiliとProsgegrammeniのギリシャの大文字Eta
1F99: DasiaとProsgegrammeniとギリシャの大文字Eta
1F9A: PsiliとVariaおよびProsgegrammeniとギリシャの大文字Eta
1F9B: ダシアとヴァリアとProsgegrammeniとギリシャの大文字Eta
1F9C: PsiliとOxiaおよびProsgegrammeniとギリシャの大文字Eta
1F9D: DasiaとOxiaおよびProsgegrammeniとギリシャの大文字Eta
1F9E: PsiliとPerispomeni、Prosgegrammeniとギリシャの大文字Eta
1F9F: DasiaとPerispomeniとProsgegrammeniとギリシャの大文字Eta
1FA0: PsiliとYpogegrammeniが付いているギリシャの小さい手紙オメガ
1FA1: DasiaとYpogegrammeniが付いているギリシャの小さい手紙オメガ
1FA2: PsiliとVariaおよびYpogegrammeniが付いているギリシャの小さい手紙オメガ
1FA3: ダシアとヴァリアとYpogegrammeniとギリシャの小さな手紙オメガ
1FA4: PsiliとOxiaおよびYpogegrammeniとギリシャの小文字オメガ
1FA5: ダシアとオキシアとYpogegrammeniとギリシャの小さな手紙オメガ
1FA6: PsiliとPerispomeniおよびYpogegrammeniとギリシャの小文字オメガ
1FA7: DasiaとPerispomeniとYpogegrammeniが付いているギリシャの小さい手紙オメガ
1FA8: PsiliとProsgegrammeniを含むギリシャの大文字Omega
1FA9: DasiaとProsgegrammeniとギリシャの大文字Omega
1FAA: PsiliとVariaおよびProsgegrammeniを含むギリシャの大文字Omega
1FAB: ダシアとヴァリアとProsgegrammeniとギリシャの大文字Omega
1FAC: PsiliとOxiaおよびProsgegrammeniを含むギリシャの大文字Omega
1FAD: ダシアとオキシアとProsgegrammeniとギリシャの大文字Omega
1FAE: Psili、Perispomeni、Prosgegrammeniを含むギリシャの大文字Omega
1FAF: DasiaとPerispomeni、Prosgegrammeniとギリシャの大文字Omega
1FB0: Vrachyとギリシャの小文字のアルファベット
1FB1: マクロンとギリシャの小文字のアルファベット
1FB2: VariaとYpogegrammeniとギリシャの小文字のアルファベット
1FB3: Ypogegrammeniとギリシャの小文字のアルファベット
1FB4: オキシアとYpogegrammeniとギリシャの小文字のアルファベット
1FB5:
1FB6: ペリスポニーとギリシャの小文字のアルファベット
1FB7: PerispomeniとYpogegrammeniとギリシャの小文字のアルファベット
1FB8: Vrachyとギリシャの大文字アルファベット
1FB9: マクロンとギリシャの大文字アルファベット
1FBA: Variaとギリシャの大文字アルファベット
1FBB: オキシアとギリシャの大文字アルファベット
1FBC: Prosgegrammeniとギリシャの大文字アルファベット
1FBD: ギリシャコロニス
1FBE: ギリシャ語Prosgegrammeni
1FBF: ギリシャ語Psili
1FC0: ギリシャペリスポメニ
1FC1: ギリシャ語透析とペリスポミニ
1FC2: VariaとYpogegrammeniとギリシャの小文字Eta
1FC3: Ypogegrammeniとギリシャの小文字Eta
1FC4: オキシアとYpogegrammeniとギリシャの小文字Eta
1FC5:
1FC6: ペリスポメニとギリシャの小さな手紙イタ
1FC7: ペリスポメニとYpogegrammeniとギリシャの小文字Eta
1FC8: Variaとギリシャの大文字Epsilon
1FC9: ギリシャ語大文字イプシロン、オキシア
1FCA: Variaとギリシャの大文字Eta
1FCB: ギリシャ語大文字イタとオキシア
1FCC: Prosgegrammeniとギリシャの大文字Eta
1FCD: ギリシャプシリとヴァリア
1FCE: ギリシャ語のPsiliとOxia
1FCF: ギリシャプシリとペリスポメニ
1FD0: Vrachyとギリシャの小さな手紙イオタ
1FD1: マクロンとギリシャの小文字イオタ
1FD2: DialytikaとVariaが付いているギリシャの小さい手紙Iota
1FD3: DialytikaとOxiaとギリシャの小文字Iota
1FD4:
1FD5:
1FD6: ペリスポミニとギリシャの小文字イオタ
1FD7: DialytikaとPerispomeniとギリシャの小文字イオタ
1FD8: Vrachyとギリシャの大文字Iota
1FD9: マクロンとギリシャの大文字Iota
1FDA: Variaとギリシャの大文字Iota
1FDB: ギリシャ語大文字イオタとオキシア
1FDC:
1FDD: ギリシャダシアとヴァリア
1FDE: ギリシャダシアとオキシア
1FDF: ギリシャのダーシアとペリスポメニ
1FE0: Vrachyとギリシャの小さな手紙ウプシロン
1FE1: マクロンとギリシャの小文字ウプシロン
1FE2: DialytikaとVariaのギリシャの小文字ウプシロン
1FE3: DialytikaとOxiaとギリシャの小文字のウプシロン
1FE4: Psiliとギリシャ語小文字Rho
1FE5: Dasiaとギリシャ語小文字Rho
1FE6: ペリスポメニとギリシャの小文字のウプシロン
1FE7: DialytikaとPerispomeniとギリシャの小文字のウプシロン
1FE8: Vrachyとギリシャの大文字のウプシロン
1FE9: マクロンとギリシャの大文字のウプシロン
1FEA: Variaとギリシャの大文字のウプシロン
1FEB: ギリシャの大文字のウプシロンとオキシア
1FEC: Dasiaとギリシャの大文字Lho
1FED: ギリシャのDialytikaとVaria
1FEE: ギリシャのDialytikaとOxia
1FEF: ギリシャヴァリア
1FF0:
1FF1:
1FF2: VariaとYpogegrammeniが付いているギリシャの小さい手紙オメガ
1FF3: Ypogegrammeniとギリシャの小さな手紙オメガ
1FF4: オキシアとYpogegrammeniとギリシャの小さな手紙オメガ
1FF5:
1FF6: ペリスポメニとギリシャの小さな手紙オメガ
1FF7: ペリスポメニとYpogegrammeniとギリシャの小さな手紙オメガ
1FF8: ギリシャの大文字のオミクロンとVaria
1FF9: ギリシャ語大文字オミクロンとオキシア
1FFA: Variaとギリシャの大文字Omega
1FFB: ギリシャの首都オメガ
1FFC: Prosgegrammeniとギリシャの大文字Omega
1FFD: ギリシャオキシア
1FFE: ギリシャダジア
1FFF: