D000: ハングル音節クウェオン
D0C8: ハングル音節タル
D0C9: ハングル音節タルグ
D0CA: ハングル音節タルム
D0CB: ハングル音節タルブ
D0CC: ハングル音節タル
D0CD: ハングル音節タルト
D0CE: ハングル音節タルプ
D0CF: ハングル音節語
D0D0: ハングル音節タム
D0D1: ハングル音節タブ
D0D2: ハングル音節タブ
D0D3: ハングル音節タス
D0D4: ハングル音節タス
D0D5: ハングル音節唐
D0D6: ハングル音節タージ
D0D7: ハングル音節タック
D0D8: ハングル音節タク
D0D9: ハングル音節タット
D0DA: ハングル音節タップ
D0DB: ハングル音節ター
D0DC: ハングル音節テ
D0DD: ハングル音節テグ
D0DE: ハングル音節テグ
D0DF: ハングル音節タグ
D0E0: ハングル音節テーン
D0E1: ハングル音節テンジ
D0E2: ハングル音節テーン
D0E3: ハングル音節テード
D0E4: ハングル音節テール
D0E5: ハングル音節テルグ
D0E6: ハングル音節語
D0E7: ハングル音節語
D0E8: ハングル音節テール
D0E9: ハングル音節テール
D0EA: ハングル音節テープ
D0EB: ハングル音節語
D0EC: ハングル音節テム
D0ED: ハングル音節テーブ
D0EE: ハングル音節太字
D0EF: ハングル音節テス
D0F0: ハングル音節テス
D0F1: ハングル音節語
D0F2: ハングル音節テージ
D0F3: ハングル音節テック
D0F4: ハングル音節テック
D0F5: ハングル音節テート
D0F6: ハングル音節テープ
D0F7: ハングル音節テー
D0F8: ハングル音節ティア
D0F9: ハングル音節Tyag
D0FA: ハングル音節Tyagg
D0FB: ハングル音節Tyags
D0FC: ハングル音節タイアン
D0FD: ハングル音節Tyanj
D0FE: ハングル音節ティアン
D0FF: ハングル音節タイド
