2C00: グラゴリットキャピタルレターアズ
2C3F: グラゴリットスモールレターミスライト
2C40: グラゴリットスモールレターナシ
2C41: グラゴリットスモールレターオヌ
2C42: グラゴリットスモールレターポコジ
2C43: グラゴリットスモールレターRitsi
2C44: グラゴリットスモールレタースロヴォ
2C45: グラゴリットスモールレターTvrido
2C46: グラゴリットスモールレター宇久
2C47: グラゴリットスモールレターフリット
2C48: グラゴリットスモールレターヘル
2C49: グラゴリットスモールレターオトゥ
2C4A: グラゴライトスモールレターペ
2C4B: グラゴリットスモールレターシュタ
2C4C: グラゴリットスモールレターチー
2C4D: グラゴリットスモールレターChrivi
2C4E: グラゴリットスモールレターシャ
2C4F: グラゴリットスモールレター
2C50: グラゴリットスモールレターエリート
2C51: グラゴリットスモールレターヤティ
2C52: グラゴリットスモールレタースパイダリーハ
2C53: グラゴリットスモールレターユウ
2C54: グラゴリットスモールレタースモールユース
2C55: グラゴリットスモールレタースモールユーステール
2C56: グラゴリットスモールレターヨーヨー
2C57: グラゴリットスモールレターイオテーションドスモールユース
2C58: グラゴリットスモールレタービッグユース
2C59: グラゴリックスの小さな文字が大きなユースを引用
2C5A: グラゴリットスモールレターフィタ
2C5B: グラゴリットスモールレターIzhitsa
2C5C: グラゴライトスモールレターシャタピック
2C5D: グラゴリットスモールレターTrokutasti A
2C5E: グラゴリットスモールレターラテネートミスライト
2C5F:
2C60: ダブルバー付きラテン大文字L
2C61: ダブルバー付きラテン小文字L
2C62: ミドルティルド付きラテン大文字L
2C63: ストローク付きラテン大文字P
2C64: テール付きラテン大文字R
2C65: ラテン小文字aとストローク
2C66: 斜めのストロークでラテン小文字T
2C67: ディセンダー付きラテン大文字H
2C68: 子孫付きラテン小文字H
2C69: ディセンダー付きラテン大文字K
2C6A: ディセンダー付きラテン小文字K
2C6B: ディセンダー付きラテン大文字Z
2C6C: ディセンダ付きラテン小文字Z
2C6D: ラテン大文字アルファベット
2C6E: フック付きラテン大文字M
2C6F: ラテン大文字大文字A
2C70: ラテン大文字がアルファになった
2C71: 右フック付きラテン小文字V
2C72: フック付きラテン大文字W
2C73: フック付きラテン小文字W
2C74: カールとラテン小文字V
2C75: ラテン大文字大文字H
2C76: ラテン小文字H
2C77: ラテンスモールレターテイルレスファイ
2C78: ノッチ付きラテン小文字E
2C79: ラテン小文字がテール付きRになった
2C7A: 内側に低いリングを持つラテン小文字O
2C7B: ラテン文字の小大文字がEになった
2C7C: ラテン添字スモールレターJ
2C7D: 修飾文字大文字V
2C7E: スワッシュテール付きラテン大文字S
2C7F: スワッシュテール付きラテン大文字Z
2C80: コプト首都文字アルファ
2C81: コプト語小文字アルファ
2C82: コプト首都レタービダ
2C83: コプト語小文字Vida
2C84: コプトの首都ガンマ
2C85: コプト語小文字ガンマ
2C86: コプト首都ダルダ
2C87: コプト語小文字ダルダ
2C88: コプト首都文字Eie
2C89: コプト語小文字Eie
2C8A: コプトの首都書名
2C8B: コプト小書簡
2C8C: コプト首都文字Zata
2C8D: コプト語小文字Zata
2C8E: コプト首都圏の憎しみ
2C8F: コプト語の小文字が嫌い
2C90: コプトの首都Thethe
2C91: コプトの小文字Thethe
2C92: コプト首都イオダ
2C93: コプト語小文字Iauda
2C94: コプト首都カパ
2C95: コプト語小文字カパ
2C96: コプトの首都ラウラ
2C97: コプト語小文字ラウラ
2C98: コプト首都圏Mi
2C99: コプト語小文字Mi
2C9A: コプト首都文字Ni
2C9B: コプト語小文字Ni
2C9C: コプト首都レターKsi
2C9D: コプト語小文字Ksi
2C9E: コプト大文字O
2C9F: コプト語小文字O
2CA0: コプトキャピタルレターパイ
2CA1: コプトスモールレターパイ
2CA2: コプト首都文字Ro
2CA3: コプト語小文字Ro
2CA4: コプト首都シマ
2CA5: コプト小文字シマ
2CA6: コプトの首都タウ
2CA7: コプト語小文字タウ
2CA8: コプト首都文字Ua
2CA9: コプト語小文字Ua
2CAA: コプトキャピタルレターFi
2CAB: コプト語小文字Fi
2CAC: コプトキャピタルレターキー
2CAD: コプト語小文字キー
2CAE: コプト大文字Psi
2CAF: コプト語小文字Psi
2CB0: コプトの首都大
2CB1: コプトの小さな手紙
2CB2: コプト語大文字の方言-P Alef
2CB3: コプト語小文字方言-P Alef
2CB4: コプト首都圏旧コプト語アイン
2CB5: コプト語小文字Old Coptic Ain
2CB6: コプト大文字大文字暗号文
2CB7: コプト語小文字暗号Eie
2CB8: コプト語大文字方言-P Kapa
2CB9: コプト語小文字方言-Pカパ
2CBA: コプト語大文字方言-P Ni
2CBB: コプト語小文字方言-P Ni
2CBC: コプト大文字大文字暗号Ni
2CBD: コプト語小文字暗号Ni
2CBE: コプトの首都の旧コプトOou
2CBF: コプト語小文字Old Coptic Oou
2CC0: コプトの首都サンピ
2CC1: コプト語小文字サンピ
2CC2: コプトの首都文字交差シェイ
2CC3: コプトの小さな手紙交差シェイ
2CC4: コプト首都文字Old Coptic Shei
2CC5: コプト語小文字Old Coptic Shei
2CC6: コプト首都文字Old Coptic Esh
2CC7: コプト語小文字Old Coptic Esh
2CC8: コプト首都文字Akhmimic Khei
2CC9: コプト語小文字Akhmimic Khei
2CCA: コプト語大文字方言-P堀
2CCB: コプト語小文字方言-P堀
2CCC: コプト首都圏旧コプト堀
2CCD: コプト語小文字Old Coptic Hori
2CCE: コプト首都文字Old Coptic Ha
2CCF: コプト語小文字Old Coptic Ha
2CD0: コプト大文字L字型ハ
2CD1: コプト語小文字L字型ハ
2CD2: コプト首都の旧コプトヘイ
2CD3: コプト語小文字Old Coptic Hei
2CD4: コプト首都レターOld Coptic Hat
2CD5: コプトの小さな手紙Old Coptic Hat
2CD6: コプト首都圏旧コプトギャング
2CD7: コプト語小文字Old Coptic Gangia
2CD8: コプト首都の手紙Old Coptic Dja
2CD9: コプトの小さな手紙Old Coptic Dja
2CDA: コプト首都文字Old Coptic Shima
2CDB: コプト小文字Old Coptic Shima
2CDC: コプト首都文字Old Nubian Shima
2CDD: コプト小文字Old Nubian Shima
2CDE: コプト首都文字Old Nubian Ngi
2CDF: コプト語小文字Old Nubian Ngi
2CE0: コプト首都文字Old Nubian Nyi
2CE1: コプト語小文字Old Nubian Nyi
2CE2: コプト首都文字Old Nubian Wau
2CE3: コプト語小文字Old Nubian Wau
2CE4: コプトのシンボルカイ
2CE5: コプトのシンボルミロ
2CE6: コプト語シンボルPi Ro
2CE7: コプト語シンボルスタウロス
2CE8: コプト記号タウロウ
2CE9: コプト語シンボルKhi Ro
2CEA: コプト記号志摩シマ
2CEB: コプト語大文字暗号シェイ
2CEC: コプト語小文字暗号シェイ
2CED: コプト語大文字暗号化ガンギア
2CEE: コプト語小文字暗号ギャング
2CEF: 上記のNiをコプト結合
2CF0: コプト語結合スピリタスアスペル
2CF1: コプト語結合Spiritus Lenis
2CF2: コプト首都文字Bohairic Khei
2CF3: コプト語小文字Bohairic Khei
2CF4:
2CF5:
2CF6:
2CF7:
2CF8:
2CF9: コプトオールドヌビアフルストップ
2CFA: コプトオールドヌビア直接疑問符
2CFB: コプトオールドヌビア語間接疑問符
2CFC: コプトオールドヌビア詩の仕切り
2CFD: コプト分数半分
2CFE: コプト完全停止
2CFF: コプトモルフォロジカルディバイダ
