B600: ハングル音節文字
B6C4: ハングル音節Ddweols
B6C5: ハングル音節Ddweolt
B6C6: ハングル音節Ddweolp
B6C7: ハングル音節Ddweolh
B6C8: ハングル音節Ddweom
B6C9: ハングル音節Ddweob
B6CA: ハングル音節Ddweobs
B6CB: ハングル音節Ddweos
B6CC: ハングル音節Ddweoss
B6CD: ハングル音節Ddweong
B6CE: ハングル音節Ddweoj
B6CF: ハングル音節Ddweoc
B6D0: ハングル音節Ddweok
B6D1: ハングル音節Ddweot
B6D2: ハングル音節Ddweop
B6D3: ハングル音節Ddweoh
B6D4: ハングル音節Ddwe
B6D5: ハングル音節Ddweg
B6D6: ハングル音節Ddwegg
B6D7: ハングル音節Ddwegs
B6D8: ハングル音節Ddwen
B6D9: ハングル音節Ddwenj
B6DA: ハングル音節Ddwenh
B6DB: ハングル音節Ddwed
B6DC: ハングル音節語
B6DD: ハングル音節語Ddwelg
B6DE: ハングル音節語
B6DF: ハングル音節Ddwelb
B6E0: ハングル音節語
B6E1: ハングル音節語
B6E2: ハングル音節Ddwelp
B6E3: ハングル音節語
B6E4: ハングル音節Ddwem
B6E5: ハングル音節Ddweb
B6E6: ハングル音節Ddwebs
B6E7: ハングル音節Ddwes
B6E8: ハングル音節Ddwess
B6E9: ハングル音節Ddweng
B6EA: ハングル音節Ddwej
B6EB: ハングル音節Ddwec
B6EC: ハングル音節Ddwek
B6ED: ハングル音節Ddwet
B6EE: ハングル音節Ddwep
B6EF: ハングル音節Ddweh
B6F0: ハングル音節Ddwi
B6F1: ハングル音節Ddwig
B6F2: ハングル音節Ddwigg
B6F3: ハングル音節Ddwigs
B6F4: ハングル音節Ddwin
B6F5: ハングル音節Ddwinj
B6F6: ハングル音節Ddwinh
B6F7: ハングル音節Ddwid
B6F8: ハングル音節Ddwil
B6F9: ハングル音節Ddwilg
B6FA: ハングル音節Ddwilm
B6FB: ハングル音節Ddwilb
B6FC: ハングル音節Ddwils
B6FD: ハングル音節Ddwilt
B6FE: ハングル音節Ddwilp
B6FF: ハングル音節Ddwilh
