A700: 修飾文字中国トーン陰ピン
A7E0:
A7E1:
A7E2:
A7E3:
A7E4:
A7E5:
A7E6:
A7E7:
A7E8:
A7E9:
A7EA:
A7EB:
A7EC:
A7ED:
A7EE:
A7EF:
A7F0:
A7F1:
A7F2:
A7F3:
A7F4:
A7F5:
A7F6:
A7F7: 横にラテン語の書道の手紙I
A7F8: ストローク付き修飾文字大文字H
A7F9: モディファイアレタースモールリガチャー大江
A7FA: ラテン文字小大文字Mになった
A7FB: ラテン語の書道の文字がFを反転
A7FC: ラテン語の書道の文字がPを反転
A7FD: ラテン碑文の文字反転M
A7FE: ラテン語の書道の手紙I Longa
A7FF: ラテン語書道文字アルカイックM
