D700: ハングル音節Hwen
D7BF: ハングル・ジョンソンI-Yeo
D7C0: ハングル・ジョンソンI-Ye
D7C1: ハングル・ジョンソンI-O-I
D7C2: ハングルチョンソンI-Yo
D7C3: ハングル中城
D7C4: ハングル・ジョンソンI-I
D7C5: ハングル・ジョンソンAraea-A
D7C6: ハングル中城Araea-E
D7C7:
D7C8:
D7C9:
D7CA:
D7CB: ハングル・ジョンソン
D7CC: ハングルチョンソンニョンチュチュ
D7CD: ハングル・ジョンソン・サンティケット
D7CE: ハングル・ジョンソン・サンティケット＝パイナップ
D7CF: ハングル・ジョンソンTikeut-Pieup
D7D0: ハングル・ジョンソンTikeut-Sios
D7D1: ハングル・ジョンソンTikeut-Sios-Kiyeok
D7D2: ハングル・ジョンソンTikeut-Cieuc
D7D3: ハングル・ジョンソンTikeut-Chieuch
D7D4: ハングル・ジョンソンTikeut-Thieuth
D7D5: ハングル・ジョンソンRieul-Ssangkiyeok
D7D6: ハングル・ジョンソンRieul-Kiyeok-Hieuh
D7D7: ハングル・ジョンソンSsangrieul-Khieukh
D7D8: ハングル・ジョンソンRieul-Mieum-Hieuh
D7D9: ハングル・ジョンソンRieul-Pieup-Tikeut
D7DA: ハングル・ジョンソンRieul-Pieup-Phieuph
D7DB: ハングル・ジョンソンRieul-Yesieung
D7DC: ハングル・ジョンソンRieul-Yeorinhieuh-Hieuh
D7DD: ハングルジョンソン
D7DE: ハングルジョンソンミームニョン
D7DF: ハングル・ジョンソンミーム - サンニョン
D7E0: ハングル・ジョンソンSsangmieum
D7E1: ハングル・ジョンソンミーム - ピュアップ - シオス
D7E2: ハングル・ジョンソンミームチー
D7E3: ハングル・ジョンソンPieup-Tikeut
D7E4: ハングル・ジョンソンPieup-Rieul-Phieuph
D7E5: ハングル・ジョンソンPieup-Mieum
D7E6: ハングル・ジョンソンSsangpieup
D7E7: ハングル・ジョンソンPieup-Sios-Tikeut
D7E8: ハングル・ジョンソンPieup-Cieuc
D7E9: ハングル・ジョンソンPieup-Chieuch
D7EA: ハングルジョンソンシオスミーム
D7EB: ハングル・ジョンソンシオス - カピョンピープ
D7EC: ハングル・ジョンソンSsangsios-Kiyeok
D7ED: ハングル・ジョンソンSsangsios-Tikeut
D7EE: ハングルジョンソンシオス - パンシオス
D7EF: ハングルジョンソンシオスチュウ
D7F0: ハングルジョンソンシオスチュウチ
D7F1: ハングルジョンソンシオス - ティース
D7F2: ハングルジョンソンシオスヒエウ
D7F3: ハングル・ジョンソン・パンシオス - ピープ
D7F4: ハングルジョンソン・パンシオス - カピョンピープ
D7F5: ハングル・ジョンソンイェションミム
D7F6: ハングル・ジョンソンYesieung-Hieuh
D7F7: ハングル・ジョンソンCieuc-Pieup
D7F8: ハングル・ジョンソンCieuc-Ssangpieup
D7F9: ハングル・ジョンソンSsangcieuc
D7FA: ハングルジョンソンPhieuph-Sios
D7FB: ハングル・ジョンソンPhieuph-Thieuth
D7FC:
D7FD:
D7FE:
D7FF:
