FF00:
FF01: 全角感嘆符
FF6F: 半角カタカナ文字小火
FF70: 半角カタカナ - ひらがな延長サウンドマーク
FF71: 半角カタカナA
FF72: 半角カタカナレターI
FF73: 半角カタカナU
FF74: 半角カタカナE
FF75: 半角カタカナ文字O
FF76: 半角カタカナレターKa
FF77: 半角カタカナ文字Ki
FF78: 半角カタカナレタークー
FF79: 半角カタカナ文字Ke
FF7A: 半角カタカナ文字Ko
FF7B: 半角カタカナ文字Sa
FF7C: 半角カタカナ文字Si
FF7D: 半角カタカナ文字Su
FF7E: 半角カタカナレターSe
FF7F: 半角カタカナ文字So
FF80: 半角カタカナレターTa
FF81: 半角カタカナレターTi
FF82: 半角カタカナ文字Tu
FF83: 半角カタカナレターテ
FF84: 半角カタカナ文字
FF85: 半角カタカナ文字Na
FF86: 半角カタカナ文字Ni
FF87: 半角カタカナ文字Nu
FF88: 半角カタカナ文字Ne
FF89: 半角カタカナ文字なし
FF8A: 半角カタカナ文字Ha
FF8B: 半角カタカナ文字こんにちは
FF8C: 半角カタカナ文字Hu
FF8D: 半角カタカナ文字He
FF8E: 半角カタカナ文字Ho
FF8F: 半角カタカナレターMa
FF90: 半角カタカナ文字Mi
FF91: 半角カタカナ文字Mu
FF92: 半角カタカナレターミー
FF93: 半角カタカナレターMo
FF94: 半角カタカナ文字Ya
FF95: 半角カタカナ文字Yu
FF96: 半角カタカナレターヨーヨー
FF97: 半角カタカナレターRa
FF98: 半角カタカナ文字Ri
FF99: 半角カタカナ文字Ru
FF9A: 半角カタカナレターRe
FF9B: 半角カタカナ文字Ro
FF9C: 半角カタカナレターWa
FF9D: 半角カタカナ文字N
FF9E: 半角カタカナボイスサウンドマーク
FF9F: 半角カタカナ半音声記号
FFA0: 半角ハングルフィラー
FFA1: 半角ハングルレターKiyeok
FFA2: 半角ハングル文字Ssangkiyeok
FFA3: 半角ハングルレターKiyeok-Sios
FFA4: 半角ハングルレター
FFA5: 半角ハングル手紙Nieun-Cieuc
FFA6: 半角ハングル文字Nieun-Hieuh
FFA7: 半角ハングル手紙Tikeut
FFA8: 半角ハングル文字Ssangtikeut
FFA9: 半角ハングル文字Rieul
FFAA: 半角ハングル文字Rieul-Kiyeok
FFAB: 半角ハングル文字Rieul-Mieum
FFAC: 半角ハングル文字Rieul-Pieup
FFAD: 半角ハングル文字Rieul-Sios
FFAE: 半角ハングル文字Rieul-Thieuth
FFAF: 半角ハングル文字Rieul-Phieuph
FFB0: 半角ハングル文字Rieul-Hieuh
FFB1: 半角ハングルレターミーム
FFB2: 半角ハングルレターパイナップ
FFB3: 半角ハングル文字Ssangpieup
FFB4: 半角ハングル文字Pieup-Sios
FFB5: 半角ハングル文字Sios
FFB6: 半角ハングル文字Ssangsios
FFB7: 半角ハングル手紙イウン
FFB8: 半角ハングル文字Cieuc
FFB9: 半角ハングル文字Ssangcieuc
FFBA: 半角ハングルレターChieuch
FFBB: 半角ハングル文字Khieukh
FFBC: 半角ハングル手紙Thieuth
FFBD: 半角ハングル文字Phieuph
FFBE: 半角ハングル文字Hieuh
FFBF:
FFC0:
FFC1:
FFC2: 半角ハングルA
FFC3: 半角ハングルレターAe
FFC4: 半角ハングルレター
FFC5: 半角ハングル文字八重
FFC6: 半角ハングル手紙Eo
FFC7: 半角ハングルE
FFC8:
FFC9:
FFCA: 半角ハングルレターヨー
FFCB: 半角ハングル
FFCC: 半角ハングル文字O
FFCD: 半角ハングル
FFCE: 半角ハングルレターウェイ
FFCF: 半角ハングルレター大江さん
FFD0:
FFD1:
FFD2: 半角ハングル文字よ
FFD3: 半角ハングルU
FFD4: 半角ハングルレターWeo
FFD5: 半角ハングル
FFD6: 半角ハングル手紙Wi
FFD7: 半角ハングルレターゆう
FFD8:
FFD9:
FFDA: 半角ハングル文字Eu
FFDB: 半角ハングル文字李
FFDC: 半角ハングル文字I
FFDD:
FFDE:
FFDF:
FFE0: 全角セントサイン
FFE1: 全角ポンド記号
FFE2: 全角符号なし
FFE3: 全角マクロン
FFE4: 全幅バー
FFE5: 全角円記号
FFE6: 全額ウォンサイン
FFE7:
FFE8: 半幅フォームライトバーティカル
FFE9: 半角の左矢印
FFEA: 半角上向き矢印
FFEB: 半角右向き矢印
FFEC: 半角下向き矢印
FFED: 半角黒の広場
FFEE: 半角ホワイトサークル
FFEF:
FFF0:
FFF1:
FFF2:
FFF3:
FFF4:
FFF5:
FFF6:
FFF7:
FFF8:
FFF9: 行間注釈アンカー
FFFA: 行間注釈セパレータ
FFFB: 行間注釈ターミネータ
FFFC: オブジェクト置換文字
FFFD: 置換文字
FFFE: ＜キャラクターではない＞
FFFF: ＜キャラクターではない＞
