C500: ハングル音節セシウム
C584: ハングル音節ヤール
C585: ハングル音節Yalg
C586: ハングル音節ヤルム
C587: ハングル音節
C588: ハングル音節ヤール
C589: ハングル音節ヤルト
C58A: ハングル音節ヤープ
C58B: ハングル音節
C58C: ハングル音節ヤム
C58D: ハングル音節ヤブ
C58E: ハングル音節ヤブ
C58F: ハングル音節ヤス
C590: ハングル音節文字
C591: ハングル音節陽
C592: ハングル音節文字
C593: ハングル音節ヤク
C594: ハングル音節ヤク
C595: ハングル音節
C596: ハングル音節ヤップ
C597: ハングル音節
C598: ハングル音節
C599: ハングル音節Yaeg
C59A: ハングル音節Yaegg
C59B: ハングル音節文字
C59C: ハングル音節ヤーエン
C59D: ハングル音節
C59E: ハングル音節ヤーエン
C59F: ハングル音節ヤエド
C5A0: ハングル音節ヤーエル
C5A1: ハングル音節Yaelg
C5A2: ハングル音節ヤエルム
C5A3: ハングル音節ヤエルブ
C5A4: ハングル音節文字
C5A5: ハングル音節Yaelt
C5A6: ハングル音節ヤープ
C5A7: ハングル音節ヤエル
C5A8: ハングル音節ヤエム
C5A9: ハングル音節ヤーブ
C5AA: ハングル音節文字
C5AB: ハングル音節ヤエス
C5AC: ハングル音節
C5AD: ハングル音節ヤーン
C5AE: ハングル音節
C5AF: ハングル音節ヤク
C5B0: ハングル音節ヤク
C5B1: ハングル音節a
C5B2: ハングル音節ヤープ
C5B3: ハングル音節
C5B4: ハングル音節Eo
C5B5: ハングル音節Eog
C5B6: ハングル音節卵
C5B7: ハングル音節イグス
C5B8: ハングル音節Eon
C5B9: ハングル音節Eonj
C5BA: ハングル音節Eonh
C5BB: ハングル音節Eod
C5BC: ハングル音節Eol
C5BD: ハングル音節Eolg
C5BE: ハングル音節エオルム
C5BF: ハングル音節Eolb
C5C0: ハングル音節ウール
C5C1: ハングル音節イート
C5C2: ハングル音節エオルプ
C5C3: ハングル音節Eolh
C5C4: ハングル音節Eom
C5C5: ハングル音節Eob
C5C6: ハングル音節Eobs
C5C7: ハングル音節イオス
C5C8: ハングル音節イオス
C5C9: ハングル音節
C5CA: ハングル音節Eoj
C5CB: ハングル音節Eoc
C5CC: ハングル音節Eok
C5CD: ハングル音節イート
C5CE: ハングル音節EOP
C5CF: ハングル音節Eoh
C5D0: ハングル音節E
C5D1: ハングル音節
C5D2: ハングル音節卵
C5D3: ハングル音節卵
C5D4: ハングル音節En
C5D5: ハングル音節文字
C5D6: ハングル音節
C5D7: ハングル音節エド
C5D8: ハングル音節エル
C5D9: ハングル音節エルグ
C5DA: ハングル音節ニレ
C5DB: ハングル音節エルブ
C5DC: ハングル音節エルス
C5DD: ハングル音節Elt
C5DE: ハングル音節エルプ
C5DF: ハングル音節エルフ
C5E0: ハングル音節Em
C5E1: ハングル音節Eb
C5E2: ハングル音節Ebs
C5E3: ハングル音節Es
C5E4: ハングル音節エス
C5E5: ハングル音節語
C5E6: ハングル音節語Ej
C5E7: ハングル音節Ec
C5E8: ハングル音節Ek
C5E9: ハングル音節その他
C5EA: ハングル音節Ep
C5EB: ハングル音節Eh
C5EC: ハングル音節ヨ
C5ED: ハングル音節ヨグ
C5EE: ハングル音節Yeogg
C5EF: ハングル音節
C5F0: ハングル音節ヨン
C5F1: ハングル音節Yeonj
C5F2: ハングル音節ヨン
C5F3: ハングル音節ヨード
C5F4: ハングル音節ヨール
C5F5: ハングル音節Yeolg
C5F6: ハングル音節ヨルム
C5F7: ハングル音節Yeolb
C5F8: ハングル音節記号
C5F9: ハングル音節ヨルト
C5FA: ハングル音節Yeolp
C5FB: ハングル音節ヨル
C5FC: ハングル音節ヨーム
C5FD: ハングル音節ヨブ
C5FE: ハングル音節ヨブ
C5FF: ハングル音節
