0200: ラテン大文字大文字aと二重墓
027C: 長い脚のラテン小文字R
027D: 尾を持つラテン小文字R
027E: 釣り針付きラテン小文字R
027F: ラテン小文字が釣り針でRを反転 : 長い脚がイオタに変わった（誤称）
0280: ラテン文字小大文字R
0281: ラテン文字小大文字反転R
0282: フック付きラテン小文字S
0283: ラテン小文字Esh
0284: ストロークとフックでラテン小文字ドットレスJ
0285: ラテン小文字スクワット逆Esh
0286: カール付きラテン小文字Esh
0287: ラテン小文字がTになった
0288: レトロフレックスフック付きラテン小文字T
0289: ラテン小文字Uバー
028A: ラテン小文字ウプシロン
028B: フック付きラテン小文字V : ラテン小文字スクリプトv
028C: ラテン小文字がVになった : キャレット、ウェッジ
028D: ラテン小文字がWになった
028E: ラテン小文字がYになった
028F: ラテン文字小大文字Y
0290: レトロフレックスフック付きラテン小文字Z
0291: カールのあるラテン小文字Z
0292: ラテン小文字Ezh : ドラム
0293: カール付きラテン小文字Ezh
0294: ラテン文字の声門停止
0295: ラテン文字の咽頭声が摩擦する : 逆声門停止
0296: ラテン文字逆声門停止
0297: ラテン文字ストレッチC
0298: ラテン文字二言語クリック : ブルズアイ
0299: ラテン文字小大文字B
029A: ラテン小文字クローズドオープンE : 閉じたイプシロン
029B: フック付きラテン文字小大文字G
029C: ラテン文字小大文字H
029D: クロステール付きラテン小文字J
029E: ラテン小文字がKになった
029F: ラテン文字小大文字L
02A0: フック付きラテン小文字Q
02A1: ストロークでラテン文字声門停止
02A2: ラテン文字が脳卒中で声門閉鎖を逆転させた
02A3: ラテン小文字Dzダイグラフ
02A4: ラテン小文字Dezhダイグラフ
02A5: カールとラテン小文字Dzダイグラフ
02A6: ラテン小文字Tsダイグラフ
02A7: ラテン小文字Teshダイグラフ
02A8: カールとラテン小文字Tcダイグラフ
02A9: ラテン小文字Feng Digraph
02AA: ラテン小文字Lsダイグラフ
02AB: ラテン小文字Lzダイグラフ
02AC: ラテン文字バイラビラルパーカッシブ
02AD: ラテン文字バイデンシャルパーカッション
02AE: ラテン小文字が釣り針でHになった
02AF: ラテン小文字が釣り針と尾でHになった
02B0: 修飾レタースモールH
02B1: フック付き修飾文字Small H
02B2: モディファイアレタースモールJ
02B3: 修飾レタースモールR
02B4: 修飾文字小ターンR
02B5: フック付きモディファイアレタースモールターンR
02B6: 修飾レタースモールキャピタルインバーテッドR
02B7: モディファイアレタースモールW
02B8: 修飾文字小Y
02B9: モディファイアレタープライム
02BA: 修飾文字ダブルプライム
02BB: 修飾文字がコンマになった
02BC: 修飾文字アポストロフィ : アポストロフィ
02BD: 修飾文字が逆カンマ
02BE: 修飾文字右半分リング
02BF: モディファイレターレフトハーフリング
02C0: 修飾文字の声門停止
02C1: 修飾文字が声門停止を逆転させた
02C2: 修飾文字左向き矢印
02C3: 修飾文字の右矢印
02C4: 修飾文字上向き矢印
02C5: 修飾文字下向き矢印
02C6: 修飾語のアクセントアクセント
02C7: キャロン : hacek
02C8: 修飾文字の縦線
02C9: 修飾文字マクロン
02CA: 修飾文字急性アクセント
02CB: モディファイアレターグレイブアクセント
02CC: 修飾文字の低い縦線
02CD: 修飾文字ローマクロン
02CE: 修飾文字低墓アクセント
02CF: 修飾文字低急性アクセント
02D0: 修飾文字三角コロン
02D1: モディファイアレターハーフトライアングルコロン
02D2: 修飾文字の中央右半分のリング
02D3: 修飾文字の中央左半分のリング
02D4: モディファイアレターアップタック
02D5: モディファイアレターダウンタック
02D6: 修飾文字プラス記号
02D7: 修飾文字マイナス記号
02D8: Breve
02D9: 上のドット
02DA: 上のリング
02DB: オゴネック
02DC: スモールチルド
02DD: 二重急性アクセント
02DE: モディファイアレタールーティックフック
02DF: 修飾文字クロスアクセント
02E0: モディファイアレタースモールガンマ
02E1: モディファイアレタースモールL
02E2: モディファイアレタースモールS
02E3: 修飾文字Small X
02E4: 修飾文字小逆声門ストップ
02E5: 修飾文字超高音バー
02E6: 修飾文字ハイトーンバー
02E7: 修飾文字ミッドトーンバー
02E8: 修飾文字ロートーンバー
02E9: 修飾文字超低音バー
02EA: モディファイアレター陰刻トーンマーク
02EB: 修飾文字ヤン出発トーンマーク
02EC: 修飾文字の発声
02ED: 未修正の修正レター
02EE: 修飾文字二重アポストロフィ
02EF: 修飾文字低下向き矢印
02F0: 修飾文字ローアップアローヘッド
02F1: 修飾文字の左下矢印
02F2: 修飾文字の右下矢印
02F3: 修飾文字ローリング
02F4: 修飾文字ミドルグレイブアクセント
02F5: 修飾文字ミドルダブルグレイブアクセント
02F6: 修飾文字ミドルダブル急性アクセント
02F7: モディファイアレターローチルド
02F8: 修飾文字がコロンを発生
02F9: 修飾文字が高音を始める
02FA: モディファイアレターエンドハイトーン
02FB: 修飾文字が低音で始まる
02FC: モディファイアレターエンドロートーン
02FD: 修正書棚
02FE: 修正レターオープンシェルフ
02FF: 修飾文字の左下矢印
