3100:
3101:
3102:
3103:
3104:
3105: ボポモフォレターB
316F: ハングルレターミームシオス
3170: ハングルレターミーム - パンシオス
3171: ハングルレター
3172: ハングル手紙Pieup-Kiyeok
3173: ハングル手紙Pieup-Tikeut
3174: ハングル文字Pieup-Sios-Kiyeok
3175: ハングル文字Pieup-Sios-Tikeut
3176: ハングル手紙Pieup-Cieuc
3177: ハングル手紙Pieup-Thieuth
3178: ハングルレター
3179: ハングル文字Kapyeounssangpieup
317A: ハングル書簡シオスキヨク
317B: ハングルレターシオスニウン
317C: ハングルレターシオスティケウト
317D: ハングルレターシオスピエラ
317E: ハングルレターシオス＝シュー
317F: ハングルレターパンジー
3180: ハングル書簡: サンジェション
3181: ハングルレターイェション
3182: ハングル文字Yesieung-Sios
3183: ハングルレターイェション - パンシオス
3184: ハングル文字Kapyeounphieuph
3185: ハングル手紙Ssanghieuh
3186: ハングル手紙Yeorinhieuh
3187: ハングルレターヨーヤ
3188: ハングルレター
3189: ハングルレターよーい
318A: ハングルレターゆうよう
318B: ハングルレターゆうえ
318C: ハングルレターゆういー
318D: ハングルレターAraea
318E: ハングルレター
318F:
3190: 表意アノテーションリンクマーク: 締める
3191: 表意アノテーション逆マーク: かえりてんれ
3192: 表意アノテーション1マーク
3193: 表意アノテーション2マーク
3194: 表意アノテーション3マーク
3195: 表意アノテーション4マーク
3196: 表意アノテーショントップマーク
3197: 表意アノテーションミドルマーク
3198: 表意アノテーション下マーク
3199: 表意アノテーションの最初のマーク
319A: 表意アノテーション2番目のマーク
319B: 表意アノテーション3番目のマーク
319C: 表意アノテーション4番目のマーク
319D: 表意アノテーション天国マーク
319E: 表意アノテーションアースマーク
319F: 表意アノテーション男マーク
31A0: ボポモフォ手紙Bu
31A1: ボポモフォレターZi
31A2: ボポモフォ手紙Ji
31A3: ボポモフォ手紙区
31A4: ボポモフォレターEe
31A5: ボポモフォレターエン
31A6: ボポモフォ手紙Oo
31A7: ボポモフォレターオン
31A8: ボポモフォ手紙Ir
31A9: ボポモフォレターアン
31AA: ボポモフォレターイン
31AB: ボポモフォ手紙Unn
31AC: ボポモフォの手紙Im
31AD: ボポモフォレターNgg
31AE: ボポモフォレターアイン
31AF: ボポモフォレターアーン
31B0: ボポモフォ手紙Am
31B1: ボポモフォレターオム
31B2: ボポモフォレターオング
31B3: ボポモフォレターイン
31B4: ボポモフォファイナルレターP
31B5: ボポモフォファイナルレターT
31B6: ボポモフォファイナルレターK
31B7: ボポモフォファイナルレターH
31B8: ボポモフォレターGh
31B9: ボポモフォレターLh
31BA: ボポモフォレターZy
31BB: ボポモフォ最終の字母 G
31BC: ボポモフォ字母 Gw
31BD: ボポモフォ字母 Kw
31BE: ボポモフォ字母 Oe
31BF: ボポモフォ字母 Ah
31C0: CjkストロークT
31C1: CjkストロークWg
31C2: CjkストロークXg
31C3: CjkストロークBxg
31C4: CjkストロークSw
31C5: CjkストロークHzz
31C6: ストロークストロークHzg
31C7: CjkストロークHp
31C8: CjkストロークHzwg
31C9: CjkストロークSzwg
31CA: CjkストロークHz
31CB: CjkストロークHzzp
31CC: CjkストロークHpwg
31CD: CjkストロークHzw
31CE: Cjk Stroke Hzzz
31CF: CjkストロークN
31D0: CjkストロークH
31D1: CjkストロークS
31D2: CjkストロークP
31D3: CjkストロークSp
31D4: CjkストロークD
31D5: ストロークストロークHz
31D6: CjkストロークHg
31D7: CjkストロークSz
31D8: Cjk Stroke Swz
31D9: CjkストロークSt
31DA: Cjk Stroke Sg
31DB: CjkストロークPd
31DC: CjkストロークPz
31DD: CjkストロークTn
31DE: Cjk Stroke Szz
31DF: CjkストロークSwg
31E0: CjkストロークHxwg
31E1: CjkストロークHzzzg
31E2: CjkストロークPg
31E3: CjkストロークQ
31E4:
31E5:
31E6:
31E7:
31E8:
31E9:
31EA:
31EB:
31EC:
31ED:
31EE:
31EF:
31F0: カタカナレタースモールクー
31F1: カタカナレタースモールシ
31F2: カタカナレタースモールスー
31F3: カタカナレタースモールトゥー
31F4: カタカナレタースモールNu
31F5: カタカナレタースモールハ
31F6: カタカナレタースモールハイハイ
31F7: カタカナレタースモール胡
31F8: カタカナレタースモールヒー
31F9: カタカナレタースモールホー
31FA: カタカナレタースモールミュー
31FB: カタカナレタースモールラー
31FC: カタカナレタースモールリー
31FD: カタカナレタースモールルー
31FE: カタカナレタースモールリ
31FF: カタカナレタースモールロー
