A500: ヴァイシラブルEe
A56E: Vaiシラブルマ
A56F: ヴァイシラブルナ
A570: ヴァイ音節ニャ
A571: ヴァイシラブルウー
A572: ヴァイシラブルウーン
A573: ヴァイシラブルホー
A574: ヴァイシラブルウー
A575: ヴァイシラブルウーン
A576: ヴァイシラブルプー
A577: ヴァイシラブルブー
A578: ヴァイシラブルブー
A579: ヴァイシラブルMboo
A57A: ヴァイシラブルクープ
A57B: ヴァイシラブルMgboo
A57C: ヴァイシラブルGboo
A57D: ヴァイシラブルフー
A57E: Vai Syllable Voo
A57F: あまりにも多くの音節
A580: バイ音節Thoo
A581: ヴァイシラブルドゥー
A582: ヴァイ・シラブル・ドゥー
A583: ヴァイシラブルルー
A584: ヴァイシラブルルー
A585: ヴァイシラブルドゥー
A586: Vai Syllable Ndoo
A587: ヴァイシラブルスー
A588: ヴァイシラブルシュー
A589: ヴァイシラブル動物園
A58A: ヴァイシラブルズー
A58B: ヴァイシラブルクー
A58C: ヴァイシラブルジョー
A58D: ヴァイシラブルニョー
A58E: ヴァイシラブルユー
A58F: ヴァイシラブルコー
A590: ヴァイ・シラブル・ンゴー
A591: ヴァイシラブルグー
A592: ヴァイシラブルムー
A593: ヴァイシラブルヌー
A594: ヴァイシラブルニョー
A595: ヴァイシラブルU
A596: ヴァイシラブルウン
A597: ヴァイシラブル胡
A598: ヴァイシラブルフン
A599: Vai Syllable Wu
A59A: ヴァイシラブルウン
A59B: ヴァイ音節Pu
A59C: ヴァイシラブルブー
A59D: バイ音節Bu
A59E: バイ音節Mbu
A59F: ヴァイシラブルKpu
A5A0: ヴァイシラブルMgbu
A5A1: ヴァイシラブルGbu
A5A2: ヴァイシラブルフー
A5A3: Vai Syllable Vu
A5A4: Vai音節Tu
A5A5: ヴァイ音節木
A5A6: ヴァイシラブルデュー
A5A7: ヴァイシラブルデュー
A5A8: Vai Syllable Lu
A5A9: ヴァイ音節Ru
A5AA: ヴァイシラブルドゥ
A5AB: Vai Syllable Ndu
A5AC: ヴァイシラブル蘇
A5AD: ヴァイ音節シュウ
A5AE: ヴァイシラブルズ
A5AF: ヴァイシラブル朱
A5B0: ヴァイシラブル銅
A5B1: ヴァイ音節Ju
A5B2: バイ音節Nju
A5B3: バイ音節ゆう
A5B4: 五音節区
A5B5: ヴァイシラブルング
A5B6: 五音節区
A5B7: ヴァイシラブルミュー
A5B8: ヴァイシラブルニュー
A5B9: ヴァイシラブルニュー
A5BA: ヴァイシラブルO
A5BB: ヴァイシラブルオン
A5BC: バイ音節語
A5BD: Vaiシラブルホー
A5BE: ヴァイシラブル本
A5BF: ヴァイ音節ヲ
A5C0: ヴァイシラブルウォン
A5C1: バイ音節Po
A5C2: ヴァイシラブルボー
A5C3: ヴァイシラブルボー
A5C4: ヴァイシラブルMbo
A5C5: ヴァイシラブルKpo
A5C6: ヴァイシラブルMgbo
A5C7: ヴァイシラブルGbo
A5C8: バイ音節Gbon
A5C9: バイ音節Fo
A5CA: バイ音節Vo
A5CB: ヴァイシラブルトゥ
A5CC: ヴァイシラブルトー
A5CD: ヴァイシラブルドー
A5CE: ヴァイシラブルドー
A5CF: バイ音節Lo
A5D0: ヴァイシラブルロ
A5D1: ヴァイシラブルド
A5D2: Vai Syllable Ndo
A5D3: ヴァイシラブルソー
A5D4: バイ音節翔
A5D5: ヴァイシラブルゾ
A5D6: ヴァイシラブル趙
A5D7: Vai Syllable Co
A5D8: ヴァイシラブルジョー
A5D9: ヴァイシラブルニョー
A5DA: バイ音節よ
A5DB: ヴァイシラブルコー
A5DC: ヴァイシラブル・ンゴー
A5DD: ヴァイシラブルゴー
A5DE: ヴァイシラブルモー
A5DF: ヴァイ音節
A5E0: ヴァイシラブルニョ
A5E1: ヴァイ音節E
A5E2: バイ音節En
A5E3: ヴァイシラブルンゲン
A5E4: ヴァイ音節彼
A5E5: ヴァイ音節編
A5E6: ヴァイシラブル
A5E7: ヴァイシラブルウェン
A5E8: バイ音節Pe
A5E9: VaiシラブルBhe
A5EA: Vaiシラブルビー
A5EB: ヴァイシラブルムベ
A5EC: バイ音節Kpe
A5ED: バイ音節Kpen
A5EE: ヴァイシラブルMgbe
A5EF: ヴァイシラブルGbe
A5F0: バイ音節Gben
A5F1: バイ音節Fe
A5F2: VaiシラブルVe
A5F3: ヴァイ音節テ
A5F4: ヴァイシラブル
A5F5: ヴァイシラブルデ
A5F6: ヴァイシラブルDhe
A5F7: ヴァイシラブルル
A5F8: ヴァイシラブルリ
A5F9: Vai Syllable De
A5FA: ヴァイシラブルンデ
A5FB: バイ音節Se
A5FC: ヴァイシラブル彼女
A5FD: ヴァイシラブルゼ
A5FE: VaiシラブルZhe
A5FF: バイ音節Ce
