C000: ハングル音節Bbweok
C09A: ハングル音節Bbil​​m
C09B: ハングル音節Bbil​​b
C09C: ハングル音節名詞
C09D: ハングル音節ビルト
C09E: ハングル音節Bbil​​p
C09F: ハングル音節Bbil​​h
C0A0: ハングル音節Bbim
C0A1: ハングル音節ビブ
C0A2: ハングル音節ビブ
C0A3: ハングル音節Bbis
C0A4: ハングル音節Bbiss
C0A5: ハングル音節小節
C0A6: ハングル音節Bbij
C0A7: ハングル音節バイビック
C0A8: ハングル音節Bbik
C0A9: ハングル音節ビット
C0AA: ハングル音節Bbip
C0AB: ハングル音節Bbih
C0AC: ハングル音節語Sa
C0AD: ハングル音節サグ
C0AE: ハングル音節サグ
C0AF: ハングル音節サグ
C0B0: ハングルシラブルサン
C0B1: ハングル音節サニ
C0B2: ハングル音節サン
C0B3: ハングル音節悲しい
C0B4: ハングル音節サル
C0B5: ハングル音節サルク
C0B6: ハングル音節鮭
C0B7: ハングル音節Salb
C0B8: ハングル音節サル
C0B9: ハングル音節塩
C0BA: ハングル音節サルップ
C0BB: ハングル音節サル
C0BC: ハングル音節サム
C0BD: ハングル音節
C0BE: ハングル音節サブ
C0BF: ハングル音節Sas
C0C0: ハングル音節サス
C0C1: ハングル音節の歌
C0C2: ハングル音節語
C0C3: ハングル音節袋
C0C4: ハングル音節サック
C0C5: ハングル音節土
C0C6: ハングル音節樹液
C0C7: ハングル音節文字
C0C8: ハングル音節
C0C9: ハングル音節サイグ
C0CA: ハングル音節セッグ
C0CB: ハングル音節語
C0CC: ハングル音節
C0CD: ハングル音節センジ
C0CE: ハングル音節セン
C0CF: ハングル音節
C0D0: ハングル音節帆
C0D1: ハングル音節帆
C0D2: ハングル音節セルム
C0D3: ハングル音節Saelb
C0D4: ハングル音節帆
C0D5: ハングル音節ソルト
C0D6: ハングル音節Saelp
C0D7: ハングル音節帆
C0D8: ハングル音節セム
C0D9: ハングル音節セーブ
C0DA: ハングル音節
C0DB: ハングル音節
C0DC: ハングル音節Saess
C0DD: ハングル音節セン
C0DE: ハングル音節サエジ
C0DF: ハングル音節音節
C0E0: ハングル音節ek
C0E1: ハングル音節帆
C0E2: ハングル音節セープ
C0E3: ハングル音節サエ
C0E4: ハングル音節文字
C0E5: ハングル音節Syag
C0E6: ハングル音節Syagg
C0E7: ハングル音節文字
C0E8: ハングル音節シアン
C0E9: ハングル音節記号
C0EA: ハングル音節シャン
C0EB: ハングル音節シッド
C0EC: ハングル音節シアル
C0ED: ハングル音節Syalg
C0EE: ハングル音節文字
C0EF: ハングル音節Syalb
C0F0: ハングル音節シアル
C0F1: ハングル音節シルト
C0F2: ハングル音節シロップ
C0F3: ハングル音節Syalh
C0F4: ハングル音節シャム
C0F5: ハングル音節シャブ
C0F6: ハングル音節シナプス
C0F7: ハングル音節シアス
C0F8: ハングル音節シラス
C0F9: ハングル音節Syang
C0FA: ハングル音節文字
C0FB: ハングル音節Syac
C0FC: ハングル音節Syak
C0FD: ハングル音節Syat
C0FE: ハングル音節シロップ
C0FF: ハングル音節シャア
