A400: 李音節クワイエット
A47B: 一音節ゆう
A47C: 一音節ユープ
A47D: 一音節よ
A47E: YiシラブルYox
A47F: 一音節よ
A480: 一音節ヨップ
A481: 一音節ユート
A482: 一音節ユックス
A483: 一音節ゆう
A484: 一音節うん
A485: 一音節ユルクス
A486: 李音節
A487: イ音節イット
A488: YiシラブルYyx
A489: Yi音節Yy
A48A: イ音節イプ
A48B: YiシラブルYyrx
A48C: Yi音節Yyr
A48D:
A48E:
A48F:
A490: 李ラジカルQot
A491: 李ラジカル李
A492: 李ラジカルキット
A493: 李ラジカルニップ
A494: 李ラジカルサイプ
A495: 李ラジカルSsi
A496: 李ラジカルGgop
A497: 李ラジカルGep
A498: 李ラジカルMi
A499: 李ラジカルHxit
A49A: 李ラジカルLyr
A49B: 李ラジカルBbut
A49C: 李ラジカルモップ
A49D: 李ラジカルヨー
A49E: 李ラジカル入れ
A49F: 李ラジカルHxuo
A4A0: 李ラジカルTat
A4A1: 李ラジカルGa
A4A2: 李ラジカルZup
A4A3: 李ラジカルサイト
A4A4: 李ラジカルDdur
A4A5: 李ラジカルバー
A4A6: 李ラジカルGguo
A4A7: Yi Radical Nyop
A4A8: 李ラジカルTu
A4A9: 李ラジカルオペアンプ
A4AA: 李ラジカル急進
A4AB: 李ラジカルゾット
A4AC: 李ラジカルPyt
A4AD: 李ラジカルHmo
A4AE: 李ラジカルイット
A4AF: 李ラジカルVur
A4B0: 李ラジカルシャイ
A4B1: 李ラジカルVep
A4B2: 李ラジカルザー
A4B3: 李ラジカル城
A4B4: 李ラジカルNzup
A4B5: 李ラジカルJjy
A4B6: 李ラジカルGot
A4B7: 李ラジカル傑
A4B8: 李ラジカルヲ
A4B9: 李ラジカルデュ
A4BA: 李ラジカルシュール
A4BB: 李ラジカルうそ
A4BC: 李ラジカルCy
A4BD: 李ラジカルCuop
A4BE: 一ラジカルCip
A4BF: 李ラジカルHxop
A4C0: 李ラジカルシャット
A4C1: 李ラジカルZur
A4C2: 李ラジカルショップ
A4C3: 李ラジカルチェ
A4C4: 李ラジカルZziet
A4C5: 李ラジカルNbie
A4C6: 李ラジカル桂
A4C7:
A4C8:
A4C9:
A4CA:
A4CB:
A4CC:
A4CD:
A4CE:
A4CF:
A4D0: リス文字Ba
A4D1: リス文字Pa
A4D2: リス文字Pha
A4D3: リスレターダ
A4D4: リス文字Ta
A4D5: リスレターター
A4D6: リス文字Ga
A4D7: リス文字Ka
A4D8: リスレターカー
A4D9: Lisu Letter Ja
A4DA: リス文字Ca
A4DB: リスレターチャ
A4DC: リス文字Dza
A4DD: リスレターTsa
A4DE: リスレターTsha
A4DF: Lisu Letter Ma
A4E0: リス文字Na
A4E1: Lisu Letter La
A4E2: リスレターSa
A4E3: リス文字Zha
A4E4: リスレターザ
A4E5: リス文字Nga
A4E6: リスの手紙ハ
A4E7: リスレターXa
A4E8: リスレターハ
A4E9: リス文字Fa
A4EA: リス・レター・ワ
A4EB: Lisu Letter Sha
A4EC: リスレターヤー
A4ED: リスレターガー
A4EE: リス文字A
A4EF: Lisu Letter Ae
A4F0: リス文字E
A4F1: Lisu Letter Eu
A4F2: リスの手紙I
A4F3: リス文字O
A4F4: リス文字U
A4F5: Lisu Letter Ue
A4F6: Lisu Letterええと
A4F7: リス大江さん
A4F8: リス文字Tone Mya Ti
A4F9: リスレタートーンナポー
A4FA: リスレタートーンミヤチヤ
A4FB: リスレタートーンミアボー
A4FC: リスレタートーンミャナ
A4FD: リスの手紙の調子Mya Jeu
A4FE: リス句読点カンマ
A4FF: リス句読点フルストップ
