D300: ハングル音節ティム
D3B8: ハングル音節ピョン
D3B9: ハングル音節Pyeonj
D3BA: ハングル音節ピョン
D3BB: ハングル音節ピョー
D3BC: ハングル音節ピョール
D3BD: ハングル音節Pyeolg
D3BE: ハングル音節ピョルム
D3BF: ハングル音節Pyeolb
D3C0: ハングル音節ピオール
D3C1: ハングル音節Pyeolt
D3C2: ハングル音節Pyeolp
D3C3: ハングル音節Pyeolh
D3C4: ハングル音節パイム
D3C5: ハングル音節パイオブ
D3C6: ハングル音節パイオブ
D3C7: ハングル音節パイオ
D3C8: ハングル音節ピョオス
D3C9: ハングル音節平
D3CA: ハングル音節Pyeoj
D3CB: ハングル音節Pyeoc
D3CC: ハングル音節ピョク
D3CD: ハングル音節パイオ
D3CE: ハングル音節パイオップ
D3CF: ハングル音節ピョー
D3D0: ハングル音節パイ
D3D1: ハングル音節パイク
D3D2: ハングル音節Pyegg
D3D3: ハングル音節ピッグ
D3D4: ハングル音節禅
D3D5: ハングル音節Pyenj
D3D6: ハングル音節Pyenh
D3D7: ハングル音節ピード
D3D8: ハングル音節パイエル
D3D9: ハングル音節Pyelg
D3DA: ハングル音節パイラム
D3DB: ハングル音節Pyelb
D3DC: ハングル音節パイエル
D3DD: ハングル音節ピルト
D3DE: ハングル音節パイプ
D3DF: ハングル音節文字
D3E0: ハングル音節パイム
D3E1: ハングル音節パイブ
D3E2: ハングル音節パイブ
D3E3: ハングル音節
D3E4: ハングル音節パイス
D3E5: ハングル音節eng
D3E6: ハングル音節Pyej
D3E7: ハングル音節パイク
D3E8: ハングル音節パイク
D3E9: ハングル音節ピート
D3EA: ハングル音節ピープ
D3EB: ハングル音節パイ
D3EC: ハングル音節Po
D3ED: ハングル音節ポグ
D3EE: ハングル音節ポッグ
D3EF: ハングル音節犬
D3F0: ハングル音節ポン
D3F1: ハングル音節Ponj
D3F2: ハングル音節ポン
D3F3: ハングル音節ポッド
D3F4: ハングル音節ポル
D3F5: ハングル音節ポルグ
D3F6: ハングル音節
D3F7: ハングル音節水玉
D3F8: ハングル音節ポール
D3F9: ハングル音節ポルト
D3FA: ハングル音節ポリープ
D3FB:
D3FC: ハングル音節ポンポン
D3FD: ハングル音節ポブ
D3FE: ハングル音節ポブ
D3FF: ハングル音節位置
