C100: ハングル音節シャエ
C1C4: ハングル音節スワエ
C1C5: ハングル音節スワグ
C1C6: ハングル音節スワグ
C1C7: ハングル音節スワグ
C1C8: ハングル音節スワン
C1C9: ハングル音節スワネジ
C1CA: ハングル音節スワン
C1CB: ハングル音節交換
C1CC: ハングル音節スワール
C1CD: ハングル音節Swaelg
C1CE: ハングル音節スワーム
C1CF: ハングル音節Swaelb
C1D0: ハングル音節スワール
C1D1: ハングル音節スワレット
C1D2: ハングル音節スワップ
C1D3: ハングル音節スワエル
C1D4: ハングル音節Swaem
C1D5: ハングル音節スワブ
C1D6: ハングル音節スワブ
C1D7: ハングル音節スワイ
C1D8: ハングル音節スワス
C1D9: ハングル音節スワン
C1DA: ハングル音節スワエジ
C1DB: ハングル音節Swaec
C1DC: ハングル音節スワク
C1DD: ハングル音節スワート
C1DE: ハングル音節スワープ
C1DF: ハングル音節スワエ
C1E0: ハングル音節靴
C1E1: ハングル音節Soeg
C1E2: ハングル音節スエッグ
C1E3: ハングル音節ソグ
C1E4: ハングル音節ソーン
C1E5: ハングル音節ソエンジ
C1E6: ハングル音節ソーン
C1E7: ハングル音節ソード
C1E8: ハングル音節ソール
C1E9: ハングル音節文字
C1EA: ハングル音節ソルム
C1EB: ハングル音節Soelb
C1EC: ハングル音節ソール
C1ED: ハングル音節ソルト
C1EE: ハングル音節ソープ
C1EF: ハングル音節ソール
C1F0: ハングル音節ソム
C1F1: ハングル音節Soeb
C1F2: ハングル音節ソーブ
C1F3: ハングル音節ソース
C1F4: ハングル音節スース
C1F5: ハングル音節宋
C1F6: ハングル音節Soej
C1F7: ハングル音節音節
C1F8: ハングル音節ソーク
C1F9: ハングル音節スート
C1FA: ハングル音節ソープ
C1FB: ハングル音節Soeh
C1FC: ハングル音節翔
C1FD: ハングル音節Syog
C1FE: ハングル音節Syogg
C1FF: ハングル音節シログ
