0400: 墓とキリル大文字Ie
0455: キリル文字小文字Dze
0456: キリル文字小文字ベラルーシ語 - ウクライナ語I: 昔のキリル文字
0457: キリル文字小文字Yi
0458: キリルスモールレタージェ
0459: キリル文字Lje
045A: キリル文字小文字
045B: キリルスモールレターチェ
045C: キリル文字小文字
045D: キリル文字小文字I
045E: キリルスモールレターショートU
045F: キリル小文字Dzhe
0460: キリルキャピタルレターオメガ
0461: キリルスモールレターオメガ
0462: キリル大文字Yat
0463: キリルスモールレターヤット
0464: キリル文字大文字E
0465: キリル文字小文字E
0466: キリル大文字大文字Little Yus
0467: キリル文字小文字Yus
0468: キリル大文字大文字リトルユース
0469: キリル文字小文字Iotified Little Yus
046A: キリル大文字大文字Yus
046B: キリルスモールレタービッグユース
046C: キリル文字大文字Yotified Big Yus
046D: キリル文字の小さな文字がビッグユースを黙示録
046E: キリル大文字Ksi
046F: キリルスモールレターKsi
0470: キリル大文字Psi
0471: キリル小文字Psi
0472: キリル大文字Fita
0473: キリルスモールレターフィタ
0474: キリル大文字Izhitsa
0475: キリル小文字Izhitsa
0476: 二重墓アクセント付きキリル大文字Izhitsa
0477: 二重墓のアクセントが付いているキリル文字の小さい手紙Izhitsa
0478: キリルキャピタルレターイギリス
0479: キリルスモールレターイギリス
047A: キリル文字大文字Omega
047B: キリルスモールレターラウンドオメガ
047C: Titloとキリル文字の大文字Omega: キリル「美しいオメガ」
047D: Titloとキリル文字の小文字Omega
047E: キリルキャピタルレターOt
047F: キリルスモールレターOt
0480: キリルキャピタルレターコッパ
0481: キリルスモールレターコッパ
0482: キリル千サイン
0483: キリル文字Titloの組み合わせ
0484: キリル風味の組み合わせ
0485: キリル性Dasia Pneumataを組み合わせる
0486: キリル性肺炎桿菌の併用
0487: キリルポクリティの組み合わせ
0488: キリル百万記号を組み合わせる
0489: キリルミリオンサインを組み合わせる
048A: キリル文字の大文字短文字I付き
048B: キリルスモールレターショートI
048C: キリル文字の大文字セミソフトサイン
048D: キリル文字小文字の半ソフトサイン
048E: ダニとキリル文字大文字Er
048F: ダニとキリル文字小文字Er
0490: 上昇とキリル文字の大文字Ghe
0491: 上りキリル文字小文字Ghe
0492: ストローク付きキリル大文字Ghe
0493: ストローク付きキリル文字小文字Ghe
0494: ミドルフック付きキリル大文字Ghe
0495: ミドルフック付きキリル文字小文字Ghe
0496: 子孫とキリル文字の大文字Zhe
0497: 子孫とキリル文字小文字Zhe
0498: キリル文字大文字ZeとDescender
0499: 子孫とキリル文字Small Ze
049A: キリル文字大文字Kaと子孫
049B: 子孫とキリル文字小文字Ka
049C: 縦書きのキリル文字大文字Ka
049D: 垂直ストロークでキリル文字の小文字Ka
049E: ストロークでキリル文字の大文字Ka
049F: ストロークでキリル文字小文字Ka
04A0: キリル大文字大文字Bashkir Ka
04A1: キリル文字小文字Bashkir Ka
04A2: 子孫とキリル文字の大文字En
04A3: 子孫とキリル文字小文字En
04A4: キリル資本リガチャーEn Ghe
04A5: キリルスモールリガチャーEn Ghe
04A6: ミドルフック付きキリル大文字Pe
04A7: ミドルフックとキリル文字小文字Pe
04A8: キリル大文字大文字Abkhasian Ha
04A9: キリル文字小文字Abkhasian Ha
04AA: 子孫とキリル大文字Es
04AB: 子孫とキリル文字小文字Es
04AC: キリル文字の大文字のテセンとディセンダ
04AD: 子孫とキリル文字小文字Te
04AE: キリル大文字大文字U
04AF: キリルスモールレターストレートU
04B0: ストロークでキリル大文字大文字U
04B1: キリル文字小文字U字ストローク
04B2: キリル文字大文字HaとDescender
04B3: 子孫とキリル文字小文字Ha
04B4: キリル資本訴訟
04B5: キリル文字合字テッセ
04B6: キリル文字大文字と子孫
04B7: キリル文字小文字チェとディセンダー
04B8: 縦書きのキリル大文字チェ
04B9: 垂直ストロークでキリル文字の小さいチェ
04BA: キリル大文字大文字
04BB: キリルスモールレターシャ
04BC: キリル大文字大文字Abkhasian Che
04BD: キリル文字小文字Abkhasian Che
04BE: キリル文字の大文字Abkhasian CheとDescenderの
04BF: キリル文字小文字Abkhasian Che with Descender
04C0: キリル文字Palochka
04C1: Breveとキリル文字の大文字Zhe
04C2: Breveとキリル文字小文字Zhe
04C3: フック付きキリル大文字Ka
04C4: フック付きキリル文字小文字Ka
04C5: 尾を持つキリル大文字El
04C6: 尾を持つキリル文字小文字El
04C7: フック付きキリル大文字En
04C8: フック付きキリル文字小文字En
04C9: テール付きキリル大文字En
04CA: 尾を持つキリル文字小文字En
04CB: キリルキャピタルレターKhakassian Che
04CC: キリル文字小文字Khakassian Che
04CD: テール付きキリル大文字Em
04CE: 尾を持つキリル文字小文字Em
04CF: キリル文字小文字Palochka
04D0: キリル大文字大文字とBreve
04D1: キリル文字小文字aとBreve
04D2: 分音記号付きキリル大文字a
04D3: 分音記号付きキリル文字小文字a
04D4: キリル文字首都
04D5: キリル文字
04D6: Breveとキリル大文字大文字
04D7: Breveとキリル文字小文字
04D8: キリル大文字のSchwa
04D9: キリルスモールレターシュワ
04DA: 分音記号付きキリル大文字大文字
04DB: 分音記号付きキリル文字小文字Schwa
04DC: 分音記号付きキリル大文字Zhe
04DD: 分音記号付きキリル文字小文字Zhe
04DE: 分音記号付きキリル大文字Z
04DF: 分音記号付きキリル文字小文字Ze
04E0: キリル大文字Abkhasian Dze
04E1: キリル文字小文字Abkhasian Dze
04E2: マクロンとキリル大文字I
04E3: マクロンとキリル文字Small I
04E4: 分音記号付きキリル大文字I
04E5: 分音記号付きキリル文字I
04E6: 分音記号付きキリル大文字O
04E7: 分音記号付きキリル小文字O
04E8: キリル大文字大文字O禁止
04E9: キリル文字小文字O禁止
04EA: 分音記号でOを禁じるキリル文字の大文字
04EB: 分音記号付きOキリル文字小文字
04EC: 分音記号付きキリル大文字E
04ED: 分音記号付きキリル文字E
04EE: マクロンとキリル大文字U
04EF: マクロンとキリル文字小文字U
04F0: 分音記号付きキリル大文字U
04F1: 分音記号付きキリル文字小文字U
04F2: 二重急性のキリル大文字U
04F3: 二重急性のキリル文字小文字U
04F4: 分音記号付きキリル大文字チェ
04F5: 分音記号付きキリル文字小文字Che
04F6: 子孫とキリル文字の大文字Ghe
04F7: 子孫とキリル文字小文字Ghe
04F8: 分音記号付きキリル大文字大文字
04F9: 分音記号付きキリル文字小文字
04FA: ストロークとフックでキリル文字の大文字Ghe
04FB: ストロークとフックでキリル文字の小文字Ghe
04FC: フック付きキリル大文字Ha
04FD: フック付きキリル文字小文字Ha
04FE: ストローク付きキリル大文字Ha
04FF: ストロークでキリル文字小文字Ha
