CB00: ハングル音節Jjwaels
CB90: ハングル音節語Jjwem
CB91: ハングル音節Jjweb
CB92: ハングル音節Jjwebs
CB93: ハングル音節Jjwes
CB94: ハングル音節Jjwess
CB95: ハングル音節Jjweng
CB96: ハングル音節Jjwej
CB97: ハングル音節Jjwec
CB98: ハングル音節Jjwek
CB99: ハングル音節Jjwet
CB9A: ハングル音節Jjwep
CB9B: ハングル音節Jjweh
CB9C: ハングル音節Jjwi
CB9D: ハングル音節Jjwig
CB9E: ハングル音節Jjwigg
CB9F: ハングル音節Jjwigs
CBA0: ハングル音節Jjwin
CBA1: ハングル音節
CBA2: ハングル音節Jjwinh
CBA3: ハングル音節語Jjwid
CBA4: ハングル音節Jjwil
CBA5: ハングル音節Jjwilg
CBA6: ハングル音節Jjwilm
CBA7: ハングル音節Jjwilb
CBA8: ハングル音節Jjwils
CBA9: ハングル音節ジュウィルト
CBAA: ハングル音節Jjwilp
CBAB: ハングル音節Jjwilh
CBAC: ハングル音節語Jjwim
CBAD: ハングル音節Jjwib
CBAE: ハングル音節Jjwibs
CBAF: ハングル音節語Jjwis
CBB0: ハングル音節語Jjwiss
CBB1: ハングル音節Jjwing
CBB2: ハングル音節Jjwij
CBB3: ハングル音節語Jjwic
CBB4: ハングル音節語Jjwik
CBB5: ハングル音節Jjwit
CBB6: ハングル音節Jjwip
CBB7: ハングル音節Jjwih
CBB8: ハングル音節語
CBB9: ハングル音節Jjyug
CBBA: ハングル音節Jjyugg
CBBB: ハングル音節Jjyugs
CBBC: ハングル音節語
CBBD: ハングル音節Jjyunj
CBBE: ハングル音節語
CBBF: ハングル音節Jjyud
CBC0: ハングル音節Jjyul
CBC1: ハングル音節Jjyulg
CBC2: ハングル音節Jjyulm
CBC3: ハングル音節Jjyulb
CBC4: ハングル音節Jjyuls
CBC5: ハングル音節語Jjyult
CBC6: ハングル音節Jjyulp
CBC7: ハングル音節Jjyulh
CBC8: ハングル音節Jjyum
CBC9: ハングル音節Jjyub
CBCA: ハングル音節語Jjyubs
CBCB: ハングル音節Jjyus
CBCC: ハングル音節ユジュス
CBCD: ハングル音節語
CBCE: ハングル音節語
CBCF: ハングル音節Jjyuc
CBD0: ハングル音節Jjyuk
CBD1: ハングル音節Jjyut
CBD2: ハングル音節Jjyup
CBD3: ハングル音節語
CBD4: ハングル音節語
CBD5: ハングル音節ジャグ
CBD6: ハングル音節語Jjeugg
CBD7: ハングル音節ジャージ
CBD8: ハングル音節語
CBD9: ハングル音節語
CBDA: ハングル音節語
CBDB: ハングル音節ジャウド
CBDC: ハングル音節Jjeul
CBDD: ハングル音節Jjeulg
CBDE: ハングル音節ジャム
CBDF: ハングル音節Jjeulb
CBE0: ハングル音節ジャングル
CBE1: ハングル音節語Jjeult
CBE2: ハングル音節ジャプルプ
CBE3: ハングル音節ジュール
CBE4: ハングル音節語
CBE5: ハングル音節ジャブ
CBE6: ハングル音節ジャブ
CBE7: ハングル音節ジャス
CBE8: ハングル音節ジャス
CBE9: ハングル音節語
CBEA: ハングル音節ジュジュ
CBEB: ハングル音節Jjeuc
CBEC: ハングル音節語Jjeuk
CBED: ハングル音節語Jjeut
CBEE: ハングル音節Jjeup
CBEF: ハングル音節語
CBF0: ハングル音節Jjyi
CBF1: ハングル音節Jjyig
CBF2: ハングル音節Jjyigg
CBF3: ハングル音節Jjyigs
CBF4: ハングル音節Jjyin
CBF5: ハングル音節Jjyinj
CBF6: ハングル音節Jjyinh
CBF7: ハングル音節Jjyid
CBF8: ハングル音節Jjyil
CBF9: ハングル音節Jjyilg
CBFA: ハングル音節Jjyilm
CBFB: ハングル音節Jjyilb
CBFC: ハングル音節Jjyils
CBFD: ハングル音節Jjyilt
CBFE: ハングル音節Jjyilp
CBFF: ハングル音節Jjyilh
