BE00: ハングル音節バイラム
BEE5: ハングル音節Bbeong
BEE6: ハングル音節Bbeoj
BEE7: ハングル音節Bbeoc
BEE8: ハングル音節Bbeok
BEE9: ハングル音節小声
BEEA: ハングルシラブルベボ
BEEB: ハングル音節Bbeoh
BEEC: ハングル音節名詞
BEED: ハングル音節名詞
BEEE: ハングル音節ベベ
BEEF: ハングル音節名詞
BEF0: ハングル音節ベン
BEF1: ハングル音節Bbenj
BEF2: ハングル音節ベン
BEF3: ハングル音節Bbed
BEF4: ハングル音節ベル
BEF5: ハングル音節ベルベル
BEF6: ハングル音節ベベル
BEF7: ハングル音節Bbelb
BEF8: ハングル音節ベルベル
BEF9: ハングル音節ベルト
BEFA: ハングル音節ベルベル
BEFB: ハングル音節
BEFC: ハングル音節Bbem
BEFD: ハングル音節名詞
BEFE: ハングル音節名詞
BEFF: ハングル音節名詞
