A300: 一音節Nzup
A3BF: 一音節シュール
A3C0: 李音節シャイト
A3C1: 李音節シックス
A3C2: 一音節シャイ
A3C3: 一音節シープ
A3C4: 一音節シックス
A3C5: 一音節シール
A3C6: 一音節ラット
A3C7: 李音節ラックス
A3C8: 李音節ラ
A3C9: 李音節ラップ
A3CA: 一音節ルオックス
A3CB: 李音節ルオ
A3CC: 李音節ループ
A3CD: 李音節腐敗
A3CE: 一音節ロックス
A3CF: 一音節Ro
A3D0: 一音節ロップ
A3D1: 李音節レックス
A3D2: 李音節Re
A3D3: 一音節担当者
A3D4: 一音節わだち
A3D5: 李音節ラックス
A3D6: 一音節Ru
A3D7: 一音節ループ
A3D8: 李音節ラルフ
A3D9: 李音節ラール
A3DA: 李音節Ryt
A3DB: 李音節ライクス
A3DC: 一音節Ry
A3DD: 李音節Ryp
A3DE: 一音節リルクス
A3DF: 一音節Ryr
A3E0: 李音節ジット
A3E1: 李音節Jix
A3E2: 李音節智
A3E3: 李音節ジップ
A3E4: 李音節ジエット
A3E5: 李音節Jiex
A3E6: 李音節傑
A3E7: 李音節ジープ
A3E8: 李音節
A3E9: 李音節Juox
A3EA: S音順音
A3EB: 李音節フープ
A3EC: 李音節ジョット
A3ED: 一音節ジョックス
A3EE: 一音節ジョ
A3EF: 李音節ジョップ
A3F0: 李音節
A3F1: 李音節Jux
A3F2: 李音節じゅ
A3F3: 李音節Jup
A3F4: 李音節ジュール
A3F5: 李音節Jur
A3F6: 李音節イット
A3F7: 李音節Jyx
A3F8: 李音節Jy
A3F9: 李音節Jyp
A3FA: 李音節yr音
A3FB: 李音節Jyr
A3FC: 李音節Qit
A3FD: 李音節Qix
A3FE: 一音節チー
A3FF: 李音節Qip
