BD00: ハングルシラブルボール
BDA4: ハングル音節Bweol
BDA5: ハングル音節Bweolg
BDA6: ハングル音節ブヴェルム
BDA7: ハングル音節Bweolb
BDA8: ハングル音節ブール
BDA9: ハングル音節Bweolt
BDAA: ハングル音節Bweolp
BDAB: ハングル音節Bweolh
BDAC: ハングル音節ブーム
BDAD: ハングル音節ブーブ
BDAE: ハングル音節ブイオブ
BDAF: ハングル音節ブエオス
BDB0: ハングル音節ブウィオス
BDB1: ハングル音節武
BDB2: ハングル音節ブウェイ
BDB3: ハングル音節ブウォック
BDB4: ハングル音節Bweok
BDB5: ハングル音節長靴
BDB6: ハングル音節武器
BDB7: ハングル音節語
BDB8: ハングル音節語
BDB9: ハングル音節文字
BDBA: ハングル音節Bwegg
BDBB: ハングル音節語
BDBC: ハングル音節ブウェン
BDBD: ハングル音節ブウェニ
BDBE: ハングル音節ブウェン
BDBF: ハングル音節
BDC0: ハングル音節鐘
BDC1: ハングル音節語
BDC2: ハングル音節語
BDC3: ハングル音節鐘
BDC4: ハングル音節ブエルズ
BDC5: ハングル音節語
BDC6: ハングル音節ブリュー
BDC7: ハングル音節鐘
BDC8: ハングル音節ブーム
BDC9: ハングル音節名詞
BDCA: ハングル音節名詞
BDCB: ハングル音節語
BDCC: ハングル音節勇者
BDCD: ハングル音節ブウェン
BDCE: ハングル音節Bwej
BDCF: ハングル音節Bwec
BDD0: ハングル音節毎週
BDD1: ハングル音節ブエット
BDD2: ハングル音節ブープ
BDD3: ハングル音節
BDD4: ハングル音節Bwi
BDD5: ハングル音節ウィッグ
BDD6: ハングル音節ブウィッグ
BDD7: ハングルシラブルウィッグ
BDD8: ハングル音節Bwin
BDD9: ハングル音節Bwinj
BDDA: ハングル音節ブウィン
BDDB: ハングル音節両用
BDDC: ハングル音節名詞
BDDD: ハングル音節文字
BDDE: ハングル音節Bwilm
BDDF: ハングル音節Bwilb
BDE0: ハングル音節
BDE1: ハングルシラブル・ビルト
BDE2: ハングル音節Bwilp
BDE3: ハングル音節ブウィル
BDE4: ハングル音節ブウィム
BDE5: ハングル音節ブイブ
BDE6: ハングル音節ビブ
BDE7: ハングル音節ブイス
BDE8: ハングル音節ブリス
BDE9: ハングル音節ブリング
BDEA: ハングル音節ブイ
BDEB: ハングル音節ブウィック
BDEC: ハングル音節ブウィク
BDED: ハングルシラブルビット
BDEE: ハングル音節Bwip
BDEF: ハングル音節
BDF0: ハングル音節語
BDF1: ハングル音節Byug
BDF2: ハングル音節Byugg
BDF3: ハングル音節記号
BDF4: ハングル音節ビョン
BDF5: ハングル音節ビョンジュ
BDF6: ハングル音節ビョン
BDF7: ハングル音節語
BDF8: ハングル音節Byul
BDF9: ハングル音節Byulg
BDFA: ハングル音節バイラム
BDFB: ハングル音節Byulb
BDFC: ハングル音節Byuls
BDFD: ハングル音節Byult
BDFE: ハングル音節Byulp
BDFF: ハングル音節Byulh
