AF00: ハングル音節ギギョル
AF3D: ハングル音節Ggob
AF3E: ハングル音節Ggob
AF3F: ハングル音節Ggos
AF40: ハングル音節Ggoss
AF41: ハングル音節功
AF42: ハングル音節Ggoj
AF43: ハングル音節Ggoc
AF44: ハングル音節Ggok
AF45: ハングル音節ゴット
AF46: ハングル音節Ggop
AF47: ハングル音節Ggoh
AF48: ハングル音節Ggwa
AF49: ハングル音節Ggwag
AF4A: ハングル音節Ggwagg
AF4B: ハングル音節Ggwags
AF4C: ハングル音節Ggwan
AF4D: ハングル音節グワニ
AF4E: ハングル音節Ggwanh
AF4F: ハングル音節Ggwad
AF50: ハングル音節Ggwal
AF51: ハングル音節Ggwalg
AF52: ハングル音節Ggwalm
AF53: ハングル音節Ggwalb
AF54: ハングル音節Ggwals
AF55: ハングル音節Ggwalt
AF56: ハングル音節Ggwalp
AF57: ハングル音節Ggwalh
AF58: ハングル音節Ggwam
AF59: ハングル音節Ggwab
AF5A: ハングル音節Ggwabs
AF5B: ハングル音節Ggwas
AF5C: ハングル音節Ggwass
AF5D: ハングル音節Ggwang
AF5E: ハングル音節Ggwaj
AF5F: ハングル音節Ggwac
AF60: ハングル音節Ggwak
AF61: ハングル音節Ggwat
AF62: ハングル音節Ggwap
AF63: ハングル音節Ggwah
AF64: ハングル音節Ggwae
AF65: ハングル音節Ggwaeg
AF66: ハングル音節Ggwaegg
AF67: ハングル音節Ggwaegs
AF68: ハングル音節Ggwaen
AF69: ハングル音節Ggwaenj
AF6A: ハングル音節Ggwaenh
AF6B: ハングル音節Ggwaed
AF6C: ハングル音節Ggwael
AF6D: ハングル音節Ggwaelg
AF6E: ハングル音節Ggwaelm
AF6F: ハングル音節Ggwaelb
AF70: ハングル音節Ggwaels
AF71: ハングル音節Ggwaelt
AF72: ハングル音節Ggwaelp
AF73: ハングル音節Ggwaelh
AF74: ハングル音節Ggwaem
AF75: ハングル音節Ggwaeb
AF76: ハングル音節Ggwaebs
AF77: ハングル音節Ggwaes
AF78: ハングル音節Ggwaess
AF79: ハングル音節Ggwaeng
AF7A: ハングル音節Ggwaej
AF7B: ハングル音節Ggwaec
AF7C: ハングル音節Ggwaek
AF7D: ハングル音節Ggwaet
AF7E: ハングル音節Ggwaep
AF7F: ハングル音節Ggwaeh
AF80: ハングル音節Ggoe
AF81: ハングル音節Ggoeg
AF82: ハングル音節Ggoegg
AF83: ハングル音節Ggoegs
AF84: ハングル音節グゴーン
AF85: ハングル音節Ggoenj
AF86: ハングル音節Ggoenh
AF87: ハングル音節
AF88: ハングル音節グーグル
AF89: ハングル音節グーグル
AF8A: ハングル音節Ggoelm
AF8B: ハングル音節Ggoelb
AF8C: ハングル音節グーグル
AF8D: ハングル音節グゴルト
AF8E: ハングル音節Ggoelp
AF8F: ハングル音節Ggoelh
AF90: ハングル音節グゴム
AF91: ハングル音節Ggoeb
AF92: ハングル音節Ggoebs
AF93: ハングル音節Ggoes
AF94: ハングル音節Ggoess
AF95: ハングル音節
AF96: ハングル音節Ggoej
AF97: ハングル音節Ggoec
AF98: ハングル音節Ggoek
AF99: ハングル音節Ggoet
AF9A: ハングル音節Ggoep
AF9B: ハングル音節Ggoeh
AF9C: ハングル音節ギョウ
AF9D: ハングル音節Ggyog
AF9E: ハングル音節ギギョグ
AF9F: ハングル音節Ggyogs
AFA0: ハングル音節ギョン
AFA1: ハングル音節ギョジュ
AFA2: ハングル音節ギョン
AFA3: ハングル音節ギョド
AFA4: ハングル音節ギョル
AFA5: ハングル音節ギョルグ
AFA6: ハングル音節ギョルム
AFA7: ハングル音節ギョロブ
AFA8: ハングル音節ギョル
AFA9: ハングル音節ギョルト
AFAA: ハングル音節ギョロプ
AFAB: ハングル音節Ggyolh
AFAC: ハングル音節ギョム
AFAD: ハングル音節ギョブ
AFAE: ハングル音節Ggyob
AFAF: ハングル音節ギョー
AFB0: ハングル音節ギギョス
AFB1: ハングル音節ギョン
AFB2: ハングル音節Ggyoj
AFB3: ハングル音節ギョク
AFB4: ハングル音節ギョク
AFB5: ハングル音節ギョー
AFB6: ハングル音節ギョップ
AFB7: ハングル音節ギョー
AFB8: ハングル音節Ggu
AFB9: ハングル音節Ggug
AFBA: ハングル音節Ggugg
AFBB: ハングル音節ググ
AFBC: ハングル音節グガン
AFBD: ハングル音節Ggunj
AFBE: ハングル音節グガン
AFBF: ハングル音節グッド
AFC0: ハングル音節文字
AFC1: ハングル音節Ggulg
AFC2: ハングル音節ガルム
AFC3: ハングル音節Ggulb
AFC4: ハングル音節Gguls
AFC5: ハングル音節ググルト
AFC6: ハングル音節Ggulp
AFC7: ハングル音節ググル
AFC8: ハングル音節ガム
AFC9: ハングル音節ガブ
AFCA: ハングル音節ガブ
AFCB: ハングル音節Ggus
AFCC: ハングル音節ググ
AFCD: ハングル音節グング
AFCE: ハングル音節ググイ
AFCF: ハングル音節Gguc
AFD0: ハングル音節Gguk
AFD1: ハングル音節ググ
AFD2: ハングル音節Ggup
AFD3: ハングル音節ググ
AFD4: ハングル音節Ggweo
AFD5: ハングル音節Ggweog
AFD6: ハングル音節Ggweogg
AFD7: ハングル音節Ggweogs
AFD8: ハングル音節Ggweon
AFD9: ハングル音節Ggweonj
AFDA: ハングル音節Ggweonh
AFDB: ハングル音節Ggweod
AFDC: ハングル音節Ggweol
AFDD: ハングル音節Ggweolg
AFDE: ハングル音節Ggweolm
AFDF: ハングル音節Ggweolb
AFE0: ハングル音節Ggweols
AFE1: ハングル音節Ggweolt
AFE2: ハングル音節Ggweolp
AFE3: ハングル音節Ggweolh
AFE4: ハングル音節Ggweom
AFE5: ハングル音節Ggweob
AFE6: ハングル音節Ggweob
AFE7: ハングル音節Ggweos
AFE8: ハングル音節Ggweoss
AFE9: ハングル音節Ggweong
AFEA: ハングル音節Ggweoj
AFEB: ハングル音節Ggweoc
AFEC: ハングル音節Ggweok
AFED: ハングル音節Ggweot
AFEE: ハングル音節Ggweop
AFEF: ハングル音節Ggweoh
AFF0: ハングル音節Ggwe
AFF1: ハングル音節Ggweg
AFF2: ハングル音節Ggwegg
AFF3: ハングル音節Ggwegs
AFF4: ハングル音節Ggwen
AFF5: ハングル音節Ggwenj
AFF6: ハングル音節グウェン
AFF7: ハングル音節Ggwed
AFF8: ハングル音節文字
AFF9: ハングル音節グウェルグ
AFFA: ハングル音節Ggwelm
AFFB: ハングル音節Ggwelb
AFFC: ハングル音節Ggwels
AFFD: ハングル音節Ggwelt
AFFE: ハングル音節Ggwelp
AFFF: ハングル音節グウェル
