1E00: ラテン大文字大文字の下にリング付き
1E5E: 下の行を含むラテン大文字R
1E5F: 下の行にラテン小文字R
1E60: ドットが上のラテン大文字S
1E61: ドットが上のラテン小文字S
1E62: ドットが下のラテン大文字S
1E63: ドットが下のラテン小文字S
1E64: 上にドットが付いたラテン大文字S
1E65: 上に急性とドットの付いたラテン小文字S
1E66: 上にキャロンとドットの付いたラテン大文字S
1E67: 上にキャロンとドットの付いたラテン小文字S
1E68: 下のドットと上のドットを持つラテン大文字S
1E69: 下のドットと上のドットの付いたラテン小文字S
1E6A: 上のドット付きのラテン大文字T
1E6B: ドットが上のラテン小文字T
1E6C: ドットが下のラテン大文字T
1E6D: ドットが下のラテン小文字T
1E6E: 下の行を含むラテン大文字T
1E6F: 下の行にラテン小文字T
1E70: 以下にサーカムフレックスを含むラテン大文字T
1E71: 以下にサーカムフレックスが付いたラテン小文字T
1E72: 下の分音記号付きラテン大文字U
1E73: 下の分音記号付きラテン小文字U
1E74: 下にチルドが付いているラテン大文字U
1E75: 下のチルダ付きラテン小文字U
1E76: 下付きのラテン大文字の大文字U
1E77: 下のサーカムフレックス付きラテン小文字U
1E78: ラテン大文字大文字UとTildeおよびAcute
1E79: チルドと急性のラテン小文字U
1E7A: ラテン語大文字U、マクロンと分音符号付き
1E7B: マクロンと分音記号付きラテン小文字U
1E7C: チルド付きラテン大文字V
1E7D: チルド付きラテン小文字V
1E7E: ドットが下のラテン大文字V
1E7F: ドットが下のラテン小文字V
1E80: ラテン語大文字Wと墓
1E81: 墓とラテン小文字W
1E82: 急性のラテン大文字W
1E83: 急性のラテン小文字W
1E84: 分音記号付きラテン大文字W
1E85: 分音記号付きラテン小文字W
1E86: ドットが上のラテン大文字W
1E87: 上にドットが付いたラテン小文字W
1E88: ドットが下のラテン大文字W
1E89: ドットが下のラテン小文字W
1E8A: ドットが上のラテン大文字X
1E8B: ドットが上のラテン小文字X
1E8C: 分音記号付きラテン大文字X
1E8D: 分音記号付きラテン小文字X
1E8E: ドットが上のラテン大文字Y
1E8F: ドットが上のラテン小文字Y
1E90: サーカムフレックス付きラテン大文字Z
1E91: サーカムフレックス付きラテン小文字Z
1E92: ドットが下のラテン大文字Z
1E93: ドットが下のラテン小文字Z
1E94: 下の行を含むラテン大文字Z
1E95: 下の行にラテン小文字Z
1E96: 下の行にラテン小文字H
1E97: 分音記号付きラテン小文字T
1E98: 上記のリング付きラテン小文字W
1E99: 上記のリング付きラテン小文字Y
1E9A: ラテン小文字aと右半分のリング
1E9B: 上にドットが入ったラテン小文字S
1E9C: 斜めのストロークでラテン小文字ロングS
1E9D: 高ストロークラテンS小文字ロング
1E9E: ラテン大文字シャープS
1E9F: ラテン小文字デルタ
1EA0: ラテン大文字の大文字aとドットの下
1EA1: 下のドット付きラテン小文字a
1EA2: 上のフック付きラテン大文字a
1EA3: 上記のフック付きラテン小文字a
1EA4: ラテン大文字大文字aとCircumflexおよびAcute
1EA5: サーカムフレックスと急性ラテンラテン小文字a
1EA6: ラテン大文字のaとCircumflexおよびGrave
1EA7: サーカムフレックスとグレーブ付きラテン小文字a
1EA8: ラテン大文字のaとCircumflexとのフック
1EA9: ラテン小文字aの上に円周とフック
1EAA: ラテン大文字のaとCircumflexおよびTilde
1EAB: サーカムフレックスとチルド付きラテン小文字a
1EAC: ラテン大文字の大文字とドットの下にa
1EAD: ラテン小文字aと下に円とドット
1EAE: ラテン大文字のaとBreveおよびAcute
1EAF: ラテン小文字aとBreveおよびAcute
1EB0: BreveとGraveのラテン大文字a
1EB1: BreveとGraveのラテン小文字a
1EB2: 上記のBreveとHookを含むラテン大文字a
1EB3: 上記のBreveとHookを含むラテン小文字a
1EB4: BreveとTildeのラテン大文字a
1EB5: BreveとTildeのラテン小文字a
1EB6: 下のBreveとDot付きラテン大文字a
1EB7: 下のBreveとDot付きラテン小文字A
1EB8: ドットが下のラテン大文字E
1EB9: ドットが下のラテン小文字E
1EBA: 上のフック付きラテン大文字E
1EBB: 上記のフック付きラテン小文字E
1EBC: チルド付きラテン大文字E
1EBD: チルド付きラテン小文字E
1EBE: サーカムフレックスと急性のラテン大文字E
1EBF: サーカムフレックスと急性のラテン小文字E
1EC0: サーカムフレックスとグレーブ付きラテン大文字E
1EC1: サーカムフレックスとグレーブ付きラテン小文字E
1EC2: サーカムフレックスと上記のフック付きラテン大文字E
1EC3: サーカムフレックスと上のフック付きラテン小文字E
1EC4: サーカムフレックスとチルド付きラテン大文字E
1EC5: サーカムフレックスとチルド付きラテン小文字E
1EC6: サーカムフレックスとドット付きラテン大文字E
1EC7: サーカムフレックスとドットの付いたラテン小文字E
1EC8: 上記のフック付きラテン大文字I
1EC9: 上記のフック付きラテン小文字I
1ECA: 下にドットがあるラテン大文字I
1ECB: ドットが下のラテン小文字I
1ECC: ドットが下のラテン大文字O
1ECD: ドットが下のラテン小文字O
1ECE: 上のフック付きラテン大文字O
1ECF: 上のフック付きラテン小文字O
1ED0: サーカムフレックスと急性のラテン大文字O
1ED1: サーカムフレックスと急性のラテン小文字O
1ED2: サーカムフレックスとグレイブ付きラテン大文字O
1ED3: サーカムフレックスとグレーブ付きラテン小文字O
1ED4: サーカムフレックスと上記のフック付きラテン大文字O
1ED5: サーカムフレックスと上のフック付きラテン小文字O
1ED6: サーカムフレックスとチルド付きラテン大文字O
1ED7: サーカムフレックスとチルド付きラテン小文字O
1ED8: サーカムフレックスとドットの付いたラテン大文字O
1ED9: サーカムフレックスとドットの下にラテン小文字O
1EDA: 角と急性のラテン大文字O
1EDB: 角と急性のラテン小文字O
1EDC: ホーンとグレイブ付きラテン大文字O
1EDD: ホーンとグレイブ付きラテン小文字O
1EDE: 角とフックを上にしたラテン大文字O
1EDF: 角とフックを上にしたラテン小文字O
1EE0: ホルンとチルドのラテン大文字O
1EE1: ホルンとチルドのラテン小文字O
1EE2: 角とドットの下にラテン大文字O
1EE3: 角とドットの下にラテン小文字O
1EE4: ドットが下のラテン大文字U
1EE5: ドットが下のラテン小文字U
1EE6: 上のフック付きラテン大文字U
1EE7: 上のフック付きラテン小文字U
1EE8: 角と急性のラテン大文字U
1EE9: 角と急性のラテン小文字U
1EEA: 角と墓を持つラテン大文字U
1EEB: ホーンとグレイブ付きラテン小文字U
1EEC: 上の角とフックを持つラテン大文字U
1EED: 角とフックを上にしたラテン小文字U
1EEE: ホーンとチルドのラテン大文字U
1EEF: ホルンとチルドのラテン小文字U
1EF0: 角とドットが下のラテン大文字U
1EF1: 角とドットが下のラテン小文字U
1EF2: ラテン語大文字Yと墓
1EF3: 墓とラテン小文字Y
1EF4: ドットが下のラテン大文字Y
1EF5: ドットが下のラテン小文字Y
1EF6: 上のフック付きラテン大文字Y
1EF7: 上のフック付きラテン小文字Y
1EF8: チルド付きラテン大文字Y
1EF9: チルド付きラテン小文字Y
1EFA: ラテン大文字大文字中ウェールズ語Ll
1EFB: ラテン小文字ミドルウェールズLl
1EFC: ラテン大文字の中東V
1EFD: ラテン小文字ミドルウェールズV
1EFE: ループ付きラテン大文字Y
1EFF: ループ付きラテン小文字Y
