B800: ハングル音節Reoss
B8A1: ハングル音節ルウェルト
B8A2: ハングル音節ルウェルプ
B8A3: ハングル音節ルウェル
B8A4: ハングル音節ルウェム
B8A5: ハングル音節ルウェブ
B8A6: ハングル音節Rwaebs
B8A7: ハングル音節ルエス
B8A8: ハングル音節ルウェス
B8A9: ハングル音節ルウェン
B8AA: ハングル音節ルワイ
B8AB: ハングル音節ルウェック
B8AC: ハングル音節ルウェーク
B8AD: ハングル音節ルウェート
B8AE: ハングル音節Rwaep
B8AF: ハングル音節ルウェル
B8B0: ハングル音節
B8B1: ハングル音節レッグ
B8B2: ハングル音節レッグ
B8B3: ハングル音節レッグス
B8B4: ハングル音節
B8B5: ハングル音節Roenj
B8B6: ハングル音節Roenh
B8B7: ハングル音節
B8B8: ハングル音節ロール
B8B9: ハングル音節Roelg
B8BA: ハングル音節ロエルム
B8BB: ハングル音節Roelb
B8BC: ハングル音節ロール
B8BD: ハングル音節ローレット
B8BE: ハングル音節ロープ
B8BF: ハングル音節Roelh
B8C0: ハングル音節レム
B8C1: ハングル音節ローブ
B8C2: ハングル音節
B8C3: ハングル音節
B8C4: ハングル音節ロス
B8C5: ハングル音節
B8C6: ハングル音節Roej
B8C7: ハングル音節Roec
B8C8: ハングルシラブルローク
B8C9: ハングル音節
B8CA: ハングル音節ロープ
B8CB: ハングル音節語
B8CC: ハングル音節涼
B8CD: ハングル音節Ryog
B8CE: ハングル音節Ryogg
B8CF: ハングル音節Ryogs
B8D0: ハングル音節リヨン
B8D1: ハングル音節Ryonj
B8D2: ハングル音節Ryonh
B8D3: ハングル音節Ryod
B8D4: ハングル音節Ryol
B8D5: ハングル音節Ryolg
B8D6: ハングル音節リョルム
B8D7: ハングル音節Ryolb
B8D8: ハングル音節Ryols
B8D9: ハングル音節Ryolt
B8DA: ハングル音節Ryolp
B8DB: ハングル音節Ryolh
B8DC: ハングル音節龍
B8DD: ハングル音節Ryob
B8DE: ハングル音節Ryobs
B8DF: ハングル音節Ryos
B8E0: ハングル音節Ryoss
B8E1: ハングル音節Ryong
B8E2: ハングル音節Ryoj
B8E3: ハングル音節Ryoc
B8E4: ハングル音節Ryok
B8E5: ハングル音節Ryot
B8E6: ハングル音節Ryop
B8E7: ハングル音節涼
B8E8: ハングル音節
B8E9: ハングル音節敷物
B8EA: ハングル音節ラグ
B8EB: ハングル音節敷物
B8EC: ハングル音節ラン
B8ED: ハングル音節文字
B8EE: ハングル音節ルン
B8EF: ハングル音節ルド
B8F0: ハングル音節ルル
B8F1: ハングル音節ラルグ
B8F2: ハングル音節
B8F3: ハングル音節ラルブ
B8F4: ハングル音節ルル
B8F5: ハングル音節ラルト
B8F6: ハングル音節ラルプ
B8F7: ハングル音節ルル
B8F8: ハングル音節ラム
B8F9: ハングル音節ラブ
B8FA: ハングル音節ラブ
B8FB: ハングル音節Rus
B8FC: ハングル音節ラス
B8FD: ハングル音節ラング
B8FE: ハングル音節文字
B8FF: ハングル音節ルク
